全场最高能：204:06	主播我错了你把我从地牢里放出来吧[委屈]我再也不刷白胖了[委屈]我旁边那...

其他高能：
 2:29 - 4:15	主播看超级金河田大电影了吗	(看,],[)
 4:44 - 6:28	技不如人了嘛	(技不如人,;,，)
 7:28 - 8:06	细节[哇]	(蒙,的,;)
 9:07 - 9:54	你说主播有时间玩游戏，怎么就选了这么一个游戏	(蒙,的,666)
 13:16 - 13:21	不愧7400	(;,不愧,就是)
 17:03 - 18:22	马里奥不是自己人 锤他	(牛牛,呢,他)
 18:43 - 20:52	怎么感觉卡比是UU加速器，每次有他都卡	(卡,他,uu)
 23:56 - 24:04	说词啊	(坤,6666666666666666666,守门)
 26:57 - 28:56	悲哀啊	(;,龇牙,])
 33:02 - 33:52	超级打工	(蒙,的,;)
 33:57 - 34:12	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(职员,CCS,不远)
 40:52 - 42:19	主播，bili榜一是你最愛的furry	(的,主播,不卡)
 43:13 - 43:51	依旧严父	(不愧,是,严父)
 46:18 - 46:28	竟然无汤	(无汤,;,一汤)
 48:14 - 49:59	哈哈哈哈哈	(哈哈哈,;,了)
 50:49 - 52:44	依旧jbrr	(;,技不如人,了)
 53:42 - 56:01	大家好，我是真人外卖员，关于主播不行的事情我有话说，一个火箭就爆料	(;,，,你)
 57:46 - 58:57	技不如人，胖哥来早赢了	(不如,技不如人,;)
 59:29 - 60:13	能将主播托举到7k 可想而知isun有多强	(蒙,666,的)
 62:41 - 63:08	技不如人  来一点压力就吃不住	(技不如人,;,了)
 64:27 - 65:52	马里奥：就非得打工	(;,就,打工)
 69:16 - 70:13	提前技不如人	(;,7000,了)




 84:50 - 84:53	汤达人	(汤达人)
 87:24 - 88:07	有汤赢了	(汤,磕头,逼)
 88:58 - 90:17	蒙的	(？,的,])
 94:46 - 96:29	悲哀啊	(;,哈哈哈,11)
 99:41 - 101:27	那主播一直不玩不是马上就上8000了	(+,2,])
 101:49 - 102:38	那胖哥怎么半年就上8000了	(8000,了,，)
 106:49 - 107:31	好人啊	(好人,等,;)
 108:59 - 109:06	主播16个飞机众筹极难团	(团,极难,众筹)
 111:04 - 111:32	这不就好处来了[捂脸]	(-,流星,11)
 114:42 - 115:46	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(加油,吧,工具)
 121:37 - 122:04	超级马力欧金河大电影里，小马叫路易基叫阿路，主播你知道吗	(知道,吗,基叫)
 123:13 - 124:47	7000分戾气就这么大了那8000分得多大戾气啊	(么,第一名,不让)
 124:56 - 125:06	7400怎么一天没见掉了100分	(掉,分,7400)
 125:31 - 127:26	严父7400	(了,;,哈哈哈)
 129:17 - 129:48	真的我就下载了	(睡觉,7000,就)
 130:00 - 130:20	吃的啥，真是降压药吗	(药,降压药,啥)
 130:51 - 131:35	极限喝汤	(极限,了,啊)
 140:35 - 141:51	给哔哩道歉	(道歉,给,哔哩)
 143:15 - 143:24	说TM什么呢	(一手,TM,先骑)
 146:02 - 146:55	抽签图	(，,blow,您)
 153:43 - 153:50	真为这游戏感到高兴	(松饼,热车,感到高兴)
 153:59 - 154:05	有游戏谁看你啊	(这毒,难受,必须)
 157:16 - 158:20	这下真紫蝴蝶了	(紫蝴蝶,！,蒙)




 160:10 - 161:14	[dog]准备去隔壁了	(士,大戾,了)
 164:52 - 167:00	技不如人好意思叫	(;,了,，)
 168:15 - 169:35	开了	(？,开,;)
 172:16 - 173:18	技不如人[汤圆]	(技不如人,;,了)
 178:02 - 179:32	技不如人 无话可说 加油吧	(！,技不如人,7400)
 181:41 - 183:44	技不如人啊	(;,，,技不如人)
 186:46 - 187:28	今天互动好几次了吧	(互动,依旧,哇)
 188:32 - 189:22	@クリーム松饼 关键是我还抽蚊香，嗓子痛的要死，买了十盒金嗓子备着了已经	(吧,加油,憨)
 195:50 - 197:09	唉，林克，我也不想骂你了，我们已经习惯了这种失望的感觉了，你永远都证明不...	(大戾,士,哈哈哈)
 197:28 - 197:33		()
 198:01 - 198:08	冷酷无情的主播	(冷酷无情,坐电梯,走)
 201:12 - 205:39	主播我错了你把我从地牢里放出来吧[委屈]我再也不刷白胖了[委屈]我旁边那...	(白胖,主播,我)
 205:57 - 207:49	提前技不如人	(7400,了,我)
 209:21 - 209:35	回家乡吧，家乡不卡	(家乡,乡,回家)
 210:47 - 210:59	父子局	(技不如人,LOSE,喜多)
 219:07 - 219:16	走你的老路了	(老路,走,加油)
 223:05 - 223:12	蒙的	(蒙,？,的)
 247:24 - 248:41	接着贪	(哈哈哈,？,贪)
 249:54 - 251:17	这局应该抢不到头4个名额了	(人机,8,局)
 259:20 - 263:05	isun保你上8000了	(isun,车队,9700)
 263:18 - 263:57	老外:这人这么快就找到外援了	(老外,快,多牛)
 265:47 - 265:52		()
 267:42 - 269:06	没了	(吼吼,没,了)




 270:47 - 272:37	ztmex都打不过真技不如人 不丢人	(车队,zmd,9700)
 272:43 - 272:53		()
 275:28 - 275:34		()
 279:14 - 280:42	三牛日强	(了,日强,委屈)
 280:47 - 281:28	我有道具但是马灯都没了[花]	(任重而道远,但是,努力)
 285:11 - 285:23	那咋了	(咋,那,青春)
 290:02 - 291:47	三个红龟给我打最后了[委屈]	(],[,松饼)
 291:50 - 291:59		()
 292:18 - 293:28	是瀑布来了吗	(瀑布,也,来)
 297:32 - 298:05	我回8200	(花,的,比我强)
 299:09 - 300:28	第一马灯都看不见了，还在这说金龟子呢	(金龟子,胖哥,第一)
 301:44 - 304:07	ztmex太会做人了[比心]	(！,？,])
 304:34 - 304:58	刚才是把白胖炸了嘛	(拉力赛,龟,刺刺)
 308:19 - 309:00	对9700唯唯诺诺，对isun重拳出击	(对,佳音,静候)
 312:27 - 312:37	第三把掉線我草了	(仙人,線,草)
 312:49 - 314:32	哇又灯	(大哭,灯,])
 324:28 - 324:45	三个[花]	(三个,花,])
 324:58 - 327:04	我游戏到了，但到的在另一个地方，我还得周四回去才能拿到	(活人,了,机器)
 331:00 - 333:28	主播把松饼打淘汰了自己晋级	(松饼,了,打)
 334:49 - 335:53	悲哀 喜欢刹车	(三体,胖哥鈿,蓝龟)
 335:59 - 336:21	主播打爱孙让外人灯顶，太孙子了	(三體,yinianjian,外人)
 336:47 - 337:01	我看明白了，前面追着松饼打，后面追着爱孙打，然后让外人灯顶，太对了	(追着,，,打)
 338:22 - 338:38		()




 345:58 - 348:11	我不知道被什么打了[傲娇]	(了,9600,])
 356:25 - 356:59	我玩了20个小时真的一次没见过闪电	(加纳,残念,封)
 357:27 - 358:39	拿河田把我炸了[委屈][委屈][委屈]	(委屈,],[)
 363:14 - 364:10	松饼怎么能往后扔了	(松饼,饼,往后)
 364:36 - 364:57		()
 365:14 - 368:31	加纳了	(胖哥鈿,！,三体)
 371:08 - 371:54	对[花]	(迦納,上,松饼)
 384:01 - 384:12	主播太坏了，他牛车的时候打你好几回[大哭][大哭][大哭]	(大哭,],[)
 388:28 - 389:08	那个不是大规模吗	(称王,宝冠,并)
 389:40 - 389:44		()
 391:59 - 392:05		()
 393:49 - 394:23	金玉满堂藏好了[dog]	(金玉满堂,藏,好)
 396:44 - 397:09	好意思，树果不就是为了做甜甜圈抓闪吗	(孵蛋,甜甜,树果)
 397:24 - 399:30	主播我想要全图鉴抓好了记得来我直播间开皇帝通知我	(我,花,…)
 400:10 - 400:33	破不了主播防吧[花]	(主播防,破,不了)
 401:19 - 401:39		()
 401:43 - 401:58	走马灯	(乐,花,走马灯)
