全场最高能：38:46	蒙的：ZTMEX

其他高能：
 2:41 - 4:12	@远方 我刚想回你老公就开了[dog]	(],[,比心)
 4:48 - 5:58	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(比心,],[)
 9:53 - 11:57	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(],[,;)
 12:44 - 12:47		()
 14:00 - 15:00	蒙的	(蒙,钵,盆满)
 16:02 - 17:31	这是偷鸡了一下	(偷,鸡,胖哥)
 20:35 - 22:04	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(?,;,题库)
 23:47 - 25:36	互动了[滑稽]	(士,大戾,互动)
 32:00 - 32:48	蒙的	(帅帅,蒙,的)
 34:03 - 34:58	蒙的	(蒙,的,，)
 35:17 - 36:32	极限汤	(极限,？,玩)
 36:38 - 36:59	今天周一了 极端see粉可以看下三过家门而不入吗	(胖哥,分,@)
 38:11 - 39:31	蒙的：ZTMEX	(蒙,的,;)
 40:13 - 41:36	技不如人啊	(哈哈哈,技不如人,;)
 46:05 - 46:21	胖哥来过了	(ztmex,过,笑)
 46:39 - 46:42	6900睡觉	(上限,而,的)
 48:30 - 48:43	大戾士	(士,大戾,真的)
 50:00 - 50:06	@奶油松饼bot 你是不是ai啊	(你,target,ai)
 50:22 - 51:09	@有故事的鑫哥 我还记得当初去日本奔现了，有这事嘛，我没认错吧[捂脸]	(是,，,的)
 52:01 - 53:05	我看主播很多年了，一直欣赏主播迷人的声音，娴熟的技术，幽默的风格	(的,，,...)
 55:28 - 55:46	好胖，看菜哥去了	(，,了,看菜哥)
 57:21 - 58:02	主播，让我们聊一聊你把我从黑名单里放出来，帮我上分	(？,，,dog)




 69:48 - 71:31	吃状态等合影是吧	(合影,状态,💗)
 84:02 - 84:22	有没有懂哥知道这个库巴怎么才能击败啊	(比心,],[)
 87:30 - 87:42	又退	(退,又)
 87:48 - 89:29	为什么一直退出	(他,你,了)
 90:15 - 92:21	才+1[委屈]	(胖哥,的,合影)
 92:38 - 93:18	白胖哥才是真丶8000，实力说话[dog]	(刷到,播能,播下)
 95:03 - 95:32	怎么你落后就卡了	(嘴脸,卡,;)
 102:25 - 103:18	搞我吧	(],[,他)
 105:11 - 105:52	这都是什么玩意啊	(呆,],[)
 106:57 - 107:06		()
 117:46 - 121:07	日本都是女方和男方姓，主播叫植原磊，所以妙子叫植原妙子，是吗	(，,],[)
 122:01 - 124:26	这把我干哪来了  这是海南吗	(海南,了,])
 124:55 - 128:09	技不如人[赞]	(巩固,],[)
 129:12 - 131:01	老是输给分低的，也就是你根本没有6900的实力，都是靠手段上的分	(巩固,],[)
