全场最高能：40:14	走马灯了

其他高能：
 5:16 - 5:21	蒙的	(蒙,的)
 9:04 - 12:03	悲哀啊	(],[,比心)
 14:03 - 15:36	就非得第一打工	(;,打工,💗)
 16:33 - 17:45	老公真悲哀[爱]	(悲哀,],[)
 20:37 - 20:40		(联机,内容,介绍)
 20:46 - 22:03	5连败 悲哀	(悲哀,技不如人,])
 25:22 - 28:18	那咋了[dog]	(1,蒙,了)
 28:48 - 30:21	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(OH,],[)
 31:06 - 33:04	保着姚明吃旗说明状态没用，就是技不如人	(了,睡觉,小粉)
 33:23 - 35:12	这图我记得，主播好多次半途死了[捂脸]	(],[,委屈)
 37:34 - 41:01	走马灯了	(;,走马灯,哈哈哈)
 42:55 - 43:49	假仁假义贾磊	(;,假仁假义,哎)
 49:51 - 55:32	技不如人，胖哥就行	(大戾,士,;)
 58:48 - 59:18	我联盟50 和30玩着就差很多 别说马里奥这个对网络要求更高的	(是,值,种族)
 66:19 - 68:42	悲哀啊	(哈哈哈,了,哈哈哈哈)
 74:27 - 74:35	技不如人[哇][哇]	(技不如人,],[)
 78:38 - 78:46	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(开,送灯牌,会员)
 80:14 - 81:35	他卡的时候，你在操作，就失误	(],[,，)
 85:10 - 85:44	那咋了	(了,咋,那)
 87:34 - 87:51	如果你是日本人，那你就是第1个了	(打个工,经常,多分)
 88:06 - 88:28	流鼻涕了	(哈哈哈,哈哈,哈哈哈哈)
 89:49 - 91:34	主播流畅了就不会玩了，还说不是自己开的[哇]	(了,往里戾,])




 97:30 - 98:11	7500都那么强了胖哥的8000究竟是什么境界	(猫,的,为啥)
 99:41 - 100:02	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(],[,委屈)
 105:58 - 107:18	大戾士要开始了[dog]	(大戾,士,太好了)
 107:30 - 110:01	那咋了，运气也是实力的一部分，你倒是想选对，但是架不住你的花呗，热熔胶，...	(，,看看,排行榜)
 110:18 - 110:22	主播还花呗第一，也就是主播有钱，不然高低也整个胖猫第二	(也,胖猫,整个)
 114:27 - 115:24	技不如人[哇]	(技不如人,7500,了)
 130:14 - 130:27	胖哥来早赢了[dog]	(no1,Mario,技播)
 131:02 - 131:39	这是真麦麦还是假麦麦	(mai,真麦麦,麦麦)
 137:01 - 137:26	@茨木酱 马上巩固30[dog]	(巩固,》,《)
 150:35 - 150:55	笑死	(并非,傻,不赖)
 151:14 - 151:32	依旧畜栏对战[哇]	(看到,],[)
 152:33 - 154:34	技不如人就是开了，马里奥也没事	(马里奥,士,你)
 156:38 - 161:52	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	(了,],[)
 164:40 - 165:03	绝对是奶片或牛肉干，降压药这样吃早成胖哥了	(胖哥,想,是)
 166:37 - 169:46	@大家好我是小乔哥哥西 还有8000天就生了	(抗日,胖哥,])
 170:26 - 171:02	看看人家	(谢谢,加油,看看)
 179:05 - 180:10	老板糊涂啊	(老板,糊涂,])
 183:57 - 184:48	垫到终点了	(垫,终点,了)
 184:54 - 185:09	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(],[,想想)




 187:17 - 187:45	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(假仁假义,主播,py)
 190:46 - 191:21	你认错人了，主播是孙胖	(是,这里,直播间)
 191:53 - 192:01	加油吧发慢了	(偷到,爱弥斯,发慢)
 192:12 - 192:41	老公把别人都打退了[爱]	(爱,打退,])
 207:04 - 209:13	雅阁了	(～,mer,黑名单)
 209:23 - 209:27	来了[dog]	(来,dog,])
 215:51 - 216:14	开无敌撞他	(他,卡,提肛)
 216:20 - 219:05	主播是茂盛詹姆斯  一发青草滑梯冲死了盖欧卡	(欧卡,盖,胖哥)
 219:21 - 220:08	胖哥来索命了	(来,了,大哭)
 226:46 - 226:52	松饼好样的	(！,俩双双,饼干)
 227:33 - 228:51	主播被松饼打了也只会怪自己怎么这么不抗打	(松饼,主播,打)
 237:24 - 239:13	哇登顶	(！,],[)
 246:49 - 247:30	那咋了	(咋,那,了)
 248:29 - 252:01	哇 极限	(],[,了)
 252:06 - 252:28	555来了	(555,来,战斗)
 257:54 - 258:00		()
 259:10 - 259:46	松饼绝望火箭	(LOSE,没关系,狠狠)
 259:50 - 260:30	打成一团了，松饼都在9900前面当第一了[dog]	(爆料,松饼,了)
 261:44 - 261:52	[哇][哇][哇]	(哇,],[)
 262:13 - 263:16	那个neta金州大桥上的牛肉汉堡不也吃	(吃,牛排,牛)
 266:28 - 266:37		(哈哈哈哈,士,大戾)
 269:57 - 271:24	刚来就看到主播没进前四[哇]	(库巴,LOSE,爱)
 271:34 - 272:14	盖欧卡  这不怪你  弱地是牛队不是你	(不是,包揽,一组)




 275:57 - 277:52	蓝龟要来了	(了,吗,蓝龟)
 278:16 - 278:23		()
