全场最高能：117:29	这下真的悲哀了

其他高能：
 5:28 - 5:41	孙子哥哥	(妈妈,哥哥,孙子)
 9:50 - 10:15	能用回pjbsb吗	(能用,pjbsb,回)
 11:15 - 13:17	哇，灯顶	(！,灯顶,666)
 15:07 - 15:25	嗨呀，老公[亲亲][亲亲][亲亲][亲亲]	(亲亲,],[)
 19:01 - 25:21	什么程序，走马灯吗	(了,],[)
 28:53 - 29:40	好耶是公主[比心]	(么,],[)
 30:14 - 31:26	这真的遭天谴了	(真的,dog,来)
 33:52 - 35:25	主播主播，下赛季宝冠军规则完全不变是吧，我有点不想打，能帮我拿低保吗	(？,毒蘑菇,，)
 38:10 - 38:38	赶紧退吧	(赶紧,退,吧)
 40:43 - 41:54	胖哥来就过了	(。,了,])
 46:15 - 47:19	走马灯了	(蓝,哈哈哈,玩)
 53:50 - 56:07	@クリーム松饼 姜饼开通了会员，让我进群🐱	(],[,dog)
 57:06 - 57:44	太坏了	(走马灯,或,比)
 58:02 - 59:57	孙孙烧起来了[爱]	(],[,了)
 66:16 - 67:15	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(合影,],[)
 68:59 - 69:24	老公好厉害[爱]	(人来,留影,主播)
 70:39 - 72:17	哦不是转发隔壁表情包，是连动了	(了,，,举报)
 76:19 - 76:35	福娃[比心]	(揉,老公,气不气)
 77:53 - 78:04	蒙的	(吓,的,极限)
 78:29 - 79:36	哈哈哈哈哈	(3,;,哈哈哈)
 81:46 - 82:27	怎么死中间旗前边的先来了	(这样,早该,图标)
 84:39 - 85:23	好图啊	(哈哈哈,合影,啊)
 87:49 - 87:57	主播平常几点开播啊	(平常,几点,开播)
 89:14 - 89:24	主播骂我	(？,隐藏,骂)




 89:38 - 93:17	悲哀啊	(胖哥,了,])
 93:42 - 95:15	真为你感到悲哀	(哈哈哈,。,了)
 97:08 - 97:39	技不如人是这样的	(技不如人,他,了)
 102:44 - 103:21	这直播间夸胖哥的弹幕都会被处理	(],[,委屈)
 104:47 - 105:09	极限喝汤	(极限,喝汤,soup)
 114:55 - 115:05	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(文武,满朝,比例)
 115:08 - 115:24	嫉妒使人面目全非	(做局,面目全非,使人)
 116:04 - 119:31	这下真的悲哀了	(;,],[)
 120:47 - 121:00	孙实力	(停,实力,哇)
 125:19 - 126:21	说tm什么呢	(士,大戾,哈哈哈哈)
 128:01 - 130:33	主播的美声神了	(],[,;)
 136:26 - 136:35	好图	(哈哈哈,技不如人,哈哈哈哈)
 142:12 - 143:03	读图不如	(不如,哈哈哈,读图)
 145:42 - 149:13	7600都这么厉害了，8000得有多厉害[抓狂]	(了,，,7600)
 150:24 - 151:05	这车不会害了我吧	(！,哈哈哈,图)
 151:27 - 152:54	雅阁哈哈哈哈	(;,],[)
 153:49 - 155:00	悲哀啊[哇]	(哈哈哈,;,])
 158:22 - 159:22	蒙的	(的,蒙,？)
 162:40 - 164:13	心理学神作	(哈哈哈,],[)
 166:49 - 168:38	等他们来了 都杀了	(！,杀,假仁假义)
 168:59 - 169:16	黑导游	(？,导游,黑)
 178:04 - 179:54	@天越张天师 芯片级笔记本维修 老板你这都能开个会员了[dog]	(了,老板,吗)
 180:50 - 181:41	道歉 给坐作者道歉	(？,蒙,的)
 181:52 - 182:18	林克是谁，我只认识孙子	(林克,谁,了)

