全场最高能：20:10	太悲哀了啊，经典领先90%最后被反超

其他高能：
 6:36 - 10:48	我真为你们感到悲哀	(悲哀,],[)
 11:46 - 12:54	公平图都赢不了^了吗	(技不如人,不了,吗)
 15:23 - 17:33	感觉别人的7000是真的，你的纯靠场次[捂脸]	(7000,上,不愧)
 18:48 - 21:14	太悲哀了啊，经典领先90%最后被反超	(;,哈哈哈,悲哀)
 21:36 - 22:14	主播人很正直三百多斤	(666,蒙,赢挠)
 23:00 - 26:04	马里奥耶嘿就过去了[捂脸]	(;,的,])
 26:53 - 28:29	什么人啊，条件都不要了吗	(;,？,卖)
 29:44 - 32:11	就是动态会更新孙子的，这是个搬运up对吧，我懂了	(，,的,我)
 32:18 - 32:36	我都回国了，还上什么班儿	(],[,50%)
 32:59 - 33:03		(回,月,6)
 33:14 - 33:17	@李喵喵 他8号来北京	(喵,号,北京)
 38:13 - 39:25	牛逼	(！,666,;)
 41:02 - 41:18	不说话装高手	(么,？,好会)
 48:38 - 49:25	卡了	(;,了,卡)
 57:04 - 58:20	@クリーム松饼 不知道啊 我听安排[dog]	(？,么,])
 59:54 - 60:52	@杏子moyu 哈哈哈哈哈哈哈	(！,;,哈哈哈哈)
 64:39 - 65:39	8000离婚娶主播，主播帮我还花呗，还给我买DR，再给我办个北京户口，最...	(捂脸,],[)
 67:32 - 67:42	卡了	(卡,这样,好卡)
 69:58 - 70:57	主BO，我是新粉，第一天关注，他们说的走马灯对角线热熔胶还花呗去水印砍伐...	(！,极限,喝汤)
 71:34 - 72:06	林克有没有老婆呀	(可不,有没有,老婆)
 83:33 - 83:37	LOSE	(老婆,好菜,LOSE)
 85:27 - 87:09	卡了吗	(卡,了,委屈)




 92:07 - 92:23	这就是基本功了 我喜欢bubu的原因	(！,的,基本功)
 95:40 - 95:48	666	(666)
 97:06 - 97:53	怎么6900了啊，你快说是放的之前的录像	(哈哈,的,了)
 98:55 - 99:26	好图	(好图,9z,祸害)
 105:29 - 105:37	去b看吧	(看小红,看吧,跳车)
 105:46 - 107:21	别的直播间都是好的拿个车啊	(。,悲哀,])
 108:23 - 110:11	好菜也是好[dog]	(],[,了)
 113:00 - 113:05	期待一个作者通道	(一个,想当,期待)
 115:54 - 117:05	极限图了	(;,],[)
 118:43 - 120:00	好垫	(;,。,哈哈哈)
 122:05 - 122:45	这么多失误都第一了	(失误,多,这么)
 130:43 - 131:25	@卡皮巴拉猛猛熬夜 直播就是工作啊[dog]	(蒙,@,的)
 131:56 - 132:35	@Seraph1na 人胖哥日流水三千呢[dog]	(也,呢,是)
 139:04 - 139:46	这下戾气值应该够了	(💗,媛,了)
 141:39 - 142:56	卡了	(卡,手机,])
 145:09 - 145:59	技不如人，遥遥落后	(],[,这)
 147:14 - 147:21	开嘬	(嘬,糊涂,老板)
 160:55 - 162:21	这对抗	(],[,了)
 168:21 - 169:15	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(瑶瑶,主播,技不如人)
 170:41 - 172:19	技不如人，刚才公平图就是这个小粉	(？,哈哈哈,技不如人)
 176:33 - 178:42	@クリーム松饼 新老公蛐蛐我 我已经给他免打扰了[委屈]	(老公,新,])
 183:39 - 184:21	好钻	(好,睡觉,图库)
 188:26 - 190:07	真加纳了啊	(],[,亲亲)

