全场最高能：279:47	这些牛都是主播的狙击仔[dog]

其他高能：
 9:35 - 14:08	流鼻涕的赢了	(],[,了)
 16:03 - 17:13	@クリーム松饼 昨天不还是不说话，才一点多还是多少就走了	(],[,花)
 18:28 - 19:05	蒙的	(蒙,爱,的)
 20:50 - 21:09	[委屈]想念我家n妹	(想念,我家,耶)
 22:52 - 25:29	这赞是你点的吗	(],[,吃瓜)
 25:40 - 28:46	人活一生就该走马灯	(走马灯,卡,他)
 29:05 - 32:05	主播表示 胖哥的8000他不认可 都是爱牛行为上的分[dog]	(],[,爱)
 35:04 - 37:07	我看主播挺欢乐的	(欢乐,],[)
 37:41 - 39:41	我今天把马灯的讲解视频都看过了 终于懂走马灯是啥意思了	(哈哈哈,;,])
 44:22 - 45:40	又悲哀了[dog]	(白胖,不如,了)
 47:03 - 47:19	孙子不会有绝对音感吧	(吧,音感,绝对)
 47:30 - 47:41	给你留汤呢	(你,的,了)
 54:15 - 56:05	主播不抗日了吗	(],[,委屈)
 61:42 - 63:11	这也太悲哀了	(了,;,被)
 63:37 - 64:07	太对了	(捂脸,HOW,])
 66:52 - 68:23	太准了	(哈哈哈,;,哈哈哈哈)
 69:28 - 71:08	好胖，我要看菜哥了[哇]	(不吃,],[)
 75:07 - 76:59	好图哈哈哈	(对,;,？)
 81:06 - 81:44	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(小姨子,骨气,姐夫)
 88:45 - 89:14	你问问主播答应不答应先	(答应,技术,你)
 92:55 - 94:12	感觉isun和孙孙线下只能聊马灯了 不然也没什么能聊的	(？,的,蒙)
 95:09 - 95:59	买个大点的显示器不就看见上面是上面了吗	(技不如人,吃,])




 96:02 - 96:11	直播让我们看看胖了多少	(战太,玩过,我们)
 99:57 - 101:26	蒙的	(的,;,蒙)
 102:27 - 102:55	明明是你差点害了小粉	(悲哀,杂鱼,不成)
 106:28 - 106:43	父子局	(？,g,父子)
 109:56 - 111:13	主播为什么不去卡平局，少掉两个分	(走马灯,啊,平局)
 112:33 - 112:39	主播你用的什么手柄	(捂脸,],[)
 112:40 - 113:38	有题库[dog]	(题库,1,的)
 120:04 - 120:35	悲哀啊	(悲哀,一打,三打)
 125:11 - 125:33	马里奥是isun	(蒙,的,马里奥)
 127:17 - 128:55	开盘吧 30命过6关	(的,了,开盘)
 133:18 - 134:48	哈哈哈哈哈白忙活	(了,;,屁股)
 139:18 - 139:44	金色的河田吗[哇]	(金色,怪,吗)
 139:55 - 141:46	胖哥来一跳就过了	(胖哥,跳,不)
 148:11 - 149:34	蒙的	(的,],[)
 163:46 - 166:23	明白了说是[dog]	(],[,明白)
 167:54 - 168:13	我知道他是北京的	(嗯,北京,我)
 169:50 - 169:54		()
 173:33 - 174:15	蒙的	(],[,我)
 174:27 - 174:47	@唉 跑酷图至少有提示，有些图，看都看不懂	(看,@,狂野)
 175:17 - 175:34	是不是该掏出天眼了	(天眼,~,藏)
 176:29 - 176:44		()
 178:52 - 180:51	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(不是,金河田,])
 182:18 - 182:23		()
 184:08 - 185:55	灯冷灯冷	(冷,灯冷灯,，)
 186:07 - 186:52	那个是tas跳吗[呆][委屈]为什么主播每次都能过	(主播,的,别问)




 187:01 - 187:14	这个已经不算是真正的tas了	(tas,的,是)
 190:50 - 191:35	团内过 开个锤子	(走,团内,过)
 195:07 - 195:37	终于知道为什么没人过了吧	(第一个,了,圈叉娃)
 200:22 - 200:28		(对角线)
 200:48 - 202:03	藏松果了[dog]	(藏,。,？)
 202:42 - 204:03	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(。,？,捂脸)
 210:56 - 211:39	我家哥哥下的蛋你们都别吃	(。,？,哥哥)
 218:46 - 219:07	不是这个那是哪个	(松饼,好久不见,哪个)
 219:19 - 219:35	@クリーム松饼 宿舍没有蚊香[委屈]	(hhhh,宿舍,蚊香)
 222:10 - 223:57	又臭又长，还不给命	(？,哞,666)
 224:53 - 225:30	很多人不爱说话而已	(捂脸,都,])
 242:39 - 242:57	可爱捏	(哎呀,可爱,三言两语)
 243:08 - 245:25	我怀疑是dy引诱你的，你敢领就强制绑定你你就不能在别的平台播了[dog]...	(],[,胖哥)
 245:43 - 249:24	把你当成胖哥了[dog]	(],[,委屈)
 249:37 - 249:40	这张图不可能登顶[dog][dog][dog]	(dog,],[)
 253:39 - 253:48	别急[dog]这张图还有好几个名场面没到呢[dog]	(还有,这,作用)
 253:55 - 254:54	0损失，不心疼	(大桥,金河田,邦)
 257:58 - 259:21	哇，灯顶	(！,爱,💐)
 268:46 - 269:56	那个雷是你打的吗[委屈]	(LOSE,了,那个)
 279:01 - 281:26	这些牛都是主播的狙击仔[dog]	(！,],[)
 285:09 - 287:35	我以为你寻我来了	(？,我,isun)




 290:27 - 293:07	悲哀啊	(！,悲哀,9000)
 296:51 - 297:23	法师把你变成其他车手之后你的属性也会和变成的车手一样吗	(！,车手,变成)
 299:55 - 301:50	悲哀啊	(！,悲哀,第一)
 309:39 - 313:57	被劈加纳了	(加纳,！,])

