全场最高能：114:13	真刺激

其他高能：
 3:39 - 4:35	千刀万剐不赢第一把，但是那说的是普通人，	(比心,第一把,])
 7:08 - 8:12	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(],[,💗)
 8:23 - 8:28		()
 9:43 - 11:07	老黄不是还在bo吗你咋跑了[dog]	(],[,比心)
 13:45 - 14:20	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(假仁假义,明着,人格)
 15:30 - 17:51	本直播间成都人占比超过50%[委屈]都是喊老公的	(],[,比心)
 20:01 - 20:16	老公好菜[爱]	(哈哈哈,孬图,不乐意)
 25:44 - 28:27	提前技不如人	(？,],[)
 33:13 - 34:45	打雪仗，666	(666,这个,了)
 35:02 - 40:27	7000分去胖哥那走马灯[哇]	(！,了,的)
 42:31 - 43:38	因为你手柄卡了	(手柄,因为,了)
 44:30 - 44:36	ztmex	(俯冲,ztmex,咋)
 45:36 - 46:35	实在是准	(;,非得,对)
 57:54 - 58:34	蒙的	(蒙,的,草)
 59:30 - 61:25	严父[哇]	(！,士,大戾)
 62:32 - 63:10	技不如人[哇]	(技不如人,失误,])
 64:04 - 64:33	今天7000估计难了	(7000,津门,bili)
 65:48 - 66:15	dy叫，懒懒的白胖啊	(叫,成分,可控)
 67:37 - 69:04	小粉以后再也不打工了	(小粉,;,了)
 72:08 - 72:23	胖哥就能第一个进	(能,胖哥,就)
 73:33 - 74:06	不如严父	(严父,7300,第二把)
 74:22 - 74:34	胖哥8000比7300还高	(胖哥,大于,外表)
 91:14 - 93:30	老公好菜[爱]	(了,的,，)




 94:06 - 96:39	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(],[,喝彩)
 97:45 - 99:28	这路易哪来的飞机头 差点给肉拿了	(;,],[)
 103:49 - 105:30	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(],[,;)
