全场最高能：5:47	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]

其他高能：
 3:26 - 4:02	悲哀主播又上线了[dog]	(],[,dog)
 5:32 - 6:56	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(！,？,])
 12:00 - 13:20	主播居然7k了好久违的数字[dog]	(！,主播,了)
 15:32 - 15:42	可以去跟小粉开环太平洋机甲	(小粉,机甲,太平洋)
 16:05 - 16:49	哈哈哈哈哈哈哈 小粉还在跳 你已经过了	(！,蒙,小粉)
 17:32 - 19:05	主播不怕，这不是你的错	(士,大戾,悲哀)
 22:39 - 25:14	这个不好似乎经历过什么[捂脸]	(！,],[)
 25:49 - 28:16	悲哀啊	(！,你,，)
 31:21 - 35:26	国行的恭喜停服了	(;,了,？)
 36:51 - 37:43	居然上7000了	(了,分,居然)
 39:01 - 41:21	早卡你不就赢了吗[dog]	(],[,了)
 42:12 - 43:35	蒙的	(？,蒙,！)
 51:29 - 52:26	真为你悲哀	(士,大戾,;)
 59:27 - 59:57	主播要是不会拉黑可以问胖哥[哇]	(拉黑,留汤,睡觉)
 62:03 - 62:17	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(2,],[)
 62:49 - 64:07	最菜的死了	(],[,哇)
 67:58 - 68:28	笑死我了	(！,蒙,？)
 71:09 - 72:21	你是0他1了	(！,马里奥,了)
 73:00 - 74:03	主播直播间串子太多了举报不过来，干脆举报直播间一锅端了	(！,骨气,举报)
 77:25 - 78:24	注定打工了	(哈哈哈,;,士)
 79:40 - 83:08	雅阁王	(！,],[)
 86:24 - 86:34	抗日模式[哇]	(啥时候,模式,抗日)




 87:23 - 90:04	太好了[哇]	(！,开,太好了)
 92:05 - 92:25	哪路或多～～～	(！,哈哈哈,～)
 95:35 - 95:54	卡B找到了	(找到,了,卡)
 102:06 - 105:04	讲讲老东家的故事[dog]	(故事,的,讲讲)
 114:04 - 115:18	主播上7000了，感觉比胖哥上的8000更艰难啊	(买,卖,的)
 121:43 - 122:03	一用移动二用wifi三不要用加速器	(移动,二用,一用)
 130:19 - 131:30	主播战斗力太弱了，跟表哥根本不是一个level，就会个C开头，自己要是表...	(，,马造,开枪)
 134:05 - 134:47	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(主播,路易,])
 140:03 - 141:07	老板糊涂啊	(么,嘬,糊涂)
 141:22 - 142:46	他说他喝了	(比心,了,])
 146:58 - 149:17	我也看到了，就是松饼干的	(],[,委屈)
 156:12 - 156:28	吃了一堆分高的	(LOSE,哈哈哈,分高)
 156:56 - 157:29	一万个舍不得，不能再为你爱了	(委屈,],[)
 157:47 - 157:56	倒闭了，就5人玩家	(人机,局,饼)
 160:10 - 161:35	哎，主播悲哀	(哎,？,白袜)
 164:51 - 164:54	后面全是bot，马灯都没了	(全是,bot,后面)
 165:06 - 165:26	会变好的[花]	(],[,士)
 165:35 - 168:14	很久没来了，看见主播还在走马灯我就放心了	(],[,大哭)
 169:27 - 169:37	我当时给你和大家造成了困扰，不记得我最好	(造成,困扰,我)
 169:52 - 170:05	你黑眼圈这么重应该推荐的五子衍宗丸	(自我,内向,抑郁症)
 170:10 - 170:32	你这样子多攻击别人就好了	(走马灯,这个,就)




 177:42 - 179:42	第三了，悲哀啊	(我,搞,宣战)
 194:09 - 195:03	马灯都看不见了	(哈哈哈,了,马灯)
 204:15 - 205:58	太悲哀了	(isun,！,了)
 208:13 - 208:52	毕竟羽毛躲蓝龟 我都被那人拉黑了	(蓝龟,躲,声音)
 211:28 - 212:30	这把我不在[花]	(⚡,上西天,咯)
 222:39 - 223:01	你都快住第一个道具点里了[傲娇]	(点里,第一个,住)
 226:41 - 226:49		()
 230:51 - 232:08	主播好胖，我去看白菜了	(白菜,我,了)
 235:06 - 236:08	已经差不多半年没在这淘汰过了[dog]	(大桥,都,dog)
 239:58 - 241:57	寻我就好了[dog]带着你寻孙孙去[哇]	(],[,晚安)
 245:24 - 247:33	灯了两把掉得没8700了[哇]	(],[,爱)
 247:48 - 247:53		()
 248:43 - 249:23	是你吗 拎壳	(蓄力,不,壳)
 251:09 - 251:25	當我沒說 剛睡醒腦子不好	(直,腦子,睡醒)
 254:41 - 255:01	教会徒弟饿死师傅	(饿死,师傅,徒弟)
 256:41 - 256:59	胖哥就做得出来[哇]	(做,就,敢)
 258:42 - 259:53	主播之前怎么练习的，我昨天也是没币练的	(你,不准,])
 264:00 - 266:22	好了白天见[dog]	(亲亲,],[)
 269:24 - 269:50	实习是不是不用给工资	(哇,],[)
 270:58 - 271:17	能在朱紫刷好个性带到这个游戏吗	(朱紫刷,带到,个性)
 271:35 - 272:28	这是个完全对战的游戏  不需要额外的训练	(闪光,区别,这)
 277:55 - 279:43	那就多打一会儿 当助眠了[爱][爱]	(打,],[)
 280:07 - 280:35	读到内裤了	(看宝,Miss,内裤)




 284:06 - 285:12	连胜就再来一局，爱听主播讲解[哇]	(巩固,],[)
 285:47 - 286:49	怎么不上个冠军	(百变,怪,领到)
 289:35 - 290:37	现在也叫大菊花[哇]	(菊花,叫,大)
 292:16 - 294:00	看到猛犸，土地云野没得	(蛇,君主,的)
 294:14 - 294:23	进化奇石没给吧  要不然太肉了	(太肉,要不然,进化)
 294:24 - 294:54	忍蛙[哇]	(鬼,草鬼岩,当然)
 307:26 - 309:09	单打用不了   粗茶特性就是为了双打的	(单打,的,💤)
 309:31 - 310:00	@momo 这辈子不会换的[dog]	(海豚,侠,晶光花)
 313:31 - 314:01	蜜集大蛇没开发出打法  强度垃圾	(要么,残奥会,凑数)
 316:41 - 318:36	皮卡丘又不是在za  别想着出场了	(雷丘,皮卡丘,了)
 321:08 - 321:39	松饼上大师球了吗[dog]	(上,了,])
 321:55 - 324:22	加纳[亲亲][亲亲][亲亲]	(],[,加纳)

