全场最高能：95:05	真的假的 马造多人没了

其他高能：
 1:22 - 2:02	去问胖哥了吗	(胖哥,问,吗)
 7:02 - 7:23	怎么不灯冷灯冷了	(不灯,体感,可火)
 7:33 - 8:08	我一进来就看见孙胖胖在蹦...	(;,？,转)
 8:18 - 10:55	我也大了	(;,大,？)
 23:59 - 24:39	666[爱][爱][爱]	(喜,沾光,跟着)
 27:58 - 28:50	感覺主播的技術不如美神	(哇,],[)
 29:18 - 30:49	笑死我了	(走马灯,💗,家门)
 35:27 - 37:22	哈哈哈哈哈哈哈	(;,哈哈哈,了)
 42:35 - 44:46	多人倒闭了[dog]上次你也是这么说的	(了,],[)
 45:24 - 46:48	主播我有一计，以后玩极难开一个30命6关的语言，飞机锁图换图扣五命，会员...	(;,？,，)
 51:45 - 52:32	你派个爱孙顶开关不得了	(爱,],[)
 52:41 - 53:10	@幸福二胎宝妈努力学中医中（贞洁烈女版） 你ip怎么是重庆的[dog]	(二胎,是,吧)
 53:23 - 54:51	放弃吧，这图胖哥才能过	(胖哥,生气,放弃)
 65:30 - 65:42	可以点外卖了	(可以,hbex,手癖)
 69:31 - 69:42	@クリーム松饼 你是男的女的	(男,女,的)
 74:38 - 74:55	@CJ11 暗示成语接龙[dog]	(暗示,CJ11,卧槽)
 76:00 - 77:29	反正过了也是蒙的[捂脸]	(;,666,蒙)
 78:41 - 80:08	悲哀[dog]	(悲哀,;,？)
 80:26 - 81:01	看看藏没藏无限飞的松鼠	(反墙,松鼠,无限)
 81:21 - 82:12	我看什么	(👀,藏,看)
 84:15 - 84:58	饼饼，你咋把人真ID爆出来了	(哈哈哈,哈哈哈哈,])
 85:14 - 86:18	这不是那个开局的箭头吗	(藏,箭头,不是)




 86:23 - 86:34	如果放中国的，主播直播间会不会被封	(食人花,生活,干涉)
 94:16 - 96:40	真的假的 马造多人没了	(？,么,了)
 97:43 - 100:38	孙孙，看你这么久了怎么也不刷刷连胜	(],[,，)
 103:53 - 104:06	赶上了	(赶上,了,倒)
 105:14 - 105:56	卖手柄的图	(爱,羡慕,])
 109:21 - 110:26	开皇帝的	(;,666,6)
 110:28 - 111:06	不用关，搞1毛钱抽1万的活动吧[哇]	(💗,？,关)
 111:22 - 111:32	主播我有一个几个亿的项目晚上想找你谈谈	(奖品,门票,抽奖)
 113:58 - 114:06	这图似曾相识啊	(图,似曾相识,力气)
 121:32 - 121:53	无敌快完的时候杀	(咋,那,良子)
 124:39 - 125:21	主播是被白胖踢出家庭会员了吗	(666,记录,蒙)
 134:54 - 136:03	主播的恩人太多了[妙]	(主播,陈先生,先生)
 136:07 - 140:29	主播主播我看你好久了，两年前你还在隔壁卖电脑来着，我认对人了吗	(你,主播,了)
 141:51 - 142:31	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(主播,面具,，)
 143:05 - 143:44	好图来了	(了,。,币)
 145:37 - 146:58	我已经点好了明天下午的外卖	(外卖,💗,的)
 147:55 - 148:08	说的胖哥是白胖吗	(胖哥,卖点,外)
 149:03 - 149:30	不应该查血压吗	(啦,ztmex,来)
 150:33 - 151:20	你以为看了就能过么	(奶奶,飞机,过)
 158:35 - 160:26	是卖一台还亏钱的电脑吗	(了,dog,咋)
 161:18 - 161:58	爱牛抬你一手就骑上了	(你,骑,主播)
 163:30 - 164:02	这不是我杰哥的梗吗	(的,吗,不是)




 166:36 - 167:35	那主播，美食真的是你的好朋友吗[哇]	(是,的,主播)
 170:51 - 173:16	主播吃饭去了[哇]	(去,了,主播)
 177:11 - 178:49	弹幕怎么比主播健在的时候还活跃啊	(了,主播,弹幕)
 179:25 - 181:04	主播主播，听说你去吃饭了，是长沙超先生同款的酱料吗	(了,主播,的)
 207:51 - 208:25	@幸福二胎宝妈努力学中医中（贞洁烈女版） 你怎么又来了[dog]	(努力,不,过)
 211:24 - 211:32	新观众，请问主播一般几点下播	(大哭,],[)
 217:31 - 218:35	是这图过了就开车么	(捂脸,了,])
 218:41 - 220:33	还是打团好睡  听一会龟壳的声音眼皮就睁不开了[dog]	(感觉,牛,奶牛)
 220:41 - 221:30	要是不小心点到赞了，会非常的红	(感觉,吆西会,红)
 227:43 - 228:08	昨天孙孙马车神殿的教程很好用，一下子就会跑了	(就,一下子,神殿)
 228:32 - 229:24	我这是吃完药，睡一觉醒了，白噪音没效果的	(。,，,没)
 234:08 - 236:52	我在床上看直播都把在上铺睡觉的猫吵到客厅里睡了	(了,都,我)
 238:03 - 238:49	操作变形了  休息会吧	(一个,，,认输)
 239:03 - 241:27	能让我看到主播直播就已经是我的荣幸了，还要什么工资[爱]	(我,，,了)
 241:56 - 243:57	hello  b站的朋友 你们好嘛 我是胖胖的白白呀[dog]	(pjbsb,的,是)
 247:43 - 249:08	🛒 懒****啊 购买了 登顶*1	(*,登顶,懒)
 249:20 - 250:07	我不信[dog]	(一关,一关服,不信)
 250:58 - 253:06	过了吗	(*,666,爱)
 256:44 - 259:05	又能看老公的马灯了[爱]	(吃,了,*)




 259:51 - 262:19	我喝过北京的胡辣汤，只能说一般但便宜	(胡辣汤,喝,都)
 268:22 - 270:15	悲哀[哇]	(],[,？)
 270:33 - 270:38	这个点下班	(。,之情,思乡)
 270:56 - 272:34	最强大将之一的ztmex来了[比心]	(],[,委屈)
 279:41 - 280:29	非得打	(该,打,悲哀)
 280:40 - 280:56	悲哀阿	(抽,悲哀,新片)
 288:37 - 288:38		(助,雷公,我)
 289:50 - 291:48	我还以为我够自重了	(],[,自重)
 299:39 - 301:14	难道说 被吸了	(哈哈哈,哈哈哈哈,被)
 309:41 - 310:50	悲哀啊	(🤡,捂脸,;)
 310:55 - 312:53	全是牛 吓哭了	(全是,牛,])
 318:12 - 318:41	但你没有技不如bot的耻辱[大哭]	(震,你,耻辱)
 319:44 - 319:57	后面两头牛在干嘛	(两头,干嘛,后面)
 320:13 - 322:46	悲哀啊	(悲哀,了,])
 322:55 - 323:00	全是牛	(11,头牛,全是)
 327:27 - 329:21	被蝗虫过境了[dog]	(哈哈哈哈,了,牛)
 337:26 - 339:33	挤在一坨的，第一跟第八[dog]	(],[,的)
 339:57 - 341:03	刚想回你，结果我的也掉了，都是你丧的[傲娇]	(，,555,掉)
 342:01 - 342:40	都是松饼丧的[傲娇]	(OH,],[)
 345:05 - 345:43	笑死	(好饼,喇叭,刹车)
 347:38 - 350:09	气得都不叫胖哥了	(],[,鬼魂)
 352:10 - 352:29	这游戏叫奶牛传奇	(传奇,奶牛,游戏)
 359:08 - 362:47	技不如人啊 太惨了	(],[,我)
 371:27 - 372:29	吃咖喱看主播神奇宝贝，享受[哇]	(¯,哇,])




 372:58 - 376:12	一次无敌星，一次大蘑菇把你金妙子寻了[哇]	(冒犯,首发,寻)
 376:23 - 376:48	Q宠大乐斗我以前还玩过  巨他妈抽象	(这是,抽象,巨他)
 377:00 - 378:37	steam游戏管家是什么，华为手机能玩吗	(我,萎缩,要)
 378:47 - 378:54	没问题，理解	(理解,问题,没)
 379:10 - 379:40	猫猫好可爱，想养一只	(非本系,想养,猫猫)
 381:26 - 382:10	怎么全都是隔壁的弹幕	(刮,读爆,最孙)
 383:14 - 386:51	累了 人总要休息的	(],[,兔)
 390:22 - 390:27	笑了	(笑,了)
 395:54 - 396:30	没你快说是	(嘬,快,不管)
 399:36 - 400:19	参考出抽泣	(折返,急速,回合)
 402:02 - 403:07	悲哀啊	(哈哈哈,气死,悲哀)
 406:45 - 409:16	笑死了我现在手机输入xgs就是笑根孙[哇]	(嬉闹,的,笑)
 409:33 - 409:56	所以是屎黄色的	(彩球,炫,异色)
 410:15 - 410:16		()
 417:49 - 418:21	你伤害呢	(无,耐,敌敌)
 418:38 - 418:42	卖喷火龙只能	(卖,增爹,喷火龙)
 421:31 - 422:03	主播终于会用X键了	(X,会用,键)

