全场最高能：53:09	不好咆哮

其他高能：
 3:46 - 3:56	不是不能玩了吗	(还花,硬盘,呗)
 5:55 - 7:09	来来回回进来好几次 太耽误我打游戏了 就把vx给他了 朋友圈都是那些东西	(嘬,了,睡觉)
 9:58 - 11:51	技不如人环节	(悲哀,;,掉下去)
 14:06 - 14:14		()
 14:23 - 14:27	技不如人	(技不如人)
 14:49 - 15:24	10年了 终于又看上你的直播了  那时候的壮汉还在么	(上,的,顶)
 16:56 - 19:38	胖哥允许了吗，你就玩多人	(],[,了)
 21:28 - 22:29	父爱如山	(~,慈父,父爱)
 22:52 - 24:17	本来该你赢的，但是你急了	(急,卡,他)
 26:49 - 28:00	悲哀啊	(;,7000,10)
 29:21 - 30:33	悲哀啊	(;,了,悲哀)
 33:17 - 34:10	差点鼠了	(;,差点,？)
 39:20 - 39:38	技不如溜溜球	(溜溜球,不好,🪀)
 40:17 - 41:10	都被我传染发烧了	(了,玩,直播)
 44:49 - 46:06	哈哈哈哈哈悲哀	(;,悲哀,定律)
 49:45 - 54:33	不好咆哮	(;,了,噔)
 64:53 - 65:30	蘑菇王国大胜利	(王国,胜利,这图)
 66:20 - 66:39	学学别人，喝到汤就辛苦了	(九转,捂脸,不留)
 73:53 - 75:25	孙胖胖怎么想我不知道，反正我是很无语的	(哈哈哈,准,;)
 76:56 - 77:00	技不如人	(读图,不行,不如)
 80:07 - 80:15	soga，这图还可以，有对抗的意义	(主要,懂吗,soga)
 88:32 - 89:57	我听说中立主播在自己直播间骂6小时，是真的吗	(11,],[)
 91:41 - 93:42	严父又来了	(;,12,严父)
 94:15 - 96:55	依旧技不如人	(;,技不如人,了)
 98:16 - 98:19	已经结束了	(结束,已经,了)




 99:32 - 100:31	多找找自己原因好吗	(;,委屈,悲哀)
 108:00 - 108:02		(小绿,呢,？)
 119:42 - 119:48	多练	(技不如人,多练)
 129:30 - 130:21	听说悲哀	(蒙,的,反超)
 131:47 - 132:40	天大的悲哀呀	(],[,捂脸)
 134:20 - 137:04	莫大的悲哀啊	(],[,捂脸)
 139:39 - 139:50	龟壳带过来	(哈哈,哈哈哈,过来)
 140:17 - 142:08	有isun	(？,;,])
 143:12 - 143:20	蒙的	(蒙,deyingle,？)
 147:59 - 148:54	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(不亏,合影,悲哀)
 160:25 - 162:11	-10[捂脸]	(哈哈哈,-,])
 162:38 - 164:14	悲哀啊	(;,悲哀,我)
 165:22 - 165:43	那咋了	(咋,面具,那)
 176:25 - 177:46	技不如人[哇]	(技不如人,;,是)
 178:37 - 179:31	慈慈的严父呀	(严父,哈哈哈,氧化钙)
 182:16 - 182:29	[给力]我明天跟你过节	(亲,平台,只亲)
 187:46 - 187:54		()
 190:22 - 191:00	@クリーム松饼 666	(哈哈哈,太坏,坏)
 198:41 - 199:04	拄拐的赢了	(拄,拐,赢)
 208:20 - 208:49	太坏了	(坏,太坏,假仁假义)
 212:27 - 214:02	蒙的	(？,蒙,的)
 214:54 - 215:01	怎么不吃钥匙	(不吃,灯顶,钥匙)
 217:47 - 218:42	蒙的	(蒙,的,让)
 224:34 - 225:05	你认错主播了  这是白胖	(肚皮,打起,意识)
 227:07 - 228:23	蒙的	(不好,哞,大)
 231:45 - 232:24	哞哞	(哞,joyfayday,没到)




 233:11 - 234:37	主播这么希望灯我那给你呐喊助威吧 加油吧	(？,没有,淘汰)
 236:43 - 237:05	isun雷	(∠,HOW,＿)
 238:20 - 239:05	坏了	(了,救,蓝龟)
 239:07 - 240:13	三体蓝龟胖哥鈿	(胖哥鈿,三体,蓝龟)
 241:40 - 244:15	哇，灯顶	(],[,dog)
 252:31 - 255:11	悲哀啊	(！,了,])
 261:53 - 262:54	双牛并进	(！,动静,™)
 264:29 - 264:40	难道说	(难道说,遥遥领先)
 264:44 - 267:54	真登了吗	(！,哇,])
 271:54 - 274:08	真为主播感到悲哀 这辈子只会放闪电了	(悲哀,dog,])
 278:07 - 278:19		()
 283:00 - 284:03	悲哀啊	(悲哀,捂脸,道具)
 288:53 - 289:03	胖哥来了	(好,呼叫,蓝壳)
 289:15 - 289:29	蓝电胖	(蓝电胖,寻,来)
 292:14 - 292:41	电来	(对,蓝龟,来)
 293:39 - 295:16	现在知道怎么输了吗	(怎么,输,9500)
 305:59 - 308:20	赢了[dog]	(牛,哈哈哈哈,技)
 315:15 - 317:07	悲哀，我打成这样还上分了[委屈]	(分,哈哈哈哈,了)
 317:12 - 317:37	怪不得没怎么掉线呢	(怪不得,掉线,呢)
 322:06 - 322:43	这雷不会救了我吧[dog][dog]	(dog,这雷,救)
 324:37 - 328:04	悲哀啊	(],[,的)
 328:27 - 328:38		()
 335:44 - 335:52		()
 337:56 - 340:12	加纳了	(加纳,！,])

