全场最高能：162:38	又走马灯了

其他高能：
 2:44 - 3:47	孙孙晚上好	(@,ム,ー)
 4:43 - 4:54	游戏要倒闭了	(发售,耀西,这辈子)
 5:01 - 5:19	这么多海南人	(出没,美哥,好神)
 6:14 - 6:33	你是奶奶[哇]	(趴开,吓人,怎么样)
 6:37 - 6:53	[委屈]n妹-10	(一桌,坐,爷爷)
 9:48 - 9:53		()
 10:14 - 10:30	耀西新作孙子会玩吗	(😋,来说,耀西)
 12:40 - 14:07	真是悲哀	(？,马里奥,赢)
 18:19 - 18:43	@用户2622129672975 早💗💗💗	(💗,早,@)
 22:48 - 25:28	坏了，蒙的	(打工,蒙,的)
 26:06 - 26:48	胖哥堵门了	(胖哥,哈哈哈,等)
 28:12 - 30:18	悲哀啊	(八哥,dr,悲哀)
 30:58 - 31:48	@MingK 如果是主播的话我会直接抱着亲[爱]	(就是,怎么,基霸坏)
 32:21 - 33:45	这大垃圾图，好人没好报啊	(],[,哇)
 34:06 - 34:47	好、悲哀啊[哇][哇][哇]	(谢谢,受惊,好)
 35:31 - 39:05	悲哀啊	(;,悲哀,了)
 44:20 - 45:45	严父生气了	(严父,pjbsb,])
 46:58 - 47:11	合影的机会都没有	(都,醒,没留)
 55:02 - 55:13	就像主播一样，我只能听到主播的声音，看不到另一半	(就,穿墙,山)
 62:33 - 63:10	直播间不要了说是	(1,大戾,士)
 65:00 - 66:02	红色sc来了	(sc,红色,了)
 68:19 - 71:01	我是白胖，我开小号来的，大号节奏太大，你给我刷8000个飞机，再给我磕8...	(😭,],[)
 71:51 - 73:08	@卡皮巴拉猛猛熬夜 你认错人了	(合影,],[)
 75:54 - 76:53	倒闭了	(;,？,/)




 94:52 - 95:38	主播用的是日本撥接網路嗎[哇]	(哇,],[)
 97:45 - 98:35	拒绝合影	(合影,拒绝,比心)
 103:02 - 104:18	蒙的	(],[,666)
 106:10 - 108:02	直播间等会倒闭了	(😭,大戾,士)
 108:39 - 110:27	6000多分的主播已经这么强了，不敢想8000分的pangga得厉害成啥样	(大戾,士,局)
 114:47 - 117:09	雅阁了	(？,了,倒闭)
 117:56 - 119:02	悲哀啊 技不如人	(技不如人,;,悲哀)
 128:41 - 129:01	蒙的	(公平,了,纯蒙)
 130:53 - 132:17	又开始技不如人的一天了[dog]	(],[,;)
 132:57 - 133:54	这就是人家7300你只能刘倩九的原因	(大戾,士,;)
 134:23 - 135:58	隔壁被拿下了	(;,？,了)
 139:19 - 140:13	没有严父的公平图，赢了也不自在	(了,炸死,哈哈哈)
 147:19 - 149:12	哈哈哈哈哈哈哈	(;,好人,哈哈哈)
 153:21 - 153:58	前一段时间uu去胖哥直播间走马灯 房管说哪里来的回哪里去	(去,哪里,着)
 155:26 - 155:27		()
 156:01 - 156:05		(讲讲,走马灯,主播)
 158:52 - 160:27	看看看	(;,看,？)
 161:08 - 164:13	又走马灯了	(了,],[)
 166:01 - 168:11	走马灯视频封面就是金河田	(你,主播,的)
 177:33 - 177:51	打maimai的至少会还钱啊	(的,悲哀,曹森)
 180:40 - 183:57	别的直播间的粉丝都被胖哥打压了	(的,主播,胖哥)
 185:13 - 186:28	认知里的“头部/第一梯队主播”，目前最常被提到的通常是这几位：	(	,、,的)
 198:55 - 200:30	笑死我了 你是怎么上这种竹子砍伐证的当	(了,我,你)




 203:37 - 204:20	我没人发520了[委屈]	(哈哈哈,哈哈哈哈,我)
 235:01 - 236:36	555进去了笑死	(了,登顶,555)
 240:55 - 241:20	我不行了，笑死了	(LOSE,了,牛肉丸)
 241:43 - 242:11	还是个母牛呢	(這個,机,母牛)
 251:44 - 254:04	胖哥是吗	(吗,的,男朋友)
 255:23 - 257:05	这么好的主播，我内心极有掰弯孙孙的欲望	(哇,],[)
 260:23 - 262:18	最爱的金龟子呀[哇]	(金龟子,],[)
 266:31 - 266:52	主播把把大蘑菇	(⚡,把,蘑菇)
 271:03 - 274:56	一进草丛我就被电了，肯定是你的[大哭]	(],[,蓝龟)
 281:59 - 282:09	你把我打退了[委屈]	(打退,把,委屈)
 284:04 - 285:47	心软了 没扔你三体[dog]	(],[,扔)
 292:40 - 293:27	谁盯着我劈的	(谁,],[)
 295:51 - 297:36	下次我不自重了[大哭]	(8888,？,])
 298:16 - 301:54	刚刚他加我了我不知道是谁	(其他,闪,我)
 304:17 - 307:26	我是云玩家，pvp类型的不都是偏向肉队吗	(，,的,金属)
 307:43 - 309:43	悲哀[dog]	(不,速度,光束)
 312:57 - 314:25	主播要15天合法假期了吗[大哭]	(],[,主播)
 319:54 - 321:32	再见[dog]	(再见,剩饭,他)
 329:01 - 330:33	围巾地龙确实有点厉害了	(围巾,龙系,克制)
 333:24 - 335:09	笑死我了	(笑,蒙,了)
 340:21 - 343:49	ct了	(？,了,])
 344:57 - 345:19	蛮力打不死，非本只能打60%好像	(60%,蛮力,非)
 351:46 - 352:17	新赛季这分数能上大师	(积分,上,这)




 355:29 - 355:40	论为什么多龙必须带命玉	(带命玉,论,多龙)
 355:59 - 356:21	对面应该是没带，替身钉子龙尾十万伏特	(伏特,十万,龙尾)
 356:59 - 357:57	你再忍一下	(好痛,41.5%,34.1%)
 358:05 - 360:27	人设真成孕期主播了吗[哇][哇][哇]	(哇,],[)
 370:21 - 370:50	为啥拖不住	(走马灯,巧思,星野)
 371:28 - 372:59	别现在拖	(卡,你,拖)
 373:24 - 376:21	别卡个人时间了你现在不能耗	(委屈,],[)
 376:28 - 376:40	结束了	(得换,早不上,快龙)
 377:09 - 377:14		(不住,拖,好像)
 379:02 - 379:20	主播可以试试先制爪百变怪	(爪百变,先制,试试)
 383:11 - 386:20	[委屈]我牌子24级了 悲哀啊	(],[,了)
 391:10 - 391:52	真气弹miss有感觉吗	(miss,真气弹,笑)
 393:06 - 393:24	对面本来就傻 你还这样欺负人家	(傻,本来,欺负)
 394:07 - 394:13		()
 399:16 - 399:22		(蛙,最后,吗)
 403:28 - 403:43	这游戏没法玩了	(没法,玩,游戏)
 406:44 - 407:48	刚才是  暗袭  攀爬   垃圾射击  冰冻拳	(攀爬,暗袭,刚才)
 407:59 - 408:15		(问题,要害,暗袭)
 408:19 - 408:48		(指定,x,按)
 411:51 - 413:50	加纳[亲亲][亲亲][亲亲]	(亲亲,加纳,买)

