全场最高能：109:22	那咋了[dog]请你自重

其他高能：
 4:12 - 5:46	主播辛辛苦苦播一天分币不挣，你还在这提其他主播，多伤心啊	(比心,么,])
 6:01 - 8:33	昨天那个pow关 过了吗 3秒那个	(澡澡,吗,])
 14:32 - 15:43	老公好会蒙[爱]	(],[,喝彩)
 20:51 - 21:21	你玩第一个点都不知道能不能团吗[dog]	(喝彩,],[)
 22:33 - 23:30	人家的飞机凭什么说抢就抢[委屈]	(],[,委屈)
 25:03 - 25:28	蒙的	(爱,],[)
 25:41 - 28:08	@感性却不性感的男人 1和2都能玩	(的,，,男人)
 29:54 - 31:21	昨天大脸图我不信主播能过，除非我看到了回放[呆]	(我,看,短图)
 34:55 - 35:05	偷了	(偷,逃课,打法)
 35:20 - 35:25	偷鸡	(偷鸡,偷妈,不认)
 39:55 - 43:35	好难不玩	(海南,豆汁,])
 44:13 - 44:58	白胖来海南人就能给他垫到终点	(海南,人,蒙)
 45:00 - 45:03	躲海南人也是技术	(哼,嗯,躲)
 45:04 - 45:25	怎么不刷命	(],[,怎么)
 47:27 - 50:27	昨天那图过了吗	(加速,了,带)
 53:07 - 54:21	进群里可以走马灯吗	(胖哥,是,吗)
 60:45 - 60:50		(乐,花,])
 62:07 - 63:20	为什么要把3.5 m的耳机孔取消	(的,为了,取消)
 65:06 - 65:32	21秒通关补给线啊	(补给线,],[)
 66:14 - 66:17		()
 66:54 - 66:57	买了大A，日子越来越有盼头了	(聊,马斯克,没去)
 71:19 - 71:53	你都蛐蛐胖哥几年了，说你两句咋的啦	(胖哥,，,有)
 74:53 - 75:46	直播间天天走马灯[捂脸]	(了,胖哥,公开)
 81:25 - 81:37	继续讲啊，小鼹鼠找到妈妈了吗	(樱,千本,妈妈)




 82:03 - 82:16	妙子和link结婚了吗 谁知道	(瞬移,连续,课堂)
 84:42 - 85:58	为什么呀	(老师,为什么,了)
 86:02 - 86:27	不可能，林克那么厉害，这个主播不如林克，我估计是用了林克的变声器	(，,走,林克)
 88:17 - 88:27		(几率,百分百,有没有)
 91:25 - 92:05	叽里咕噜的说什么呢，我要开始走马灯了	(鼹鼠,了,说)
 100:01 - 100:03	悲悲的哀哀啊	(悲悲,哀哀,啊)
 102:07 - 105:18	开始走马灯了[dog]	(他,卡,])
 106:28 - 115:47	那咋了[dog]请你自重	(了,那,咋)
 118:04 - 118:18	我现在过去会会他去，留个言，看会咋样[捂脸]	(巡视,，,])
 118:58 - 121:09	那没有[dog]倒是有很多图白胖能过别人不能过	(走马灯,过,飞机)
 121:28 - 122:53	搁这走马灯呢[dog]	(走马灯,次郎,洋)
 135:15 - 135:56	直接换成胖哥当头像就完事了	(换成,圈子,，)
 138:18 - 139:46	主播我刚听过了又忘了，能再讲一遍吗	(视频,，,都)
 168:53 - 170:14	哈哈哈哈哈哈哈，	(士,大戾,哈哈哈)
 175:42 - 177:48	肯德基的也变辣素了，吃了就窜，皮炎辣一天	(肯德基,好吃,蛋挞)
 178:14 - 178:34	肯德基的嫩牛五方还存在于我十几年前的记忆 后续没怎么上过架了 真香啊	(的,肯德基,配方)
 178:43 - 180:34	运气不好，我给你召唤肯定有[dog]	(召唤,],[)
 190:37 - 191:21	胖哥来就能进了	(蒙,666,的)
 199:37 - 201:08	牛车最好看了	(哞,牛车,好看)
 203:06 - 204:56	我都上床了开哞了[委屈]	(哞,牛车,了)
 205:42 - 206:32	登顶率最高不是刺刺龟吗	(强戾,拉戾,赛)




 209:53 - 211:13	这车不会害了我吧	(？,isun,了)
 212:28 - 212:52	饼饼现在多少分了，我白天牛车已经8700了[dog]	(饼,8700,白天)
 223:03 - 227:10	没事了前面好有一个马灯都看不见的[dog]	(],[,了)
 234:56 - 236:55	有两个双道具你非得抢我最右边那个还把我挤开了[傲娇]	(悲哀,？,了)
 242:50 - 243:38	三体蓝龟胖哥鈿	(蓝龟,胖哥鈿,三体)
 244:05 - 244:13	乐[花]	(想养,一只,可爱)
 247:27 - 247:54	阿华田是什么	(阿华田,是,什么)
 248:10 - 249:42	是热量会爆炸的饮料吗	(爆炸,老二,会)
 253:25 - 256:12	悲哀啊	(],[,委屈)
 256:40 - 256:43		()
 264:57 - 267:27	最轻的为什么不是胖哥	(老二,最轻,越重)
 275:19 - 277:51	终于不是老二了	(了,老二,准)
 286:07 - 288:40	喜欢主播可以走马灯卖电脑未成年退款支持主播哦[哇]直播间搞黄可以进胖哥群[比心]	(],[,望)
 290:54 - 291:07	输了	(要来,总是,该来)
 296:39 - 299:27	今天7784了，感谢牛牛们[哇]	(委屈,],[)
 300:00 - 300:03	孙健康	(健康,孙)
 300:44 - 300:48		(大哭,],[)
 307:04 - 308:13	单打雪妖女很克喷火龙，可以后mega抢天气然后超速	(HOW,打雪女,天用)
 309:15 - 309:18		()
 315:22 - 316:33	只是这种强化队  真吃不了百变怪	(强化,百变,怪)
 323:12 - 323:36	2条龙  还没用mega	(可恶,条龙,暗影)
 325:15 - 325:24	笑死	(笑,死)
 326:51 - 327:35	这叫合理的努力值分配	(LOSE,分配,合理)




 338:35 - 339:36	也就打打大嘴鸥了	(大嘴,猴来,鸥)
 345:02 - 346:46	不一定，我没见过几个引火的	(噢,引火,吗)
 348:29 - 348:37		(没空)
 353:32 - 356:58	悲哀是真的[dog]	(悲哀,封锁,岩石)
 357:55 - 358:19	母鱼公鱼什么区别	(公鱼,母鱼,区别)
 358:38 - 358:53	有一说一感觉没啥用啊	(一,感觉,带有)
 359:24 - 361:08	他刚才第一下没用击掌奇袭你就应该知道了[哇]	(击掌,了,带)
 361:10 - 362:52	主播能表演空一发飞膝🦶吗	(飞膝,吗,聊天)
 363:05 - 363:43	悲悲的哀哀呀[哇][哇][哇]	(哇,],[)
 365:20 - 367:48	胖哥[哇]	(西施,的,mega)
 368:35 - 369:27	他要一拳打死你了吗	(哇,很差,随机数)
 369:36 - 369:48	乐[花]	(乐,花,])
 375:59 - 376:28	走马灯	(走马灯)
 377:35 - 377:40		()
 378:09 - 378:15	贝贝的哀哀	(贝贝,哀哀,走马灯)
 380:29 - 380:45		()
 383:07 - 383:08		()
 384:32 - 384:52	闪电拳来咯	(拳来,咯,闪电)
 385:59 - 388:53	围巾[哇]	(蛤蟆,5,/)
 390:02 - 391:38	悲哀啊[哇][哇][哇]	(哇,],[)
