全场最高能：236:30	坏了啊

其他高能：
 5:02 - 6:44	主播和胖哥领证了[dog]	(嘬,],[)
 7:26 - 8:26	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(],[,呆)
 8:47 - 9:01	啊嗯[dog]	(嗯,啊,dog)
 9:42 - 10:45	突然就飞了	(走马灯,好难,])
 13:55 - 14:08	往后跑时间够吗[dog]	(往后,早过,时间)
 14:35 - 18:12	这不是过了吗	(了,，,不是)
 19:09 - 20:29	想看三过的家门呀了	(？,走马灯,💗)
 23:11 - 23:56	紫蝴蝶[dog]	(好玩,好图,;)
 25:51 - 25:58	怎么又出一个	(捂脸,],[)
 32:22 - 34:29	这张图过了可以给我开会员吗[爱]	(走马灯,💗,在)
 35:32 - 36:32	老公好会蒙[爱]	(],[,爱)
 38:06 - 40:12	有打算搞点新故事吗，哪个跟你没仇的马造主播你可以选择一个[dog]	(？,故事,])
 41:01 - 44:23	走马灯呢	(],[,哇)
 45:07 - 45:28	不是直播讲过吗[dog]	(走马灯,讲过,桶)
 45:43 - 46:10	哦金金	(金,金金,什么)
 46:18 - 46:24	金色的惠州蘑菇🍄	(💗,2622129672975,用户)
 46:27 - 47:22	还有后续[哇]爆金币了吗	(，,],[)
 47:45 - 48:12	那咋了	(ztmex,咋,那)
 48:43 - 50:23	飞了吧	(飞,了,图)
 52:36 - 54:04	主播你交的是胖哥的日流水吗[哇]	(交,吗,？)
 54:09 - 56:02	这是可以聊的吗	(赞,],[)
 61:15 - 62:00	蒙的	(蒙,的,九折)
 71:28 - 72:23	塞到窟窿里掉命就能过了吧，我猜的别骂我	(过,吧,吗)
 73:48 - 75:41	你踩蓝的下去别跳不就好了	(对,坑,了)




 76:28 - 78:28	这么认真玩 不开一个30命过6关的盘可惜了	(],[,捂脸)
 80:53 - 81:28	请你自重	(了,胖哥,咋)
 87:51 - 89:12	金河田吗	(],[,蘑菇)
 91:03 - 92:41	主播我前两天玩马车世界的时候遇到超级小桀了 我往他身上扔了个炸弹兵 你觉得我对吗	(了,],[)
 92:56 - 93:04	现在没有那种100条命的那种了吗	(那种,丙,博大)
 99:44 - 100:42	你还管上大脸的生活了	(你,大脸,了)
 103:18 - 106:21	雅阁[dog]	(？,],[)
 114:17 - 115:20	接的准	(;,准,哈哈哈)
 124:26 - 125:56	雅阁图	(雅阁,极限,蒙)
 135:14 - 136:48	我买游戏的钱都够再买个游戏机了[捂脸]	(买,卖,玩)
 137:11 - 139:47	我想学习走马灯	(玩,走马灯,我)
 139:53 - 140:00		()
 144:40 - 149:45	刚刷到就在走马灯[dog]	(海南,胖哥,💗)
 150:19 - 151:04	panga家都这么难过关，怪不得人家能上八千分[哇]	(上,哇,])
 159:48 - 159:59	熟悉的钻洞图	(爆尾,劲,钓鱼)
 166:08 - 166:41	又开始对像素了	(对,一位,提)
 183:52 - 186:42	去哪找一个愿意给我还花呗的老公啊	(了,找,老公)
 187:42 - 188:10	主播过不了就把图举报了好了	(了,驳回,申请)
 188:21 - 189:41	这是z上去啊	(上去,？,骂)
 190:02 - 191:03	你说你那会，一个月爆肝一个图，戾气都没这么重	(图,说,没)
 192:19 - 194:07	补给线你还不乐意	(补给线,哈哈哈,过)
 195:03 - 197:44	对的很准	(了,入队,;)
 199:16 - 200:42	悲哀啊	(哈哈哈,],[)




 201:34 - 204:32	漂亮[哇]	(漂亮,哈哈哈,])
 206:19 - 206:35	被卡住	(卡,他,卡死)
 207:01 - 207:48	@神秘心灵 这是白胖	(皇帝,主播,哇)
 215:13 - 215:42	8000了	(8000,了,无对战)
 225:50 - 227:27	那咋了 人家不扔进不去前八 你这都能骂人家	(你,],[)
 235:28 - 238:30	坏了啊	(了,？,])
 246:02 - 248:05	悲哀啊[dog]	(哈哈哈,了,;)
 249:19 - 250:15	第一是胖哥[比心][哇]	(],[,哇)
 255:25 - 255:49	给我看看	(传奇,刚去,以前)
 259:38 - 260:19	孙老二	(老二,孙,第二)
 275:03 - 275:24		()
 283:50 - 285:21	哇[哇]ztmex，不愧是马灯车队最强大将	(dog,],[)
 290:11 - 291:23	极限[dog]	(极限,进,能)
 293:27 - 296:45	lansan扔的[哇]	(],[,lansan)
 303:27 - 305:26	靠[委屈][委屈][委屈]	(],[,委屈)
 305:40 - 306:15	第八名那个红壳把我砸死了	(🐮,砸死,第八名)
 311:05 - 312:00	保送了	(保送,最后,低)
 312:22 - 312:48	梦醒了	(试下,梦醒,你)
 314:30 - 316:43	主播，这个游戏有个bug，贴的离栏杆特别近在别人的视角你就能跑栏杆上打上面的人[dog]	(栏杆,的,率)
 317:05 - 317:16	爽了[dog]	(爽,dog,了)
 320:07 - 324:40	加纳了[委屈]	(],[,爱)

