全场最高能：39:09	恭喜你答对了，这是胖哥的通关证明

其他高能：
 3:37 - 3:46	钻小缝	(钻小缝)
 3:57 - 5:56	我来早过了	(],[,的)
 8:19 - 9:10	大哥 刚才那个给我截图一下行不	(吗,给,大哥)
 11:44 - 13:00	超级花美男的直播间人数是你的二倍	(的,啥,大哭)
 13:47 - 14:07	@LiveYwun 行	(听,有,要出)
 19:29 - 24:15	就惠州的叫蘑菇吗	(吃,叫,的)
 26:27 - 26:31	@クリーム松饼 啥时候能有啊	(啥时候,ム,ー)
 27:16 - 28:41	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(],[,了)
 31:47 - 32:19	主播低于嘉年华都是不嘬的	(14,15,嘬)
 32:39 - 33:17	马造3出了胖哥肯定能火	(💗,17,18)
 38:25 - 40:14	恭喜你答对了，这是胖哥的通关证明	(;,胖哥,了)
 52:35 - 53:00	怎么开眼看	(启动,开,！)
 58:29 - 58:42	悲悲的哀哀的	(么,666,又臭又长)
 58:51 - 59:46	带个壳是不是就不用跑第二遍了	(疵,瑕,可以)
 59:52 - 60:09	还是那么强	(🦋,紫蝴蝶,一救)
 60:15 - 60:23	看你直播感觉老减压了	(了,减压,家人)
 60:49 - 62:51	多掉了状态	(状态,掉,读图)
 65:58 - 67:19	华丽地飞走了[哇]	(;,了,工厂)
 68:02 - 68:36	好[哇][哇][哇]	(],[,哇)
 69:14 - 69:52	录播举办了	(录播,哇,？)
 73:50 - 73:51		()
 78:16 - 81:41	什么平台都有胖哥的人	(],[,了)
 81:54 - 82:15	胖哥出面帮你平的事	(你,人缘,呗)
 82:31 - 83:07	因为他暗恋你想引起你的注意，发现胖哥也用就算了	(补给线,蒙,用)




 88:21 - 89:46	飞了吧	(过,],[)
 97:53 - 98:02	胖早过	(变小,洋,实在)
 101:34 - 101:41	今晚咋这么多好图	(捂脸,又,来)
 101:51 - 102:00	死得快好图	(更难,享受,遛弯)
 105:33 - 105:37		()
 107:32 - 109:01	老板飞机锁图了	(蒙,的,老板)
 121:35 - 121:54	坐莲有用吗	(使劲,宝贝,夹住)
 128:09 - 129:17	胖哥是你过不去的一座大山[哇]	(蒙,的,厉害)
 129:36 - 129:47	宝宝 你是cn战队的嘛	(宝宝,cn,战队)
 133:43 - 134:27	能不能把无敌星带到外面跑过去	(能,先刷,外面)
 135:54 - 139:43	你一说皮卡丘我就知道是谁了	(？,美神,好玩)
 140:36 - 142:33	长蘑菇的小姑娘与采蘑菇的小孙子[哇]	(了,？,蘑菇)
 143:06 - 144:54	知道菜花姑娘以后，我对紫蝴蝶有了新的认识	(的,了,团长)
 144:55 - 147:41	想挖你的金矿了	(],[,了)
 147:48 - 150:17	有紫矿可以挖紫蘑菇你去吗孙孙	(],[,你)
 158:10 - 159:16	刚来的，这是发生了什么情况呀	(士,大戾,急)
 167:35 - 167:36	大戾士	(士,大戾)
 167:55 - 168:42	胖哥举报完会问主播咋下播了	(胖哥,],[)
 171:29 - 172:11	怎么b站那边还有走马灯的	(已,圈,走)
 174:42 - 176:14	那都不更了，咋到结婚啊[妙]	(已,圈,走)
 180:56 - 181:35	您在本关共走了 74 圈马灯	(2,赞,？)
 184:58 - 185:00		()
 186:58 - 188:01	这不去给胖哥刷火箭[dog]	(],[,包过)
 190:10 - 191:12	何姐和bo叔什么关系[dog]	(bo,中立,？)




 192:49 - 194:26	雅阁[dog]	(雅阁,],[)
 196:11 - 197:19	主播我是中立的，能教我怎么抗日吗	(我,中立,，)
 205:10 - 205:38	您在本关共走了 10 圈马灯	(的,哈哈哈,在)
 205:43 - 206:11	日本人是这样的	(日本,这样,人)
 207:06 - 208:08	可能官方想的是正常人给个不好就飞了[dog]	(灯冷灯,冷,，)
 211:39 - 212:46	thx团队制作	(！,冠军,主播)
 214:52 - 216:30	紫蝴蝶+补给线	(主播,你,补给线)
 219:20 - 221:02	哈哈哈哈哈哈	(;,哈哈哈,哈哈哈哈)
 224:10 - 224:34	直接坐莲不行吗	(极限,想到,直接)
 225:03 - 226:01	飞板子下面	(;,蒙,的)
 227:48 - 228:35	您在本关共走了 1 圈马灯	(流汗,],[)
 229:37 - 230:14	皇室冲突的嘿嘿嘿哈	(皇室,版本,的)
 239:31 - 242:53	主播那我为了玩马车买ns2可以吗	(],[,调皮)
 244:20 - 245:04	主播是北京总代，能不能把价格打下来	(到时候,主播,，)
 245:14 - 245:22	[哇]	(涨价,芯片,狗)
 254:23 - 255:15	好[哇]	(爱,],[)
 261:36 - 262:12	金币加移速	(？,走马灯,要来)
 263:58 - 265:14	好妙子	(爱,],[)
 267:18 - 268:45	和我一样倒霉了[哇][哇][哇]	(],[,哇)
 276:36 - 277:03	你就只能看著塔給特1900過	(過,給特,看著塔)
 277:27 - 278:38	就嘴硬吧，也就就打打可怜的松饼了[委屈][委屈]	(委屈,],[)
 279:08 - 279:56	你会说第一马灯都看不到了还往后打	(看不到,骂人,拍摄)
 284:25 - 284:35	今天还有dlc	(dlc,今天,还有)




 284:51 - 285:03	主播能说说花了多少钱供她上学吗	(说,办事,管理)
 290:26 - 290:49	变成什么是金河田工厂	(变成,总代,工厂)
 292:27 - 294:37	雇人了[哇]	(？,],[)
 302:12 - 304:16	用了也难活	(dog,],[)
 306:58 - 307:46	几何学龟壳	(谢谢,你,几何学)
 317:29 - 320:05	主播[委屈][委屈]我喜欢上了一个人，可是我发现他背着我跟别人偷偷双排，...	(],[,松饼)
 328:41 - 330:26	悲哀啊[dog]	(爱,],[)
 338:49 - 339:32	连着好几天没有4K了	(好听,4K,饿)
 339:44 - 340:03		()
 340:28 - 340:36	接下来4点是主播最喜欢的溶胶区域	(区域,溶胶,接下来)
 341:04 - 341:12		()
 341:37 - 341:44	那咋了	(舒服,和田,咋)
 342:10 - 343:35	酷巴：你看这头牛什么都没有	(一样,蒙,])
