全场最高能：93:13	你自己说的给忘了

其他高能：
 4:55 - 5:57	主播还有新故事吗 感觉前半生已经赛博永生记录在互联网了	(🍔,比心,🥦)
 6:36 - 8:09	胖哥不用灯冷也能过	(🍚,吃瓜,])
 8:31 - 8:48	晚上好[花]	(麦早,晚上,九折)
 9:27 - 9:39		()
 9:46 - 9:53	来了惠菇	(鼓掌,惠菇,踩)
 10:55 - 12:09	蒙的	(蒙,],[)
 16:16 - 16:55	你认错主播了	(喵,认错,])
 19:08 - 20:19	好极限	(极限,跳,主播)
 20:26 - 21:24	蒙的[委屈]	(了,吧,实在)
 27:23 - 27:51	[比心][比心][比心]松饼我今天把前天的录播看了	(启动,比心,])
 31:47 - 34:35	胖哥来早过了 还会告诉你好玩不难	(！,捂脸,])
 36:30 - 36:58	好耶是灯冷灯冷[比心]	(叮咚,难受,冷)
 38:07 - 40:14	藏金币了吧	(已,走,圈)
 44:15 - 44:36	走马灯[哇]	(英文单词,专家,主播)
 44:50 - 45:47	进门还有8秒，拿到金币只有3秒，根本不可能一个来回[委屈]	(秒,已,圈)
 46:39 - 47:06	爱播真菜[爱]	(挂,已,好)
 52:26 - 54:21	那你自己试左右不就完了吗	(差,了,秒)
 61:51 - 62:48	凭啥啊 就差一帧么 还是运气图	(运气,金河田,爆发力)
 63:57 - 64:13	怎么感觉炸不到	(单向,时机未到,团长)
 64:31 - 64:53	会不会太近了	(time,抓,51.0541)
 69:19 - 69:55	智者牛的	(智者,666,过)
 77:12 - 77:44	赞早了	(如,跳,再拿壳)
 88:01 - 88:04		()
 88:08 - 90:22	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(孬,，,])




 92:00 - 98:00	你自己说的给忘了	(了,我,你)
 100:34 - 101:01	这也太简单了吧	(送,简单,汽车)
 106:59 - 107:12	日本神人多 万一真有像胖哥那样的牛人呢[哇]	(牛人,神人,形状)
 112:47 - 113:52	@クリーム松饼 我看一遍就知道站车前面能过，我的读图比胖哥强吧	(666,蒙,卡)
 120:54 - 121:41	好图[哇]	(哈哈哈,哇,])
 122:34 - 124:35	胖哥用天眼是正义的	(胖哥,天眼,用)
 125:54 - 126:59	豪图[哇][哇][哇][哇][哇]	(？,第一,哇)
 127:46 - 128:49	主播的菜花还在吗	(;,🥦,菜花)
 132:02 - 133:51	分享悲哀	(吗,分享,主播)
 133:54 - 134:29	主播可以借我600嗎 到時候透過陳先生還你錢	(可以,什么,？)
 148:38 - 150:13	两下睡得更香了[哇]	(],[,爱)
 150:23 - 150:25	我看你还得联系两年半	(半,两年,联系)
 151:37 - 152:48	主播有洋次郎联系方式吗 我想把我的马造卡带卖给他[大笑]	(了,，,主播)
 155:55 - 156:05	延时湿巾用了钟点房能延长俩小时	(诗经,延长,麻醉)
 158:38 - 160:58	椒麻鸡都来了	(爱,？,])
 169:10 - 170:32	这不是之前虎牙的林克嘛 我高中那会天天看你直播还给你送虎粮[dog]	(],[,去)
 171:15 - 172:16	ztmex[委屈]	(？,],[)
 172:21 - 173:19	别憋了，快去吧[dog]	(],[,了)
 173:46 - 174:19	谢谢关注💗	(小麦,季,卷轴)
 179:08 - 180:02	你也是懂王	(你,鸳鸯,苦命)
 186:06 - 188:40	技不如人，甘拜下风	(技不如人,;,了)
 191:05 - 192:45	主播干什么去了[哇]	(去,？,])




 196:41 - 197:05	一起来催孙孙打喷喷，给你表演一手鱿寻[dog]	(打,聊天,妹)
 200:12 - 200:43	怎么不是偷吃巧克力🍫[dog]	(吃饱,了,dog)
 210:00 - 211:38	灯了就开喷喷吗	(哞,了,])
 212:00 - 212:03		()
 212:37 - 212:54	我也是燈頂了[哇]	(没有,],[)
 221:29 - 223:54	原来是两个9000分，那登不了很正常了	(了,是,])
 224:24 - 224:26	这把3个9000多的	(9000,3,个)
 228:08 - 231:43	你拿火球砸我[大哭]	(士,大戾,])
 233:29 - 235:19	老二保住了	(老二,了,孙)
 240:02 - 241:28	高手也能被 菜鸡 干掉 让你产生错觉你也行 玩的人才多	(对,的,遍)
 242:18 - 242:21		()
 242:43 - 244:36	拉戾赛笑死我了，天才来的	(赛,拉戾,了)
 248:57 - 249:00		()
 249:42 - 251:05	笑死我了	(？,哈哈哈,士)
 260:46 - 261:19	喜欢吃寿司	(捂脸,寿司,])
 261:21 - 262:03	宝宝真棒，猜的真准	(真准,LOSE,就)
 268:25 - 269:07	还六体打555，太过分了[dog]	(哈哈哈,大破,遗物)
 275:00 - 279:32	可能主播名次靠前要上树的时候，刚好倒数第二过道具点[dog]	(],[,了)
 279:44 - 279:48		()
 284:43 - 285:04	如果连续用两次预制菜能躲蓝龟吗	(菜能,预制,霹)
 286:27 - 288:40	哈哈哈哈哈哈哈哈哈哈 笑死我了	(了,],[)
 298:20 - 299:54	我已经两局在第四圈被打惨了[dog]	(士,大戾,])
 302:01 - 302:02		()
 307:12 - 307:14		()




 307:44 - 308:35	嘲讽孙孙，看到了[哇]	(哇,嘲讽,OH)
 309:17 - 309:48		()
 315:47 - 317:19	打滑了[dog]	(悲哀,道具,不吃)
 322:07 - 323:11	我的绿壳被任天堂莫名其妙判定没了，刚刚那小库巴的壳是直直砸我车后面的	(哈哈哈,HOW,的)
 323:48 - 325:36	不行了，本来是来看两把睡觉的，这给我笑的睡不了了	(准,友,哈哈哈)
 327:03 - 330:38	你的龟壳简直是马氏三角杀，击垮了他最后一根稻草，不说话了	(的,我,？)
 333:05 - 336:30	来了	(了,来,])
 344:23 - 344:29		()
 344:32 - 346:48	这哪有雷啊 都是大棚种的雷	(啊,雷,美食)
 348:03 - 351:19	悲哀啊	(了,],[)
 356:24 - 359:23	悲哀啊松饼	(大哭,],[)
 366:11 - 370:08	@澳大利洁净的培根 无所谓[dog]我上把登顶了	(了,],[)
 375:38 - 377:17	笑死我了	(瀑布,啊,镖)
 385:22 - 387:26	加纳[亲亲][亲亲][亲亲]	(],[,亲亲)

