全场最高能：192:29	又走马灯

其他高能：
 6:47 - 7:48	没事 我现在玩的是暗广的号 他雅阁我这个号我不心疼[dog]	(],[,会员)
 9:22 - 10:15	我是白胖，主播给我刷个热气球	(喝彩,],[)
 11:48 - 12:25	听明白了，主播是日本人	(💗,雅阁,日本)
 12:44 - 14:37	我还他原价买的喷三，当时觉得我应该不会再买本家的游戏了，小瞧自己了[捂脸]	(],[,dog)
 14:44 - 17:32	我记得日区版只是语言跟登的任天堂账号只能是日本的，不会管你游戏里的生活[哇]	(],[,dog)
 17:45 - 20:49	胖哥抗日有成效了[哇]	(了,的,])
 24:56 - 26:55	都要被胖哥收购了[哇]	(大戾,士,])
 28:21 - 31:46	听取主播的教导，会飞的是孔明灯[哇]	(嘬,],[)
 31:52 - 34:28	你确定要玩吗[dog]是个0.09%的ta	(-,你,💃)
 41:17 - 42:53	玩一下午的是这图吗	(],[,dog)
 48:32 - 50:21	那主播你的游戏上PC吗[花]	(pc,主播,的)
 50:22 - 50:25		(amdyes,一声声,没嫖到)
 64:40 - 66:12	你是计算菌吗搁这刷屏	(已,圈,走)
 66:15 - 66:28	走吧	(进来,弄,bot)
 70:29 - 71:38	本来是多跨好几格的 慢下来就一点点动了	(了,听懂,，)
 76:20 - 78:12	这证明只有高手才能赢的图不被其他玩家认可 并非公平图 实际是竞速图	(图,的,，)
 80:53 - 80:54	讲人话就是蒙	(讲人话,就是,蒙)
 81:16 - 82:40	死的快就是好图	(快,怎么,死)
 83:15 - 85:17	我做过有天花板的[dog]	(的,天花板,])
 85:21 - 86:30	我感觉跟天花板肯定有关系，哪怕磕一点头都会影响角度[dog]	(],[,的)




 86:58 - 87:15	我咋感觉你加速一直按着呢[dog]	(加速,按着,碰墙)
 87:19 - 88:07	船水辞职后说了3D建模 做不出33的系统 6代那些S.B是不会理解船水的	(船水,丢,胖哥)
 88:42 - 90:16	蒙的	(蒙,的,我)
 93:29 - 95:33	10次也是蒙	(了,次,])
 97:48 - 99:03	算你过了	(你,算,算了)
 99:23 - 99:57	算你过了	(了,过,对)
 104:02 - 104:48	总算蒙过去了	(了,？,羡慕)
 113:47 - 115:13	我就记得超级小桀买电脑塌房了，好久了这事[捂脸][捂脸]	(超级,电脑,搜)
 115:19 - 116:10	您在本关共走了 3 圈马灯	(赌,电脑,热脸)
 116:29 - 116:50	羞死了，一进来就在说什么美国网站	(link,，,舰长)
 130:00 - 132:20	看得到我的弹幕嘛，那个藤椒是谁啊	(故事,我,胖哥)
 132:24 - 133:54	飞吧 算你过了	(哈哈哈,;,哈哈哈哈)
 135:33 - 136:52	欧耶[哇][哇][哇]	(;,欧耶,耶)
 141:33 - 142:36	我就是用摇杆[dog][dog][dog]你说的是我吗	(摇杆,蒙,666)
 143:04 - 143:10	这不是那个多人图吗	(多人图,？,准)
 147:56 - 148:35	今天内裤穿反了所以这个世界都在我的内裤里	(内裤,极限,这么)
 148:45 - 150:07	操作不好就稳一点啊 你又不是胖哥那种马造高手	(],[,胖哥)
 151:47 - 152:04	都怨库巴，我的方法不需要讨论，	(杨慧娟,怨,不好过)
 152:14 - 153:31	蒙的	(蒙,的,松饼)
 156:11 - 156:28	手柄被热熔胶粘住了	(热熔胶,手柄,了)
 160:27 - 161:16	那主播你现在能不能帮帮我，我以后绝对不害你	(咋,那,了)




 161:30 - 161:36	哪天录播有故事捏	(管牛,录播,天)
 164:34 - 166:27	想分你的四合院，算盘都响烂了	(],[,了)
 166:37 - 177:11	你说孩子长大她养不起了会不会和孩子说你的爹在北京是主播[dog]	(你,，,了)
 182:42 - 182:54	走灯走到疯魔了说是	(旗,疯魔,57)
 182:58 - 183:12	还敢在白胖直播间走 我在孙子这边走了两天就被封了	(了,在,只)
 184:41 - 185:49	你不资助就不是了吗	(资助,了,])
 192:18 - 194:15	又走马灯	(惠州,胖哥,你)
 206:55 - 207:32	孙孙不是说嬲杰是为数不多的好人么，咋走起他的马灯了[dog][dog]	(的,多一点,轟)
 233:27 - 234:24	你想多了，第一个雷快进圈的时候我才拿到的[dog]	(士,大戾,哈哈哈)
 235:55 - 236:30	无敌星	(雷是,第一圈,难兄难弟)
