全场最高能：56:00	@奶油松饼bot 被打压了 白天美神播 下午河田播晚上胖哥播 主播就这个时间段

其他高能：
 1:02 - 2:48	主播主播你的多人许可证还没发下来吗	(爱,],[)
 3:45 - 4:49	see过了[花]	(],[,了)
 10:21 - 10:29	小骑士还是太超模了	(超模,太,骑士)
 15:02 - 15:22	@クリーム松饼 你说我明天要不要点胖哥过桥米线的外卖	(松饼,过桥米线,留下)
 19:08 - 19:20	这么补给线	(补给线,九折,🦋)
 22:12 - 23:03	孬[dog]	(;,孬,哈哈哈哈)
 23:22 - 23:34	我一点都不想你[傲娇]	(不想,傲娇,一点)
 24:56 - 25:02	不行玩一会简单的吧	(适合,开走,的)
 25:11 - 25:24	顶2次啊	(速通,次,能力)
 26:37 - 28:06	团内过走马灯	(了,几栋,十)
 28:30 - 30:57	胖哥穿个奶牛服用脚都过了[哇]	(了,],[)
 31:35 - 32:18	主播是进了ICU吗，怎么听到滴滴滴的声音	(一号,的,我)
 33:56 - 34:03	5命过开皇帝	(命过,难,5)
 36:09 - 37:04	12点之前过，松饼跟我过[dog]	(过,12,主播)
 37:15 - 37:35	600多分的主播已经这么厉害了，不敢想8000分的pangga有多强	(的,过,祖传)
 37:53 - 39:12	喜欢主播的可以走马灯和未成年退款支持一下哦，开会员舰长可进胖哥群[比心]	(，,胖哥,退款)
 40:39 - 40:49		()
 41:51 - 41:55	不行啊，有没有白胖子种植园	(种植园,白,胖子)
 44:50 - 44:53		(送灯牌,礼物,粉丝)
 47:21 - 47:55	#查询惠菇	(查询,#,💗)
 55:32 - 57:22	@奶油松饼bot 被打压了 白天美神播 下午河田播晚上胖哥播 主播就这个时间段	(],[,爱)




 66:34 - 67:08	刚刚那个图过了嘛	(林志玲,了,不)
 72:21 - 73:10	放上面蓝色下面不就好了	(pow,下面,放)
 73:23 - 76:24	雅阁了	(雅阁,哈哈哈,;)
 79:19 - 79:30		()
 79:57 - 80:31	悲哀啊[dog]	(],[,惊喜)
 83:15 - 84:15	昨天极限图1600，今天800分，被分走了一半	(800,分,粉丝)
 91:01 - 91:44	悲哀的作者	(最后,刺,的)
 91:50 - 93:33	好死，哈哈哈哈哈哈	(哈哈哈,;,？)
 94:06 - 94:45	@神一 出门动了	(神一,@,了)
 98:11 - 99:46	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(哈哈哈,了,讲)
 101:21 - 101:24		()
 106:15 - 106:46	胖哥来一命过[dog]	(？,员,捡)
 111:02 - 111:41	一来就看到9.999	(落地,，,9.999)
 118:27 - 120:32	刚刚把弹幕回复调试去了，现在哔哩这边的好了	(的,牛,，)
 126:32 - 127:00	笑死我了	(哈哈哈,哈哈哈哈,走马灯)
 127:53 - 128:46	这个是快进吧	(进,这个,？)
 132:16 - 132:47	纯背板，孙孙技术一会就过了	(纯,背板,一会)
 141:03 - 141:17	恭喜过关	(雅够,燥,9)
 141:23 - 142:34	您在本关共走了 1 圈马灯	(？,了,怎么)
 143:40 - 144:22	能用龟壳打钥匙吗	(？,跳,打)
 144:35 - 148:14	来个panga跳就过了[dog][dog][dog][dog][dog]	(🌈,],[)
 148:24 - 150:22	蒙的	(蒙,;,的)
 152:58 - 154:28	要不飞了吧，pjb图	(右边,怕,🌈)
 154:35 - 154:51	你就闭眼猛 总有一次能	(总有,漏洞,猛)




 157:00 - 158:12	看作者通关时间是多少秒过的	(啊啊啊,作者,是)
 162:03 - 162:32	是不是藏无敌星了	(楞,噔,是不是)
 163:53 - 164:11	你看到了又如何呢，又不刹车	(又,无脑,刹车)
 164:27 - 166:03	跳的可变因素太多，找个时间点跑过去呢	(悲悲,噔,的)
 166:35 - 167:50	我觉得是74.751的时候跑	(跑,74.751,时候)
 170:17 - 171:26	飞了吧  这不就是个运气图么	(了,噔,藏)
 175:01 - 175:35	计数君  快计数	(计数,除了,执着)
 178:21 - 178:55	本关马灯圈数：54	(走,了,几遍)
 184:10 - 185:05	他只有第一遍过的时候蒙的，后面通过视频回放自然能把把过	(时候,，,p)
 188:22 - 188:29		()
 191:07 - 192:29	眨眼了，再来[dog]	(666,的,蒙)
 194:24 - 195:18	你认错主播了[dog]	(],[,认错)
 200:46 - 201:52	蒙的	(的,蒙,666)
 208:22 - 210:25	这图有意思	(马灯,了,0)
 220:46 - 223:40	主播不玩多人了吗	(],[,哇)
 224:07 - 224:55	希望这图玩一晚上	(哞,管道工,成为)
 234:59 - 235:20	胖哥来早过了[dog]	(差,了,51.0541)
 236:07 - 237:37	不牛车了	(？,],[)

