全场最高能：75:41	这不点个孬

其他高能：
 5:44 - 6:18	主播还在惠州吗，我明天早上能去寻你吗[dog]	(],[,比心)
 7:15 - 9:21	没事，回去了我也去他衣柜里呆着了[dog]	(],[,了)
 9:54 - 10:42	老公好会蒙[爱]	(666,💗,补给线)
 11:00 - 12:06	心疼饼饼啊，真心错付了	(？,了,])
 13:24 - 14:03	参观蘑菇种植园了吗[哇]	(],[,顺利)
 14:34 - 16:51	海南人就不垫你 胖哥来才垫	(海南,人,耗子)
 19:56 - 21:08	你认识的那个主播已经死了	(？,左边,主播)
 24:55 - 26:31	就在	(家,在,就)
 32:35 - 33:38	主播这两天是不是去惠州吃蘑菇了	(🚀,蒙,的)
 41:35 - 43:15	满意了吧[dog]	(士,大戾,了)
 44:48 - 45:03	好纯的真爱粉[爱]	(热,理,真爱粉)
 45:14 - 46:38	怎么了	(呆,啊,怎么)
 49:55 - 51:59	我今天找胖哥了，给他刷了8个火箭，把你的多人许可证续费了，你可以玩多人了主BO	(],[,了)
 52:15 - 52:47	我对刚刚那张图还有疑问，只能等胖哥解答了	(害怕,工地,大型)
 53:01 - 53:23	6RR-F95-T1H 爱播他们说这个图最后很难 但是看了好几个人打都看...	(...,-,最后)
 64:21 - 64:41	您在本关共走了 3 圈马灯	(几头,吐舌头,原理)
 70:05 - 73:55	发领证了的是真🌿性啊[哇][哇][哇]	(],[,了)
 75:03 - 76:35	这不点个孬	(;,],[)
 78:06 - 78:12	惠脸识猪	(猪,脸识,惠)
 78:20 - 78:21		()
 82:08 - 83:24	紫蝴蝶是什么意思	(的,蒙,我)
 86:42 - 86:53	我超，孙怎在	(探,最近,怎)




 93:00 - 93:11	还说孙孙呢，自己都涝得淌口水了[dog]	(涝,淌口水,孙孙)
 98:42 - 100:37	这图好几分钟过的不是很悲哀[捂脸]	(。,你,])
 100:51 - 101:51	胖哥能8000你只能4000	(4000,通道,8000)
 103:24 - 103:46	老婆好猛[爱]	(猛,老婆,偷鸡)
 104:09 - 105:18	gogogo[dog]	(;,没用,])
 108:17 - 108:44	这是口腔溃疡犯了吗	(哇,吗,，)
 112:37 - 112:48	@クリーム松饼 饼饼晚上好	(饼,身上,b)
 113:28 - 113:55	您在本关共走了 8 圈马灯	(楞,],[)
 114:10 - 116:59	对角线肯定压死[dog]	(1,哈哈哈,嘶)
 120:46 - 121:49	@クリーム松饼 主播什么时候能玩多人	(玩,全是,胖哥)
 124:29 - 124:38	应该困难	(困难,表示,0.19)
 124:40 - 124:54	我想开主播的眼	(想开,眼,Uzi)
 126:08 - 127:14	胖哥是马造区流水最高的主播	(胖哥,委屈,@)
 128:41 - 128:48	胖哥就算没有爱牛分也比主播高啊	(胖哥,爱牛分,多年)
 129:24 - 129:36	胖哥把走马灯这泼天的富贵都给你了	(与,没回,眼花)
 142:38 - 142:51	先闪带动后闪[dog]	(带动,闪,先闪)
 158:54 - 160:07	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(一个月,流水,多)
 162:28 - 163:35	主播这技术没天眼不如胖哥一半更别说杰哥	(低,哈哈哈,哈哈哈哈)
