全场最高能：185:51	走马灯了

其他高能：
 3:59 - 4:19	主播我的手机  充电 烫手咋办	(嘴里,塞,咋办)
 5:53 - 5:59	二合院有厕所吗	(走马灯,院有,厕所)
 7:26 - 9:55	怪猎 生化危机	(吃一堑,],[)
 13:52 - 13:59	老公好会蒙[爱]	(杨慧娟,次郎,洋)
 15:54 - 16:31	@玖歌 我不去[dog]	(],[,汇)
 18:34 - 20:12	主播，我听蟪蛄的故事手机会感染hpv吗	(？,主播,的)
 20:36 - 23:40	这是你编的吧，太离谱了	(;,？,])
 25:06 - 27:05	没有hpv你会爱她吗[dog]	(当,🐢,伴娘)
 27:07 - 27:33	人差点被你送走了[傲娇]	(手柄,的,卖)
 31:00 - 31:28	楼下的也羡慕了	(楼下,划拉,？)
 51:56 - 51:59		()
 55:08 - 55:15	人家是结婚了 不是去套狗了	(狗,套,结婚)
 57:01 - 58:58	主播你能借我八千买机器进游戏堵你吗	(借,你,我)
 59:17 - 62:47	[比心]主播我19岁，但是我老婆马上要生了，你能借我2000买奶粉吗	(借,我,了)
 68:21 - 68:53	实在不行给胖哥刷个飞机锁图吧[dog]	(在于,给,飞机)
 69:08 - 75:57	著名的搬砖机，qq，同住，沙发，DR，啊啊啊啊，居然没听过吗	(听,，,没)
 76:50 - 80:56	主播现在睡前故事会的可太多了	(啊啊啊,了,啊)
 83:07 - 92:39	你忘了我当天在你床上你怎么跟我说的吗[委屈][委屈][委屈]	(了,;,的)
 93:06 - 93:24	主播我想要迪迦	(?,？,楼)
 96:19 - 97:22	请你去当伴娘吗	(],[,伴娘)
 100:06 - 100:48	你问的是派大星吧	(问,走马灯,记得)
 130:38 - 131:23	这个赞是你点的吗	(哈哈哈,了,你)




 134:08 - 134:17	就知道	(觉得,弹簧,拿)
 141:53 - 143:00	千本樱也倒闭了吗	(公主,了,樱)
 143:23 - 146:43	嘿嘿，笑死	(嘿嘿,公主,了)
 149:12 - 151:14	舰长吗	(灯,~,噔)
 154:02 - 154:24	放现在一个哈尔滨抵得上 10 个孩子	(要生,孩子,所以)
 154:51 - 154:57	越苦的反而要的越多，反正都是一死大不了赌一把	(安全措施,买不起,赌)
 155:11 - 156:04	主播不是生了一个 CRT 吗	(了,补给线,马灯)
 156:27 - 156:30		()
 164:12 - 164:21	那我不得不把胖哥送到你的房间里了	(送到,房间,不得不)
 169:05 - 169:41	我打了这么些年，最高纪录还是 15，反观人家美神一个晚上就达到几百	(对战,多人,，)
 169:45 - 170:53	是绿的	(的,？,绿)
 177:33 - 179:40	[捂脸]当年买的wiiu，玩了几次就吃灰了	(了,最后,的)
 180:09 - 180:15	充分	(了,干脆,充分)
 180:36 - 180:56	所以白胖是谁	(啵,煮,卖)
 185:37 - 187:34	走马灯了	(了,卡,？)
 199:42 - 199:45		()
 205:53 - 206:03	[惊喜][大笑]	(大笑,],[)
 213:30 - 214:11	蒙的	(蒙,的,过关)
 225:23 - 228:30	河田是什么	(河田,过来,什么)
 233:24 - 234:34	您在本关共走了 16 圈马灯	(→,D,门)
 235:05 - 235:23	胖哥知道怎么过[dog]	(知道,过,怎么)
 235:33 - 235:58	就等着犇轟呢[爱]	(。,捂脸,])
 239:35 - 241:38	百分之五 可惜	(],[,捂脸)
 249:05 - 251:33	又可惜了[dog]	(！,了,dog)




 259:11 - 259:46	悲哀啊	(哈哈哈,悲哀,啊)
 261:44 - 263:01	得亏脑子糊涂了 没进	(扣分,卡比,掉线)
 267:37 - 267:43		()
 267:45 - 268:01	马上就不是了	(揽客,要来,马上)
 268:20 - 268:55	[爱][爱][爱]	(爱,],[)
 270:06 - 271:50	666开了	(蒙,喇叭,香槟)
 272:02 - 274:54	悲悲的哀哀呀[哇]	(],[,哇)
 284:57 - 287:37	前面12进8后面倒车的牛就淘汰了，你和库巴倒车你淘汰了[dog]	(倒车,你,])
 288:41 - 289:01	gtmex	(gtmex)
 291:21 - 292:43	然后另一头倒车的淘汰了，孙子进去了接着倒车[dog]	(倒车,dog,另一头)
 294:12 - 294:57	楼上小姑娘要来敲门了	(九折,对,小姑娘)
 304:46 - 307:06	我以为是家牛，跟着我领跑一路了我没打他[大哭]	(大哭,我,])
 308:08 - 308:38	还没灯呢[傲娇]	(荣耀,分额,没灯)
 315:11 - 320:59	又到了我最喜歡看的環節[哇]	(],[,委屈)
 327:02 - 328:02	加纳[亲亲][亲亲][亲亲]	(亲亲,加纳,])

