全场最高能：99:44	雅阁了

其他高能：
 4:21 - 6:43	我超威，到底是我睡的早还是主播开播晚啊[酷拽]	(明天,、,最)
 7:00 - 7:22	跳板那跳起来	(明天,我,烤肉)
 9:20 - 10:45	又来了一个我没见过的房管[dog][dog][dog]	(？,dog,])
 13:05 - 13:26	马里奥高考之成语接龙	(耽误,做成,什么样)
 13:40 - 14:43	明天要高考了怎么还在这玩游戏呢	(比心,],[)
 17:01 - 19:01	主播我19岁，但是孩子下半年就要出生了，你能借我8000买奶粉吗	(，,岁,了)
 19:47 - 21:29	赞[dog]	(赞,pjbsb,图)
 26:58 - 27:30	好几天没看到开牛车了	(谢谢,急,了)
 28:25 - 28:30		(技不如人)
 31:37 - 34:42	主播戾气好重，还敢叫传说中的林克，我看8k分的白胖才是传说中的胖哥	(;,白胖,了)
 36:54 - 37:17	这不是日文吗	(SHIROHANA,代步,系咯)
 39:02 - 39:53	@クリーム松饼 最近怎么不玩多人了 [dog]饼子	(],[,涨价)
 41:32 - 41:38		()
 42:53 - 45:49	你说的这个胖哥他姓孙吗	(],[,了)
 46:00 - 46:06	胖哥居然没直接拒绝，是不是真以为自己没了牛也能上8000[dog]	(没,拒绝,dog)
 50:16 - 52:06	主播的孩子什么时候高考	(高考,主播,了)
 61:07 - 61:21	不进门吗	(进门,钻,不)
 64:56 - 65:50	金河田银河田 傻傻分不清	(蘑菇,吃,了)
 66:06 - 66:12	这个作者	(9.949,嫉妒,所以)
 66:35 - 67:03	出去一看又是0点几的通过率	(？,漂亮,几)
 73:06 - 73:49	没送DR，送的是1对1家教半年多	(爱,谁,DR)
 74:29 - 74:59	新型雅阁	(雅阁,哈哈哈,炸)




 79:28 - 80:50	射炸弹	(炸弹,射,射箭)
 88:38 - 89:21	重玩咯[dog]	(悲哀,],[)
 91:40 - 93:05	不是这直播间真有有机器有游戏的啊	(智者,永封,;)
 93:24 - 93:27	喜欢跳	(;,雅阁,干)
 98:50 - 102:25	雅阁了	(;,了,你)
 103:28 - 104:36	没用热熔胶的没见过	(过,热熔胶,没见)
 113:07 - 115:14	好图	(;,胖哥,哈哈哈)
 115:28 - 115:38	糊涂啊	(饼,糊涂,？)
 117:09 - 117:59	这图做得最好的就是cos胖哥	(的,图,;)
 119:28 - 120:17	主播好细节[哇]	(;,],[)
 123:43 - 124:22	银币[捂脸]	(藏,捂脸,牛哇)
 125:51 - 126:28	胖哥来早过了	(来,蒙,过)
 128:47 - 130:15	您在本关共走了 1 圈马灯	(好图,;,])
 140:26 - 142:22	米开朗基罗、达芬奇	(的,],[)
 146:20 - 147:59	我不续了你会给我发消息吗[哇]	(了,我,你)
 148:10 - 149:38	惠菇也打电话了	(了,我,惠菇)
 152:29 - 152:39	才看过	(玩,这不杰哥,si)
 152:57 - 153:13	雅阁了	(雅阁,而已,dog)
 154:20 - 154:29	666	(666)
 154:45 - 155:26	ddj作图[dog]	(1.0,会员,VIP)
 155:40 - 157:29	主播不是卖过硬盘吗[哇]	(孩子,什么,熊)
 161:12 - 161:28	悲哀是主播的名言	(悲哀,委屈,也)
 161:49 - 162:43	蒙的	(蒙,的,哒)
 170:52 - 171:05	9非得偷	(一炮,偷,9)
 173:56 - 174:03	主播，等你孩子10岁了，做这种图给你玩的话，你会怎么评价	(你,孩子,，)




 176:07 - 176:37	主播电脑配置不行吧，说到电脑，我认识一个主播	(主播,不行,在)
 177:57 - 179:32	补给线=不极限	(哥哥,你,补给线)
 181:04 - 181:36	穷的只能吃蘑菇了[哇]	(哇,只,的)
 184:56 - 185:00		()
 193:14 - 193:45	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(不知,，,可以)
 200:16 - 201:22	那咋了	(咋,了,那)
 209:25 - 210:07	我说什么他回应了	(拿,],[)
 217:14 - 217:30	主播的好感度快拉满了 要进化成月亮伊布了	(伊布,月亮,进化)
 217:47 - 221:19	主播变态操作把老板逗笑了[哇]	(],[,老板)
 222:45 - 224:34	那咋了	(牛车,哞,了)
 234:22 - 236:16	金金的河田呀	(],[,对)
 236:24 - 236:43	猪啵为什么不娶刘亦菲和高圆圆是不喜欢吗	(不,高圆圆,刘亦菲)
 237:14 - 238:15	主播你这牛心脏不好 可能是嘴唇的问题	(你,牛,玉米)
 241:36 - 242:24	19年之后基本就没看了，这几天在补切片	(补,切片,大哭)
 244:39 - 245:07	没晋级	(班上,晋级,找个)
 246:36 - 249:42	当后面三红壳一次性扔你的时候你就知道羽毛多重要了[dog]	(。,胖哥鈿,三体)
 253:02 - 254:15	淘汰了	(淘汰,了,isun)
 262:08 - 263:44	能完赛你都很尽力了，不要勉强自己	(士,大戾,LOSE)
 263:47 - 264:00	大戾士	(士,大戾,攻击性)
 266:59 - 268:21	这是自动走马灯弹幕，看到我你就不是第一个走马灯啦	(自动,这是,弹幕)
 269:27 - 269:38		()
 270:31 - 273:16	这是一条马灯测试弹幕	(一条,[,这是)




 281:23 - 282:47	灯顶[比心]	(灯顶,666,！)
 283:01 - 283:44	又叫马灯牛车世界	(噶,突然,bot)
 286:27 - 286:48	为什么三个蘑菇用了两个被胖哥寻了又恢复三个了	(三个,了,恢复)
 292:33 - 296:09	拔的是暴暴牙吗	(！,],[)
 296:36 - 297:15	能到汉堡店吗	(降价,变少,店)
 302:21 - 305:45	我刚刚拔暴暴牙去了，没办法[大哭]	(],[,望)
 315:12 - 315:47	他先制	(强,剑盾,突袭)
 327:18 - 331:32	对面选择了最自由的玩法	(了,对面,])
 333:33 - 335:34	主播怎么知道的[哇]	(亲亲,加纳,])

