全场最高能：82:55	孩子出生第一句话是走马灯

其他高能：
 4:47 - 5:06	只有我卡吗	(哈哈哈,夜宵,我卡)
 5:19 - 5:30	大戾士	(难道说,士,大戾)
 5:54 - 8:37	现在还在网络死区，但是用了星链，大多时候不卡了	(么,卡,了)
 9:03 - 10:09	这个我就不清楚了，但我知道我之前at&t的网络（14年前）是100kb/s左右	(比心,左右,早上好)
 13:17 - 15:31	主播我想进口一个星链到国内你可以开一个证明吗	(，,主播,一个)
 16:09 - 16:52	胖早过	(胖早,过,玩多人)
 22:56 - 24:20	因为爱牛在下面垫了一下	(了,因为,])
 26:43 - 27:30	孙子是主播	(？,灯,孙子)
 27:43 - 29:20	红绿龟区别是在悬崖面前会不会下去	(回头,红龟,王八)
 35:22 - 36:35	那也得高清的马赛克[dog]	(马赛克,高清,份子)
 38:45 - 40:05	乐[花]	(，,],[)
 40:33 - 41:43	主播怎么不画南瓜	(比心,],[)
 43:35 - 45:04	作者睡不着了	(作者,了,偷)
 45:29 - 45:49	作者不会双龟	(人话,双龟,作者)
 48:18 - 52:08	今天晚上就这张了	(了,],[)
 53:25 - 54:20	你把花吃了路不就出来了	(墙,就,蹬)
 54:57 - 56:57	飞吧，这图胖哥也得要俩飞机才能过	(吧,过,，)
 58:18 - 60:07	你不睡前故事我可要开始叫了	(觉得,你,哇)
 64:02 - 65:05	竹内条条 为啥不播马造了啊[捂脸][捂脸][捂脸]	(捂脸,走马灯,])
 70:20 - 70:23	你有证据吗就诋毁我胖哥，有本事把证据摆出来	(证据,有,輪)
 72:20 - 73:18	你有证据吗就诋毁我胖哥，有本事把证据摆出来	(…,捂脸,我)
 73:24 - 73:28	碧梨的黑名单有多少	(有,碧梨,黑名单)




 73:49 - 74:56	作为主播只要分享自己的热爱和生活就好了，不要扣我了	(证据,扣,bo)
 75:03 - 75:17	我认识一个主播，在这件事情爆出来后还给胖哥洗，主播你怎么看这个人	(人,主播,，)
 76:17 - 76:40	我认识一个主播，在这件事情爆出来后还给胖哥洗，主播你怎么看这个人	(主播,这件,带坏)
 80:29 - 80:42	什么是大乱斗	(美国,么,排不上)
 82:45 - 84:14	孩子出生第一句话是走马灯	(孩子,关注,生)
 101:01 - 102:03	悲哀极巨化	(一帧,taxi,，)
 103:11 - 105:17	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(],[,666)
 106:00 - 106:23	逐帧玩	(逐帧,玩)
 106:30 - 108:06	放视频有TAS的水印吗	(，,胖哥,操作)
 109:09 - 110:16	金色司马鱼刷了半个月，你还没工夫[花]	(人类,胖哥行,合金弹头)
 110:59 - 112:36	说的谁啊，好难猜啊[dog]	(爆料,],[)
 112:45 - 113:11	那咋了，你还要管粉丝的生活是吗	(热气球,收到,能)
 113:56 - 114:24	那很有生活了，铁暗恋	(dogbear,有,戈贝尔)
 115:08 - 120:36	主播不也是一整个上海群的人都在骂你吗[dog]	(],[,你)
 122:28 - 123:26	算你过了，飞吧[dog]	(],[,圈子)
 123:46 - 125:07	蒙的	(？,蒙,666)
 140:59 - 144:03	陈先生送我一台ns我就帮他去了	(送,ns,我)
 147:33 - 148:08	那咋了，我们bili就是这样的	(bili,了,咋)
 149:38 - 152:08	蓝胖是马车圈的	(蓝胖,],[)
