全场最高能：3:57	孙放屁的声音嘛[爱][爱][爱]

其他高能：
 1:52 - 5:07	孙放屁的声音嘛[爱][爱][爱]	(爱,[,])
 6:14 - 6:37	@異地的zhi先生 早💗💗💗	(💗,了,又)
 8:18 - 8:33	依旧电音bubuline	(啵,;,不活)
 11:38 - 11:48	有游戏声音的	(说话,不,这电音)
 32:27 - 33:14	洋次郎那句 爱牛 我xxxx 半夜给我看乐了	(我,麦,图)
 39:11 - 39:52	这是怎么办到的	(],[,能)
 40:51 - 41:42	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(，,马造,3)
 44:49 - 45:01	你可以看胖哥直播学习 他只会说好玩不难	(看,你,哥)
 45:51 - 48:02	主播怎么不玩多人了[委屈]	(？,;,蒙)
 49:24 - 49:33	藏B	(牛蛙,积分,免费)
 59:23 - 59:55	新人刚来，请问这个主播一直这么高冷吗	(嘬,电音,来)
 65:45 - 65:59		()
 66:08 - 66:21	我都导了一管回来了，怎么还在这图	(666,蒙,了)
 66:26 - 66:52	蒙的	(的,蒙,图过)
 67:58 - 68:22	[dog]我去睡了，七点多就得起来去浦东机场	(去,，,机场)
 72:03 - 72:59	这么极限	(💣,河田,爆炸)
 73:17 - 74:29	玩河田技术就被河田传染了	(LOSE,哈哈哈,河田)
 76:13 - 77:45	打了这么久，还是飞	(哈哈哈,了,_)
 79:02 - 80:06	这个赞是你点的吗	(补给线,九折,💗)
 85:59 - 86:25	有可能是你不说话麦的降噪算法自动放大了底噪	(有,说话,你)
 88:07 - 90:05	@拾柒· 这个你得问主播了，我也不了解河田，没关注	(，,了,主播)
 90:42 - 91:14	爱播还没回家吗，老用外面的破设备[dog]	(dog,味,设备)




 93:53 - 94:51	主播，别被这些乱七八糟的弹幕扰乱，请你努力做自己心中的赛车手，去驰疾吧	(？,的,;)
 97:27 - 98:46	本来想着听林克说话就开走马灯来着，还是直接走吧	(还是,听林克,想着)
 98:54 - 98:57	好图	(好图,雅阁)
 100:10 - 100:55	您在本关共走了 3 圈马灯	(赞,],[)
 106:57 - 108:06	老公好会嘬[爱]	(嘬,],[)
 112:48 - 114:05	AI啊，卡拉	(松饼,ai,])
 124:33 - 124:38		()
 133:20 - 134:07	您在本关共走了 3 圈马灯	(_,666,虚惊一场)
 141:56 - 141:58	为啥就是慢一格呢	(慢一格,为啥,就是)
 142:04 - 143:00	缺少个爱牛垫一下[dog]	(你,，,八个)
 143:50 - 143:55		()
 147:07 - 147:19	林克本人来也得死个屁的[捂脸]	(屁,本人,林克)
 148:30 - 149:15		()
 150:35 - 154:01	踩音符能跳那么高吗	(踩,666,音符)
 154:15 - 155:05	主播在用对讲机说话	(在,主播,回音)
 159:31 - 159:36	为什么不直接跳上去	(图开,TA,明显)
 164:27 - 164:49	刷了他	(刷,他,了)
 166:13 - 167:06	您在本关共走了 5 圈马灯	(?,？,LOSE)
 167:30 - 167:45		()
 168:34 - 169:40	孙花赛跑	(公平,赛跑,孙毛)
 170:00 - 170:06		()
 172:38 - 173:17	主播为什么不说话	(出不来,为什么,说话)
 175:59 - 177:28	为什么今天过关的时候屏幕会卡	(过关,腾云驾雾,次数)
 177:44 - 179:50	这不是死了一次么	(很,不好,好)
 179:57 - 180:12		()




 182:49 - 183:57	刚刚不还说20吗，利润暴涨50%	(马灯,了,不)
 186:11 - 186:53	好藏	(哈哈哈,准,单杀)
 189:37 - 190:43	耳朵聋了	(卡,他,聋)
 197:23 - 198:12	您在本关共走了 5 圈马灯	(在,今晚,了)
 198:23 - 198:29		()
 200:39 - 201:02	别问我在不在了	(在,妈妈,别问)
 210:12 - 210:28		()
 210:34 - 213:11	不是差了10s吗[dog]	(噔,嗒,妙)
 213:24 - 215:45	偷了半天就这	(哒,？,嘎嘎)
 216:27 - 217:16	您在本关共走了 5 圈马灯	(哒,18s,应该)
 217:55 - 219:14	悲哀啊	(偷,悲哀,了)
 220:18 - 221:14	胖哥就可以踩8000个	(哒,呱呱,胖哥)
 222:39 - 223:14	好图	(胖来,团长,请)
 227:03 - 227:57	恭喜过关	(怎么,？,问号)
 228:20 - 229:06	世风日下，怎么蒙的没人刷了	(语音,没人刷,世风日下)
 236:05 - 236:17	笑死	(复活,..,死)
 239:32 - 241:08	这么极限	(灯冷灯,冷,，)
 242:08 - 242:59	汝可识的此阵	(灯冷灯,冷,，)
 244:03 - 244:18		()
 245:28 - 247:30	您在本关共走了 17 圈马灯	(哒,helicopter,！)
 248:46 - 249:11		()
 253:20 - 257:57	泡机频率好高	(哒,？,了)
 264:33 - 264:40		()
 268:33 - 268:49	聋哑主播太励志了	(励志,一目了然,可爱)
 269:53 - 273:14	主播加油，前途是光明的，你有一颗金子般的心[比心][比心][比心]	(哒,],[)
 277:37 - 279:30	老公好会钻[爱]	(],[,爱)




 288:32 - 288:45	[捂脸]	(捂脸,LOSE,悲哀)
 288:58 - 289:21	第四名太近了，弯都还没过	(👄,都还没,弯)
 298:45 - 300:13	刹车的都上去了[dog]	(都,了,马灯)
 303:36 - 304:16	好	(好雷,好)
 308:30 - 310:22	那地方前排有个三蘑菇堪比保送[dog]	(！,灯顶,666)
 319:20 - 324:41	👻攻击性好强	(了,],[)
 326:06 - 326:52	原来是第一马灯都没了	(？,都,没)
 327:56 - 329:09	悲哀啊	(悲哀,再,LOSE)
 329:24 - 330:11	Kazelink是谁	(Kazelink,谁,是)
 336:01 - 338:14	这是Switch 2上的《马力欧卡丁车 世界》	(偷,菇,都)
 340:17 - 341:08	主播和那个叫卡兹林克的多大仇啊，怎么把把被他直播间水友针对	(把,是,主播)
 345:00 - 346:10	读图能力不行，忘了最后一个道具点早了	(能力,道具,读图)
 346:56 - 350:28	坏了[大哭]	(],[,大哭)
 359:06 - 360:16	宇宙最快来了	(4,/,了)
