全场最高能：317:04	悲哀 和田太强了

其他高能：
 8:43 - 14:32	这个叫走马灯	(？,主播,了)
 16:03 - 18:12	@大家好我是小乔哥哥西 这不是介绍了吗[dog]	(？,学姐,了)
 20:25 - 24:20	00年的怎么你了	(走马灯,],[)
 25:11 - 28:32	哇 灯底	(],[,哇)
 28:41 - 29:00	请自重	(自重,请,走马灯)
 29:04 - 29:10	8000的实力毋庸置疑	(毋庸置疑,人脉,实力)
 31:41 - 32:53	这是孙子吗，我认错主播了	(？,悲哀,险胜)
 36:15 - 37:09	悲哀阿	(悲哀,走马灯,也)
 37:28 - 37:40	主播怎么不玩多人	(💗,抗日,zhi)
 37:55 - 40:43	主播怎不玩多人	(？,么,])
 40:56 - 41:50	已经完全变成天眼的形状了，悲哀	(],[,，)
 43:10 - 44:37	那主播你知道我在哪賣金河田的嗎[哇]	(？,],[)
 49:08 - 53:20	加纳[dog]	(了,？,])
 61:29 - 62:12	我没有游戏机[dog]	(有,哈哈哈,我)
 81:28 - 82:47	时之笛重置了	(灯冷灯,冷,重置)
 88:14 - 88:43	主播主播，我怎么看不懂啊[dog]	(看不懂,主播,好图)
 95:26 - 97:36	你是在质疑陈先生的观点吗，陈先生可满意了	(人间,],[)
 98:33 - 99:41	哈哈哈哈哈哈哈	(哈哈哈,;,啊)
 101:29 - 103:21	什么是走马灯啊	(了,],[)
 106:34 - 107:11	现在还可以打子弹上墙吗	(打,技不如人,问问)
 111:04 - 114:13	ab绿冲	(;,胖哥,跳)
 121:17 - 121:55	飞了吧	(哈哈哈哈,;,哈哈哈)
 132:39 - 132:57	松饼再主播后面，不在旁边	(旁边,松饼,有)




 140:05 - 141:27	主播多人打不过胖哥，要不去争取一个极难第一吧	(登顶,了,胖哥)
 144:29 - 144:37	胖哥不同意多人	(扣六命,飞图,同意)
 148:04 - 148:25	以前不是抽大嘴巴来着，现在怎么不抽了	(三段,抽,怎么)
 155:38 - 157:41	原来是麦坏了 我还以为是主播哑了	(了,，,什么)
 163:39 - 163:58	乐[dog]	(知道,求,夸张)
 167:40 - 168:19	那长期持有我的黄金生锈了怎么办[傲娇]	(黄金,的,持有)
 168:27 - 168:35	突然笑跟孙	(呜,呜呜,嘿嘿)
 168:51 - 169:41	主播一看就没买过黄金  去年这个时候直接从2100涨到了5000	(涨,时候,后)
 172:06 - 173:17	好啊，这个黑花简直比夷陵的大火还好	(哈哈哈,嘟嘟,了)
 178:13 - 179:14	这是错的，黑天的时候面对和屁对的都是黑暗，	(的,，,是)
 184:22 - 185:04	我怎么记得主播昨天的麦克风不好使 今天怎么好使了	(的,主播,不好)
 193:05 - 193:59	@クリーム松饼 胖哥还没发多人模式的许可证吗	(主播,胖哥,队)
 196:54 - 196:59		()
 203:00 - 203:10		(花点,不耻,咱们)
 208:36 - 210:54	已经举报盗播的了	(举报,盗播,])
 212:01 - 212:05		()
 212:16 - 212:42	素材有了	(b,士,大戾)
 213:17 - 213:19		()
 214:33 - 216:00	准备好了	(准备,了,;)
 221:53 - 223:26	人家59秒怎么过的	(秒,状态,来回)
 225:25 - 227:17	主播任天堂直面会看了吗，我还以为有马造3呢	(回去,直接,的)
 230:44 - 233:55	啥时候把那个踩p到旗子被挤出来的图蒙过了	(？,蒙,的)
 234:15 - 234:33	好图	(士,大戾,哈哈哈)




 234:37 - 235:43	那你可以考取AI资格证吗[哇]	(∠,儿,吗)
 236:20 - 236:31	oh no	(no,oh,《)
 241:41 - 243:02	没游戏有游戏机	(有,游戏机,，)
 252:44 - 253:07	两脚离地了病毒就关闭了	(两脚,关闭,病毒)
 253:32 - 253:37	主播，主播，我听到你还花呗的故事了，还有什么故事吗	(故事,，,听到)
 255:58 - 258:29	主播，主播，你除了四大仇人还有其他仇人的故事吗	(，,仇人,的)
 259:20 - 260:38	道理我全不懂，什么时候牛车	(懂,？,chi)
 261:20 - 261:29		()
 261:37 - 261:53	胖哥来早就说清楚了，你说了半天没用	(，,我个,说了半天)
 263:40 - 263:58	理论满分 实践负分	(负分,理论,实践)
 268:13 - 269:12	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(白,厉害,白胖)
 272:58 - 274:34	之前不是做新游戏去了吗	(哞,了,婚礼)
 275:57 - 276:35	双平台同步播吗	(哇,],[)
 276:41 - 276:57	我看切片，你说完破防了	(花,好,])
 280:25 - 280:30		()
 284:48 - 286:38	悲哀库巴	(了,蓝龟,悲哀)
 296:46 - 298:30	悲哀啊[哇]	(确定,排名,])
 305:34 - 307:59	那咋了，手柄在人家手上，想怎么堵就怎么堵你呀	(撞,人家,好)
 314:23 - 314:51	我看那么久，真没碰到过你拿电的时候[无语][阴险]	(语,阴险,无)
 315:56 - 320:27	悲哀 和田太强了	(？,对,了)
 323:56 - 325:16	还差点，16名开的，然后到第八名了[dog]	(？,🥰,])
 330:46 - 331:03	你还要管粉丝生活	(生活,还要,管)




 331:13 - 332:07	我是74751买的	(的,74751,我)
 334:31 - 336:16	哇 登顶	(],[,灯顶)
 341:24 - 342:26	早就该这样了，反正都是被针对，被针对就跑路是对的	(了,对,针对)
 351:21 - 352:39	毫无含金量的灯顶	(！,灯顶,含金量)
 358:09 - 359:57	95％[委屈]	(大哭,],[)
 360:16 - 360:39	乐[dog]	(乐,dog,])
 366:43 - 367:14	安全了	(漂亮,危险,八)
 368:45 - 371:02	悲哀啊	(巩固,！,牛哇)
 371:20 - 371:56	来个密勒顿	(骚鸭,分比,挡住)
 380:28 - 382:16	孙这么低分，你怎么还没寻到他[哇]	(士,大戾,哇)
