全场最高能：214:30	266啊

其他高能：
 6:32 - 6:37	继续飞	(哪有,继续,飞)
 6:54 - 10:50	多人已经被胖哥踢出家庭会员群了，玩不了了[dog]	([,],了)
 11:36 - 13:50	主播我今天在哔哩看到一个马造Team0%故事的视频，他们玩极难图都不灯冷	(的,],[)
 14:02 - 14:25	时间应该不极限	(时间,没,够)
 16:14 - 19:04	这是偷了吗	(了,？,偷)
 19:10 - 22:38	飞了吧，不玩这种没营养的图[dog]	(过,了,下面)
 27:34 - 28:07	要出现高级动作了[赞][赞][赞][赞]	(赞,[,])
 33:36 - 34:00	白胖现在都这地位了	(都,偷笑,欺)
 34:34 - 36:19	记录是胖哥小号的，刷了他	(饼,的,[)
 39:04 - 39:34	好多惠菇	(看,妙不可言,膨胀)
 40:20 - 40:36	居然没牌牌[哇]	(牌,没牌,居然)
 41:43 - 43:48	胖哥掉下去就重开，根本不需要刷新门	(重开,藏,不)
 50:01 - 50:31	麦早过	(过,纳闷,麦早)
 52:31 - 52:45	那他喝过纸杯鸭汤吗	(鸭汤,吗,有)
 53:09 - 53:59	我哪边都没说话，我在画东西	(比心,[,])
 55:51 - 56:07	师傅别念了 ，B站的兄弟们都听到腻了	(都,胖哥,孙孙麦)
 56:23 - 56:28	胖哥一眼就看完了	(胖哥,解包,一眼)
 57:03 - 57:28	说什么呢[dog]马造2是胖哥发明的	(任天堂,胖哥,是)
 57:40 - 58:40	任天堂因为手柄问题被罚款了，真的假的	(的,任天堂,💗)
 59:12 - 60:59	藏无敌星了吧	(无敌,藏,了)
 68:55 - 69:54	这图怎么感觉哪个地方都不简单	(，,这,感觉)
 70:00 - 70:08	急了我说	(好菜,地方,最难)




 70:39 - 71:13	兄弟们，ns2买的话，ns1上的游戏还在吗	(吗,，,通用)
 80:09 - 80:15	nb	(nb,孬)
 81:37 - 81:41	和雪球比翼双飞	(比翼双飞,雪球,和)
 83:48 - 84:43	胖宝宝好可爱	(自重,[,])
 90:14 - 91:10	那不是怕在直播间直接喊老婆你们受不了吗[dog]	(？,那,[)
 91:39 - 92:35	问他俩盘腿你在旁边干嘛 单男吗	(你,他俩,旁边)
 94:49 - 96:39	走马灯是啥意思	(第一,了,主播)
 98:56 - 101:06	其实直播间都是雅阁的卧底，一会儿谁走马灯就进雅阁了	(雅阁,是,的)
 101:35 - 102:47	图孬	(孬,吗,故事)
