全场最高能：17:45	死不了，完全没有死的空间

其他高能：
 3:20 - 3:48	什么学校 中南吗	(爱,],[)
 3:57 - 6:06	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(比心,],[)
 10:00 - 10:13	这应该最少有8000个币了吧[dog]	(最少,个币,又臭又长)
 12:37 - 13:52	我猜没准这图都有作者通道	(孬,。,不然)
 17:06 - 20:00	死不了，完全没有死的空间	(;,空间,死不了)
 20:46 - 22:37	这图玩过了吧	(],[,砖)
 25:28 - 25:32	这不是前几天那个有惠菇有河田有胖哥的那张图吗	(圈儿,河田有,圈圈)
 25:41 - 27:13	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(],[,🍄)
 33:04 - 36:07	下次胖哥遇到这图我去刷林克来了一命过[哇]	(？,;,的)
 37:00 - 38:34	刷新一下呢	(],[,刷新)
 40:45 - 42:05	你不知道我们可以告诉你，你要知道吗	(知道,？,你)
 44:23 - 44:27		()
 49:34 - 52:21	@桦南县赛亚电脑监控 你认错人了，厉害那个是胖哥	(],[,了)
 53:54 - 55:14	因为有人说这图以前秒过	(士,大戾,])
 56:10 - 61:14	主播之前你没过的跑酷图我在B站刷到过法艾特你了，是张孬图	(;,],[)
 64:18 - 65:15	不是吃天鹅的吗	(青蛙,吗,吃)
 68:17 - 69:10	那你在家养只青蛙不就没蚊子了[dog]	(],[,dog)
 81:59 - 82:54	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(],[,。)
 87:03 - 87:48	字正腔圆[dog]	(dog,],[)
 90:17 - 90:27	林克，你嘛时候成为世界第一啊	(成为,嘛,林克)
 90:35 - 90:37		()




 91:04 - 91:26	胖哥来十秒就过了	(就,-,公认)
 91:41 - 91:49	白白的胖胖[爱]	(-,3NG,M4D)
 95:22 - 95:58	人家胖哥就能每次踩上[dog]	(-,就,65G)
 97:39 - 99:29	胖哥直接过快速版外加用ns2	(快速,性能,胖哥)
 99:33 - 102:56	胖哥能8000个龟上墙，主播你行吗	(胖哥,能,是)
 103:32 - 104:24	就三个乌龟都玩不明白，一百个乌龟胖哥都能一把过	(乌龟,过,，)
 111:29 - 111:34		()
 124:54 - 125:27	老公好会蒙[爱]	(蒙,两关,8)
 125:53 - 127:01	胖哥来了	(胖哥,来,出来)
 129:54 - 131:37	技不如人，溜	(了,，,鼓掌)
 134:24 - 134:32		()
 136:54 - 137:57	烧脑图	(烧脑,，,林智)
 141:59 - 145:55	@クリーム松饼 拉黑了主播吗	(士,大戾,了)
 146:22 - 148:01	胖哥来早过了	(下落,延迟,胖哥)
 151:04 - 151:46	我一直以为你们发的💗这心是舌头[捂脸]，以为你们在互舔[委屈]	(饼,以为,你们)
 153:34 - 156:21	那咋了，有瑕疵你还不是得老老实实的玩	(了,，,哈哈哈)
 163:53 - 164:28	胖哥来早过了	(士,大戾,马灯)
 170:04 - 170:15		()
 174:04 - 174:23	胖哥就帮别人领证了	(胖哥,游戏王,好感度)
 174:34 - 174:54	你在说什么[花]	(黑瘦,太高,浓度)
 175:32 - 178:34	回收壳	(壳,回收,，)
 179:40 - 180:49	水中雅阁	(啥,游戏,这)
 182:35 - 183:04	被风寻了	(摩托,风驰电掣,风)
 184:27 - 185:48	了	(了,;,哈气)
 186:19 - 188:53	主播玩壳的技术不如胖哥就这还敢叫拎壳	(],[,了)




 189:12 - 189:16	就这	(好会,老公,蒙)
 191:10 - 191:59	先蒙上面的	(对,任务,;)
 208:07 - 208:19	笑死	(笑,死)
 210:08 - 212:10	bubuline是谁	(谁,是,热熔胶)
 215:13 - 215:49	胖哥来早刷新纪录了	(刷新纪录,来,胖哥)
 216:01 - 216:54	主播能不能把你知道的所有故事结合起来出本书 [大笑]	(走马灯,拉面,我)
 217:16 - 218:38	你出书的话，我绝对会买1本你身上太多活了	(我,💗,])
 219:00 - 220:35	主播可以跟我领证吗	(我,蒙,必中)
 220:37 - 220:55		()
 224:48 - 225:56	就这，松饼来都能过	(这,就,过)
 230:07 - 231:27	主播已经不姓植原了	(不姓,],[)
 231:34 - 231:43	以前还知道司马醒叫啥来着，太久了忘了[捂脸]	(太久,醒,忘)
 232:36 - 235:16	主播要是比胖哥先抗日 现在日流水3000的就是你了[委屈]	(主播,钵,盆满)
 236:24 - 240:17	主播我给你开会员你能给我寄你的写真集吗	(],[,写真集)
 246:36 - 249:54	没上瀑布的时候劈不错了	(],[,！)
 258:48 - 261:09	最后道具点抽的[大哭]我前面还留着两个蘑菇[委屈]	(大哭,],[)
 265:55 - 266:08	主播变公公了	(鬼魂,了,])
 271:56 - 274:09	我本来拿着毛马上超大近路，你一咒第一名立马打雷[委屈]	(],[,车队)
 278:46 - 279:23	路这么宽非得压一只可怜的松饼[委屈]	(压,],[)
 288:02 - 290:48	启动的好啊	(啊啊啊,启动,！)
 292:25 - 295:23	我這遊戲玩的太爛了	(了,50%,的)
 297:53 - 298:04	刚看见个ID，叫买不起低温蜡用热熔胶，我还以为是咱们直播间出去的	(变香,咱们,蜡用)




 304:31 - 304:37		()
 305:02 - 306:51	主播别玩黑白合了，去玩你的76吧	(了,],[)
 308:51 - 308:53		()
 314:33 - 314:37		()
 314:39 - 315:15	问了吗	(全靠,负,哭泣)
 317:04 - 317:59	我大号的称号是《经常偷懒的孙子》[dog]	(电风扇,],[)
 318:06 - 319:10	被刷子sound	(吭哧,一把,《)
 319:26 - 319:37	大戾士	(士,大戾)
 320:05 - 321:09	怎么没比例的弹幕了	(弹幕,音符,隔壁)
 321:34 - 321:48	我在音符也刷到好多个玩Splatoon的主播	(Splatoon,好多个,音符)
 321:59 - 322:38	刷不了道具就不会玩	(那些,管,六六六)
 323:55 - 326:44	好好好，这边的bot挂了	(],[,了)
 338:22 - 339:58	我帮你问白胖了 白胖说一个✈️半小时 单不饱过	(了,的,說)
 343:06 - 343:40	今天梦醒的晚了[大哭]	(晚,梦醒,了)
 348:27 - 349:30	塔上没人，主播死后塔还走了半秒	(挖,石油,了)
 353:02 - 353:22	我说能直接狙死吧[哇][哇][哇]	(哇,],[)
 356:13 - 358:58	这狙是承载了主播无法磨灭的记忆吗[dog]	(],[,哇)
 359:30 - 360:03	打宝可梦吧[dog]	(打宝,可梦,宝)
 361:11 - 361:31	主播射得好远	(放火,射得,远)
 370:09 - 370:13	凉了，差太多了	(差太多,凉,了)
 370:37 - 371:45	上流口水的枪了吗	(贴,悲哀,枪)
 373:07 - 374:29	主播玩过这代独有的武器吗，比如弓、电锯	(了,],[)
 378:32 - 378:57	对面什么武器啊，那么大一坨泼过来，孙子射程不占优、火力也不占优	(占优,不,火力)




 380:24 - 381:56	有个人一落地就死，双方还有来有回，队友是多强啊[妙]	(是,了,])
 383:26 - 384:24	要怪就怪任天堂把我安排在对面[dog]	(怪,哇,])
 395:33 - 395:56	15杀0死	(15,0,吓人)
 396:13 - 396:31	什么动静[dog]	(不死族,感言,發表勝利)
 401:07 - 402:31	喷射战士我还是买的季票版本[捂脸]，可是需要买会员玩几次再没玩了	(🤢,🍾,雅库)
 408:06 - 409:33	[哇]你好	(哇,],[)
 412:28 - 418:37	如果我在孙孙对面，是防水送分还是正常打暴揍孙孙[哇]	(哇,],[)
 420:05 - 420:45	对面是人机，吧	(大爆,袜子,穿)
 422:15 - 423:45	因为死了  所以在家里	(了,小绿,一边)
 425:53 - 426:20	刚刚不是这样的[委屈]	(滿,鉢,盆)
 426:23 - 428:22	金金的河田枪	(赢,赚,的)
 431:30 - 433:26	主播你也点一栋楼，这样就不会遇到大楼了[哇]	(那,],[)
 436:01 - 436:56	你还要管你队友的生活吗[哇]	(疯,队友,你)
 437:20 - 438:37	生气按赞了[哇]	(让,接下来,追五)
 441:20 - 442:19	梦醒了	(三,让,梦醒)
 446:32 - 447:00	是不是开牛车那个[哇]	(哇,],[)
 453:00 - 455:23	主播现在对面都是雷丘y三旋击不会空了	(了,雷丘,可乐)
 455:30 - 455:35	走马灯	(走马灯)
 457:14 - 457:50	直播间还有没睡的么[dog]	(真爱,没睡,514)
 458:42 - 459:49	对面是奶油松饼bot	(bot,了,])
 461:02 - 461:27		(666)
 461:43 - 462:16	这个黄皮耗子就是大名鼎鼎的皮卡丘吗[爱]	(闹,0,好)




 463:12 - 464:24	植原磊同学，植原磊同学，你奶奶给你带了你最喜欢的人机 哇，松饼奶奶好爱你哦	(，,人机,你)
 465:45 - 466:11	命中率不满 有命玉也白搭	(白搭,不满,有命玉)
 467:10 - 467:55	这版本我披带只能给地龙了	(披带,地龙,金河田)
 468:18 - 469:51	生命宝珠说是	(_,皮卡,生命)
 471:15 - 471:25	这赛季单打y喷我一次没见过，我地龙都放弃岩石封锁了	(我,大酱,喷射)
 472:04 - 472:06	玩mega姆克鹰试试	(夜凯,其他,试试)
 472:56 - 473:24	左边像个bot	(左边,像,bot)
 482:25 - 483:11	主包，game boy可以玩这游戏吗	(_,boy,电狗会)
 484:59 - 485:40	输多了排人机了悲哀	(人机,雷电,输多)
 485:48 - 485:51	系统补偿cpu了	(补偿,cpu,系统)
 486:22 - 487:04	卧槽  还有顺飞	(猪头肉,纯正,八戒)
 489:13 - 490:54	凭你也CT了[哇]	(],[,委屈)
 501:46 - 503:10	植原磊同学，植原磊同学，你奶奶给你带了你最喜欢的人机 哇，松饼奶奶好爱你哦	(你,把,巨铠)
 507:35 - 508:34	还有isun送肉	(熬,isun,这)
 510:21 - 510:57	他隐藏特性的话是轻装	(轻装,他,粉)
 514:54 - 517:38	快来高级球2[dog]等半天了	(狗,是,了)
 518:15 - 518:48	多龙呗	(复读,打雷,什么游戏)
 519:02 - 520:06	哈哈 还有个能蹭电光束的	(的,覆盖,王国)
 526:26 - 527:15	笑了[哇]	(。,],[)
 535:45 - 536:03	第一次看见x丘[dog]	(LOSE,长见识了,x)
 539:53 - 542:03	盖欧卡  记得给主播来个根源波动好吗	(],[,么)




 548:44 - 548:49	怎么把za的宝可梦传到home里啊	(home,传到,za)
 548:56 - 549:17	[dog][dog][dog]	(dog,],[)
 556:30 - 556:46	插U盘了是吧[哇]	(不空,插,零射)

