全场最高能：44:31	老公好厉害[爱]

其他高能：
 4:58 - 6:48	头像是胖哥[dog]	(],[,比心)
 10:07 - 12:55	@机械加拉克苏斯大王 你认错主播了，主播辛辛苦苦播一晚上，分币不剩，还老...	(啊,冷,比心)
 13:13 - 14:20	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(这,紫蝴蝶,就)
 16:20 - 16:46	为嘛柯南娃娃刚才单人模式一直转圈	(模式,娃娃,柯南)
 20:39 - 21:36	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(比心,],[)
 26:29 - 27:28	飞了	(呆,],[)
 30:46 - 31:29	雅阁了	(？,雅阁,捕鼠器)
 36:05 - 36:57	孬孬孬孬孬	(孬,比心,不卡)
 40:18 - 42:45	后面放个三龟加一弹簧就有了	(了,三龟,，)
 43:18 - 45:30	老公好厉害[爱]	(？,呆,])
 49:15 - 50:04	主播什么是延迟下落啊	(延迟,？,下落)
 54:05 - 54:37	不会死的点说是	(死,点,不会)
 55:20 - 55:29		()
 55:49 - 58:54	我说灯哥好厉害👍🏻，直接给我拉黑了	(],[,大笑)
 63:03 - 63:37	国内应该是最厉害的玩家了吧	(💗,九折,了)
 66:53 - 67:15	外卖图不就来了	(图玩,来,这种)
 73:28 - 73:30		()
 73:55 - 74:01	这是人能过的图吗	(脚线,原理,懂)
 75:33 - 76:59	钻洞不如麦，季小麦早过了[dog]	(💗,了,马灯)
 80:29 - 80:43	就这	(！,666,曹壳)
 84:41 - 87:03	大戾士	(士,大戾,])
 87:14 - 87:44	哦 看到了 一堆火 上面	(士,大戾,集体)
 88:22 - 89:04	还骂  在骂要去bili看了	(骂,要,等等)




 89:32 - 90:48	蒙的	(！,蒙,666)
 95:31 - 97:12	主播不飞是因为想在多人许可证办不下来的时候回味下多人	(！,哈哈哈,;)
 98:03 - 98:35	[捂脸]	(捂脸,],[)
 98:59 - 99:23	大戾士	(骂,士,大戾)
 99:53 - 103:37	不是主播，我就说了一句“你急什么”就给我拉黑了	(士,大戾,！)
 106:33 - 108:16	主播多人许可证又被没收了吗	(！,主播,，)
 110:18 - 112:04	团灭图来了	(图,走马灯,读图)
 112:14 - 112:55	胖哥来都是一命过[哇][dog]	(你,无敌,就是)
 113:42 - 113:55	团灭不玩了	(送团灭,开盘,不玩)
 116:26 - 120:00	我跟你说，那个主播很厉害，这个图的话，2 秒就过了，还能刷记录	(],[,，)
 120:36 - 121:21	@对角递增的热熔胶 笑死我了	(了,上面,下面)
 121:37 - 123:52	蒙的	(的,！,蒙)
 128:15 - 129:09	你不会转3圈半吗	(！,转,圈)
 139:55 - 140:18	时间不够	(付出,播,梗)
 144:03 - 144:26	@有故事的鑫哥 你连主播拉屎用的什么颜色卫生纸都知道吧	(，,地图,的)
 145:19 - 145:30	大戾士	(第,飞走,变成)
 157:06 - 160:54	@对角递增的热熔胶 原来那是主播喷出来的吗[dog]	(的,，,热熔胶)
 163:44 - 164:23	金河田是核聚变	(核聚变,打印,收益)
 171:04 - 172:15	蒙的	(的,蒙,])
 174:47 - 175:07	海南人，真是一位英雄啊.把近在咫尺的胜利放弃掉，把生的希望留留给他的朋友	(把,，,的)
 175:10 - 176:31	@对角递增的热熔胶 你这家伙怎么打字这么快	(，,娶,的)
 183:21 - 184:00	团长[委屈]	(委屈,团长,])




 186:57 - 187:23	笑[花]	(nb,花,笑)
 198:48 - 199:29	太简单了	(过,简单,胖哥)
 201:11 - 202:22	胖哥来这图就不极限	(极限,这么,ta)
 203:58 - 204:04	就差一捏捏	(捏,差,一)
 204:29 - 207:14	是在坐开关的时候还能再快吧	(灯冷灯,冷,，)
 207:17 - 208:40	我说的世界第一也没特指啊	(666,第一,胖哥)
 208:52 - 209:19	白白胖胖卖电脑的美食家[捂脸]	(美食家,建议,白白胖胖)
 211:09 - 212:52	主播我已经一个星期没听到热熔胶的故事了	(],[,666)
 212:59 - 215:30	主播我知道隔壁有一个三段跳世界第一人，你不耻上问一下就可以了	(然后,呢,了)
 216:02 - 217:00	主播主播你知道惠菇娘的黄金这个故事吗[哇]	(知道,主播,烧)
 217:59 - 223:28	这是个锤子日本小孩啊，哪有日本小孩交税的	(走马灯,他,卡)
 223:38 - 223:55	为了让panga上分，日本人都同意抗日了	(哈哈哈,字母,优美)
 230:30 - 231:14	主播我又胖哥三过家门而不入的关卡id	(啊啊啊,爹,爹爹)
 239:19 - 239:46	第 1 圈还没走完，马灯就变成孔明灯飞走了	(好玩,几个,太)
 240:48 - 241:29	胖哥读图能力强多了	(了,马灯,胖哥)
 250:49 - 251:28	胖哥带着板栗来寻你了	(来,了,敲门)
 258:12 - 258:42	您在本关共走了 46 圈马灯	(666,了,重刷)
 260:41 - 263:09	牛家军集合啊，又到了助理主播上分的环节了	(哞,了,])
 269:51 - 271:26	三头牛就给你制裁了，悲哀啊	(],[,dog)
 278:56 - 280:13	你也中红壳了[dog]	(],[,爱)
 282:05 - 287:06	我就看个视频的功夫，怎么突然就互动了	(爽爽爽,士,大戾)




 287:29 - 290:00	终点前一个壳把我淘汰了，谁啊	(],[,了)
 298:08 - 301:24	坏了，AI是爱孙	(牛,他,了)
 307:10 - 311:08	悲哀啊	(库巴,了,蓝龟)
 330:57 - 333:28	(计xx)：G了 & 草完了 & 好 & 爱不释手×2	(士,大戾,望)
 333:58 - 334:34	牛牛屁股都被砸肿了	(肿,屁股,砸)
 342:05 - 343:37	悲哀[委屈]	(！,666,悲哀)
 344:11 - 344:22	这么早就昌平 这不来两把4k	(4k,这不来,昌平)
 347:01 - 347:58	送出了 × 1 || 这版本也是官方的吗	( ,官方,|)
 350:11 - 350:29	LOSE	(演员,LOSE)
 350:43 - 351:52	@大聪明思考人生 是的	(思考,聪明,人生)
 352:09 - 352:26	他特防很高很高	(高,很,特防)
