全场最高能：303:43	主播怎么不搭理粉丝还全创飞了

其他高能：
 4:36 - 6:08	有多人，胖哥又要世界第一了	(],[,哇)
 7:02 - 7:20	这几个白白胖胖的是啥	(用学,家乡话,音)
 7:36 - 12:18	这是走马灯吗	(节奏,胖哥,天国)
 14:55 - 16:59	主播是胖哥的小狗	(是,高潮,的)
 19:24 - 21:30	主播变成胖哥的物种了	(了,平凡,;)
 21:34 - 22:37	这是主播开发的游戏吗	(？,的,💗)
 26:04 - 27:11	原来是体验版	(？,体验版,;)
 37:57 - 38:35	怎么没有胖哥	(胖哥,双人,玩)
 41:38 - 42:18	这要俩人一起拔会挺有意思	(💗,],[)
 42:30 - 44:10	赶鸭子上架做得游戏也就那样了，估计最后一作了	(么,了,最后)
 53:27 - 54:33	@有故事的鑫哥 要不咱运作运作 不差这一个 弄个全民公敌 [dog]	(],[,锤)
 55:56 - 57:25	我没玩过，这个属于是极难的图吗	(的,蒙,])
 71:16 - 71:43	俄罗斯方块还玩吗	(好图,666,顶级)
 75:19 - 75:39	主播我要开皇帝，怎么没办法开	(饼,开,我)
 77:01 - 78:17	哈哈哈哈哈	(了,;,炸)
 93:07 - 93:52	卵玩毒	(走马灯,超速,一脸)
 94:13 - 94:31	走马灯	(走马灯)
 102:15 - 102:39	哈哈哈哈哈哈哈哈哈 破防了	(哈哈哈,不好,破防)
 102:59 - 103:04		(误解,而已,姑)
 104:22 - 104:34		()
 105:20 - 108:59	@有故事的鑫哥 主播还要离婚啊，怎么不分[dog]	(的,，,哈哈哈)
 109:42 - 110:28	读图不如胖	(上去,炮能,适合)
 111:09 - 111:42	雅阁了	(？,炮,左边)
 112:25 - 113:32	@有故事的鑫哥 日元嘛	(@,这,越南盾)




 114:47 - 117:59	我今天问豆包，有没有比主播更会走马灯的人，豆包深度思考后告诉我只有灯哥本...	(天国,节奏,走马灯)
 118:32 - 119:15	不会吧	(荡秋千,一来,帮帮我)
 119:19 - 120:58	又是赢冰箱的图吗	(请,这边,到)
 123:33 - 123:37	不开	(开,一命呜呼,会员)
 126:07 - 131:00	你这红方块不如卖电脑的任务管理器直	(],[,捂脸)
 135:20 - 138:41	开车吧，算你过了	(了,过,你)
 139:29 - 142:20	牛逼	(了,你,过)
 144:48 - 145:17		()
 148:56 - 149:08	读图能力	(能力,读图,赛车)
 149:20 - 149:50	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(圈,可以,没问)
 149:51 - 149:58	居然没隐藏砖	(隐藏,mm,砖)
 155:58 - 156:07	909也没降几个	(没降,909,黄金)
 156:46 - 157:20	难绷走马灯	(],[,人结)
 158:43 - 158:51		()
 164:12 - 164:47	big[dog]	(胖哥,蒙过,明早)
 166:40 - 168:10	走马灯[dog]	(蒙,了,的)
 170:53 - 171:23	原来钻的3.5mm的洞	(洞,钻,的)
 172:00 - 175:34	还娃娃呢 和主播关系好的主播都已经凉了 就对角线 金河田 走马灯还逍遥法外	(胖哥,随猪,嫁)
 184:03 - 188:53	过了就拉近与胖哥的距离了，不爽吗	(],[,的)
 193:02 - 194:43	蒙的	(;,？,的)
 194:49 - 196:38	卖手柄的老板出新图了	(手柄,卖,的)
 197:07 - 197:11		(走,带,了)
 199:45 - 200:19	你这手柄质量真不错，要不你当个老北京总代卖一下	(手柄,的,你)




 204:00 - 205:03	懂了，胖哥是国家队的，你是路边一条	(捂脸,、,啊啊啊)
 206:13 - 208:41	为什么主播天天诋毁世界第一，是因为技不如人嫉妒了吗	(第一,，,])
 213:01 - 214:55	没让你吃啊	(吃,;,随猪)
 221:49 - 221:53	那不是金坷垃的公司吗	(公司,5237,圣地)
 222:38 - 222:47		()
 224:39 - 224:50	闪购搜索超级小桀可以买到	(搜索,闪购,小桀)
 248:51 - 249:20	给胖哥刷个🚀让胖哥帮你过	(胖哥,🚀,刷个)
 252:03 - 255:00	林失误	(],[,哈哈哈)
 260:52 - 262:00	因为这图就像主播的人生，所以必须给它刷了	(人生,刷,主播)
 262:29 - 264:00	胖哥是主播金主爸爸，给主播送了热气球的[哇]	(],[,厶)
 264:08 - 264:09		(哞)
 264:10 - 264:26	主播这把能灯顶吗[dog]	(顶,灯,把)
 268:33 - 268:41	你不基德，同事都是恩人	(基德,同事,恩人)
 268:42 - 268:55		(勇,落后,故意)
 269:45 - 271:38	嘿嘿，笑死[哇]	(哇,],[)
 280:12 - 281:36	你喊星期五起床了吗[dog]	(了,对,])
 281:54 - 282:16	领先太多了	(技不如人,悲哀,咬)
 283:39 - 285:07	5不用牛是有优势的这个说法对吗	(美食,喜欢,的)
 288:52 - 289:08		()
 291:53 - 292:45	好好好	(],[,捂脸)
 296:37 - 296:50		()
 296:59 - 297:08	意识流躲雷	(？,因祸得福,气太多)
 302:12 - 302:14		()
 302:31 - 306:46	主播怎么不搭理粉丝还全创飞了	(],[,了)
 312:37 - 313:20	好电	(了,好电,保住)




 314:18 - 314:36	m又没了	(绝技,G,m)
 316:07 - 319:25	能让你见到我的马灯已经是最大的仁慈了[dog]	(士,大戾,])
 319:38 - 319:39		()
 320:06 - 320:18	不如QQ飞车	(飞车,QQ,不如)
 320:29 - 321:11	别骂了，我求你了	(士,大戾,了)
 321:32 - 323:26	红色sc来了[哇]	(红色,了,sc)
 333:39 - 334:49	我能报仇吃你的分就满足了[哇]	(],[,（)
 335:16 - 336:21	我回旋镖看不到后面打了谁，但你霹雷是针对我的[委屈]	(我,哎,惠菇)
 348:25 - 350:24	我投-糕，💞發了，我的，哩面_相，被，口鲍，来找我，	(，,？,])
 352:10 - 353:52	坏了	(？,哇,了)
 355:28 - 356:06	大师球都悲哀	(💗,花,])
 357:10 - 358:02	那他道具商店里那个强化皮卡丘的有啥用	(用,勾魂,帅)
 364:55 - 365:11	X喷	(X,涨价,锁)
 365:22 - 366:16	等等党失败了，只能继续玩一代了[捂脸]	(捂脸,],[)
 372:58 - 373:12	我今天碰到个巨金怪，速度没加过猴哥把我看笑了	(我,猴哥,没加过)
 374:32 - 377:36	我查了下命玉固执的百分百能打36血	(百变,怪,的)
 380:51 - 382:04	输了[哇]	(哇,],[)
 382:21 - 386:09	对面开个极光幕都赢了	(对面,了,，)
 388:25 - 388:56	已经输了，对面不miss的话	(反,u,不点)
 391:02 - 391:47	单打几乎没有命玉地龙	(灵片,多重,受)
 395:00 - 396:54	巨魔你拿什么打	(打,巨魔,王)
 403:58 - 406:17	多龙老师傅加戏了	(多龙,了,哇)
 409:13 - 410:12	诡计的肯定极速啊，无视光墙	(冲击,精神,光墙)




 410:51 - 410:54	还有冠c	(冠,c,还有)
 413:18 - 414:01	新赛季我被ct概率很高	(概率,ct,很)
 414:07 - 414:22	我都是无效ct	(ct,都,meict)
 414:53 - 417:48	刚才如果是X喷   魔法闪耀直接穿死了	(人机,喷,x)
 423:47 - 426:13	@奶油松饼bot 这里如果y喷带了蓄能 刚才来一下就能打鬼鱼	(哇,],[)
 428:32 - 428:46	什么配置的地龙	(不想,配置,地龙)
 428:51 - 429:05	笑死我了	(组合,天恩,特性)
 429:32 - 429:49	起码也舞一下啊	(本,舞,系)
 433:21 - 434:58	只能赌他0旋了	(赌,他,])
 440:04 - 440:19	图图犬啥时候过签啊	(过签,啥时候,犬)
 441:39 - 442:23	那就巩固巩固	(巩固,青草,好使)
 456:20 - 456:48	杀不了吧	(啥,mis,无所谓)
 457:43 - 458:08	差4分  还要再打	(说不定,显示,早就)
 458:18 - 458:52	大嘴娃	(娃,大嘴,美纳斯)
 464:33 - 466:26	为什么他比你快，是先制技能吗	(哈哈哈,先,对面)
 468:45 - 471:12	坏了 把自己读傻了	(九尾,打球,读)
 471:37 - 472:00	力度够的	(烧,高兴,够)
 472:37 - 474:09	看对面	(亲亲,加纳,])

