全场最高能：95:53	说了是蒙的 不如胖哥

其他高能：
 4:05 - 5:42	饼饼早啊啊啊啊啊啊啊啊啊啊	(啊啊啊,！,比心)
 6:46 - 7:03	一字不改	(不改,一字,?)
 8:49 - 10:10	可惜 要是再极限点就好了	(！,💗,是)
 11:05 - 12:04	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(灯神,，,666)
 12:29 - 13:21	月底了 能不早吗	(！,了,雅各)
 15:44 - 16:46	你认错人了，这是走马灯之神的直播间	(！,这,走马灯)
 17:38 - 21:57	主播我电脑帧数不够，可以给我推荐一个卖电脑的主播吗	(？,],[)
 24:51 - 26:14	胖哥过的	(了,，,再)
 26:57 - 29:05	说明有个向上的力作用在马里奥身上了[哇]	(，,我,马里奥)
 31:23 - 32:03	做个教学也能走马灯，你有啥含金量，跟胖哥比你差多了	(你,热熔胶,8000)
 34:46 - 35:02	我怎么就明白了	(明白,开打,有用)
 35:18 - 37:26	懂了，可以做个图了，可是我没有机器啊[dog]	(了,—,，)
 37:29 - 37:53	办卡抽机器吗	(？,机器,办卡)
 38:00 - 38:10	明白了，那你能帮帮我么[妙]	(帮帮我,妙,明白)
 38:15 - 39:18	@クリーム松饼 延迟下落我学会了，是你这里有活动吗	(活动,松饼,了)
 40:02 - 40:05	全世界知道延迟下落的玩家大概百分之几	(百分之几,全世界,懵)
 42:01 - 43:48	那要是买了还玩多人呢	(了,，,买)
 44:31 - 44:43		()
 50:28 - 51:57	季小麦发过视频了[dog]	(故事,过,小麦)
 55:31 - 56:23	主播别打了，你把季小麦的视频去个水印直接放上来吧	(灯冷灯,冷,，)
 57:53 - 58:37	换牛车吧，牛车可以直接骂	(换,路易,骂)




 58:44 - 58:51	1格半的位置按左试试	(鼓掌,],[)
 61:22 - 61:32	最后亿次	(讲讲,水印,亿次)
 65:57 - 67:47	真最后一次，骗你的[鬼魂]	(最后,一次,了)
 69:14 - 70:27	互动了	(士,大戾,互动)
 71:43 - 72:30	偷这半天结果后面就这[哇]	(这,],[)
 77:37 - 78:13	一年半内最后一次刷礼物了[dog]攒嫁妆还房贷，只够平时的舰长，钻粉和会员了[花]	(那,了,咋)
 78:35 - 79:05	感谢老板的旋转马灯	(老板,比心,不)
 83:36 - 84:15	这么极限	(极限,哔哩,好吃)
 91:59 - 97:00	说了是蒙的 不如胖哥	(蒙,胖哥,])
 119:46 - 120:57	胖哥来了不用跳	(跳,小,胖哥)
 121:32 - 122:26	谁现在给这图举报一下，说不定主播还没过呢图就没了	(了,马上,-)
 122:28 - 122:34	每次死图号不都出现一次吗	(死图,出现,每次)
 125:46 - 126:51	孙已经疯了[哇][哇][哇]	(],[,哇)
 127:25 - 128:39	有胖哥的都是好图[比心]	(吓,],[)
 131:42 - 133:15	这怎么进的极难	(？,的,极难)
 134:52 - 135:16	没钥匙	(钥匙,没,鱼翅)
 138:38 - 139:11	别人早飞了，就你还在玩这pjb图	(谁,玩,这)
 140:11 - 141:12	太会偷了[爱]	(？,666,])
 146:57 - 147:18	摸到斧头就过了	(走马灯,斧头,摸)
 151:58 - 154:28	雅阁了	(雅阁,;,？)
 157:47 - 159:55	主播是代言金河田的吗	(吗,的,？)
 161:53 - 163:56	哈哈哈哈哈哈哈	(;,哈哈哈,])
 165:35 - 166:57	有单向板蹲跳能过	(蹲,单向,板)
 167:12 - 167:23	竟然没反应过来	(提示,纯选,反应)




 169:03 - 170:02	哈哈哈哈哈	(;,哈哈哈,])
 171:02 - 172:02	哈哈哈哈哈哈哈哈哈	(;,],[)
 175:50 - 180:20	主播玩这张图绝对不亏[dog]所有的坑都踩了一遍	(;,],[)
 183:02 - 183:13	松饼都有钱送ns	(;,破图,非常)
 189:39 - 192:23	你不都是坐马桶上直播的吗	(你,？,可能)
 207:44 - 209:26	提纲的作用就是憋住	(大哭,？,])

