全场最高能：86:08	老公下午播了晚上还播嘛 你不播我怎么睡觉[委屈][比心]

其他高能：
 1:34 - 2:32	这么早不会被打压吗	(?,这么,了)
 3:43 - 4:06	要不牛车吧，牛车排的快	(牛车,不,杨戬)
 10:49 - 13:39	经过我杰哥批准了么，你就来阳间	(？,],[)
 14:51 - 15:50	小桀同意你这个点直播了吗[哇]	(了,你,我)
 16:00 - 16:14	老公你是不是晚上不播了	(老公,不播,是不是)
 16:50 - 18:17	我亲眼看见主播提着两盒纯牛奶恳请杰哥才让现在播的[傲娇]	(？,了,主播)
 20:27 - 22:28	这么早开播向河田写申请了吗，抢人家贵宾小心他下播来搞你	(比心,了,打)
 23:37 - 23:50	醒了没事干[花]	(埋伏,没事干,醒)
 26:32 - 27:53	悲哀啊	(士,大戾,了)
 31:53 - 32:20	乐[花]	(升天,灵魂,篇)
 39:07 - 40:34	我去，这么早就开播了	(士,大戾,了)
 40:37 - 40:56	不是什么纪念日，单纯是主播思念妙子了	(思念,单纯,好输)
 41:40 - 41:47		()
 42:03 - 42:43	主播是想在定级赛快速掉分，等下就可以大杀特杀[dog]	(比心,],[)
 45:28 - 46:06	你是主播的爱孙，也开始送分了是吧	(可惜,是,了)
 56:48 - 57:59	为什么现在播 晚上不播了吗	(爱,，,停出)
 68:18 - 70:11	这个加时是怎么算的	(🍾,了,？)
 70:14 - 71:27	主播不玩狙击枪就赢了，终于找到culprit了	(culprit,了,你)
 75:24 - 75:35	每3个月一个赛季，回退一点段位，所以6月份开始打	(，,月份,段位)
 75:42 - 75:49	主包玩这游戏会被骗到日本去吗	(骗,主包,会)
 75:54 - 78:18	@Weraae 奶油松饼bot是弹幕转发程序，转发b站弹幕的	(？,],[)




 80:10 - 80:35	好的	(惠州,找下,随时)
 81:21 - 81:48	被樱花妹暴打[哇]	(分段,融入,暴打)
 83:11 - 87:31	老公下午播了晚上还播嘛 你不播我怎么睡觉[委屈][比心]	(的,了,，)
 91:50 - 93:50	lose...	(亲亲,],[)
 99:35 - 99:44		(又,来)
 106:33 - 108:54	只不过我这边的店不知道为啥总是少东西，谁偷吃了	(？,的,窜)
 109:42 - 111:50	你把对面全杀完就好了[dog]	(？,了,饼)
 112:15 - 112:59	主播是机器人，石油采到了，就能说话了	(主播,着,了)
 115:35 - 115:55	樱花妹气得炒了一盘洋葱炒青椒	(炒,！,一盘)
 116:04 - 116:27	“没有队友，怎么对抗敌方““很简单，我给全杀了不就是了”孙孙一把抓住，顷刻炼化	(“,，,了)
 116:49 - 118:08	高手好像都是三四千多分，2000就算不错的了，主播在喷2好像是2200附近	(的,是,，)
 135:02 - 135:13	孙孙被爱孙带躺了	(带,被,飞)
 145:37 - 147:00	会的主播等了很久节奏天国	(！,gay,主播)
 154:48 - 155:39	狙有辅助瞄准么	(你,生病,惊讶)
 163:44 - 165:52	昨晚播一晚马造，今天播一下午喷喷，那今夜一定是一晚上牛车了吧[哇]	(饼,？,什么)
 180:50 - 181:17	杀人数不是第一就能赢	(定律,孙一,人数)
 181:25 - 182:17	今天好早	(早,捏,ム)
 182:37 - 183:54	孙怎早早早早早早早早早早早早早	(早早,怎,孙)
 184:16 - 184:30	怎么今天下午就开播了	(今天下午,开播,就)
 184:42 - 184:46		()
 184:53 - 185:31	队友：带不动	(带不动,喷瘾,：)
 186:28 - 193:22	这是孙还在还是孙怎早	(了,豆汁,>)




 194:09 - 198:43	什么叫甚至都不用孙，意思有我老公没我老公都一样是吗	(比心,],[)
 203:39 - 203:54	晚上准备过少爷生活	(准备,过,生活)
 207:53 - 208:24	醒早了[花]	(醒,花,早)
 211:02 - 211:42	灿烂的烟花	(winwinwin,烟花,灿烂)
 212:02 - 212:16	打了一个招呼[打招呼]	(打招呼,招呼,一个)
 213:09 - 213:29		()
 213:39 - 213:58	永远的孙子呢	(孙子,得不到,赌完)
 214:15 - 217:33	看起来是熊	(看起来,是,超级)
 217:50 - 220:46	完全燃烧的电脑	(的,完全,燃烧)
 220:56 - 224:34	主bo，孩子王是谁啊	(的,不知羞耻,晚上)
 227:30 - 229:40	你这是晚上不播来打节奏么，我下班了还在玩[委屈][委屈][委屈]	(了,打,的)
 234:52 - 235:43	下了吧，晚上在播吧[委屈][委屈][委屈]	(委屈,],[)
 251:45 - 253:39	想要kingdom come乐	(走马灯,了,睡着)
 259:05 - 259:09	金河田作息	(这样,原来,作息)
 261:45 - 263:33	加纳[亲亲][亲亲][亲亲]	(亲亲,加纳,])

