全场最高能：115:01	主播我听你的在京东买了个switch 为什么我玩不了

其他高能：
 5:45 - 5:48	test	(嘬,亲亲,])
 6:12 - 7:08	孙怎来	(怎来,孙,抢占)
 7:09 - 7:30	洋次郎都说了，开车毁一生	(可以,啥事,一生)
 8:29 - 8:38	一步一探	(一探,一步)
 10:57 - 11:52	悲哀呀	(，,是不是,说)
 12:01 - 12:10		()
 12:23 - 13:36	好图[dog]	(好图,，,])
 15:22 - 17:00	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(！,;,蓟县)
 18:14 - 21:31	666[赞]	(！,],[)
 31:04 - 32:05	老公好会蒙[爱]	(！,主播,爹)
 33:44 - 39:49	我靠，我说不该说的了吗	(！,，,的)
 56:49 - 58:42	终于过了	(么,蒙,666)
 59:51 - 67:36	一回头胖哥就给你雅阁了	(胖哥,你,了)
 71:33 - 71:41	还有物理	(物理,还有)
 72:41 - 72:55	蒙的	(的,胜负,虚荣心)
 76:41 - 78:23	看一眼胖哥就会被雅阁	(卡,他,爱牛)
 99:59 - 103:51	蒙的	(蒙,的,？)
 107:04 - 107:38	听懂了，主播是向0靠拢	(了,怎么,那)
 107:42 - 107:58	听明白了，主播是在找0	(主播,吃币,不爱)
 109:56 - 110:17	曹森[哇]	(曹森,火后,烤鸭)
 111:02 - 111:52	Yes sir	(yes,故事,河田)
 113:42 - 116:47	主播我听你的在京东买了个switch 为什么我玩不了	(;,？,哈哈哈)
 118:58 - 119:14	主播还说和田不会伤人	(爱,pjbsb,小田)
 124:27 - 127:45	这图只有胖哥能过，主播技不如人	(胖哥,过,图)




 132:08 - 134:11	yes or no	(],[,模拟器)
 134:16 - 135:33	老公之前那个妹妹又来找我了[委屈]	(？,了,])
 135:57 - 136:32	她来问我有男的追她怎么切割[dog]	(她,我,教育)
 136:37 - 137:34	所以你喜欢怎么样的	(],[,🐻)
 138:57 - 140:30	看看竹子砍伐证跟惠菇的截图[爱]	(叫,],[)
 143:11 - 144:43	您是S吗	(是,你,您)
 148:08 - 148:20	主播遇到的神人还是多	(神人,遇到,多)
 149:59 - 150:22	我被骗了	(植原,1000,指)
 151:45 - 152:28	会让你买北京黄金吗	(金价,北京,不会)
 161:01 - 161:28	时代峰峻的信徒和白胖粉丝谁厉害	(准,哈哈哈,磨叽)
 164:40 - 164:54	差点6翻	(王之王,停,于)
 168:23 - 169:06	那咋了	(😡,士,大戾)
 169:44 - 170:09	丙爷原话：你到底考不考虑CRT和电解的付出	(dog,包邮,电源)
 170:25 - 173:56	那你不是赚了他几百块钱[dog]	(🚀,了,，)
 175:21 - 177:29	CRT[dog]	(走马灯,CRT,了)
 177:58 - 178:48	那泄漏大楼和烧银行卡哪个判的重	(烧,判,大楼)
 182:39 - 182:45	蒙的	(蒙,666,的)
 185:14 - 185:25	问题不大，请一顿饭就和解了	(一顿饭,和解,请)
