全场最高能：160:30	我有个疑问，你把弹簧丢上面把p丢旗杆上踩p能上去拿弹簧吗

其他高能：
 6:06 - 6:23	冲鸭	(鸭,冲,飞)
 6:35 - 6:41		()
 7:09 - 7:20	孙宝用手柄	(孙宝用,手柄)
 10:13 - 13:24	@我真的好饿 好的，谢谢	(比心,],[)
 15:55 - 17:41	你这是什么手柄 这么带感	(亲亲,],[)
 17:54 - 19:52	六晓和六块是一个人吗	(没仇,同事,的)
 20:14 - 21:40	我听说19年之后有个改动导致有些图过不了了，不过我给忘了主播给讲下呗[dog]	(豆包,没有,])
 22:12 - 23:45	去多人模式把路由器限速就能延迟下落了	(士,大戾,讲)
 28:40 - 29:58	我是0我要1[哇]	(士,大戾,？)
 31:16 - 33:48	主播不用积累人气，这都是以前的老观众了[爱]	(一帧,，,的)
 34:04 - 34:20	胖哥都是一命过的[dog]	(一命,胖哥,过)
 36:34 - 36:58	妙子孩子会问：妈妈你什么时候去过中国啊，那个叔叔是谁啊，为什么爸爸一直打你	(妙子,，,孩子)
 38:16 - 38:36	感觉是🧊上跳的慢了一毫秒	(上,毫秒,🧊)
 39:55 - 42:20	换成在日本的林克来早过了	(了,来,蒙)
 43:41 - 44:37	叽里咕噜说什么呢，给我点份外卖去	(，,给,讲解)
 46:04 - 46:34	车没了好啊，换新车了	(车,了,新车)
 47:55 - 48:22	主播主播能不能再放一遍前面的音乐图，superstar[dog]	(主播,@,那)
 49:56 - 50:27	灯冷灯冷	(灯,↓,↑)
 55:21 - 55:55	好的河田	(河田,，,田)
 56:47 - 58:35	麦当劳是这样的	(？,麦当劳,你)
 58:42 - 59:30	北京的金价掉了，主播你愿意给惠菇一个家么[dog]	(],[,啊)
 61:17 - 62:29	刷人气的主播叫梦什么	(？,;,])




 69:14 - 69:23	麦当劳的汉堡已经还没我手掌大了 上次吃了三个没吃饱	(没,n6bk,手掌)
 69:30 - 69:40	主播能锐评一下哪里的汉堡好吃吗	(锐评,斯汀,塔)
 69:52 - 70:09	那个双吉是最拉的，真比不上魏家的牛柳汉堡	(好吃,汉堡,的)
 90:02 - 90:34	标题都带个骗字了	(🐴,这,字)
 95:44 - 98:52	120能整除的只有2了	(2,;,捂脸)
 99:26 - 101:46	这不是六晓打了大半个月的图吗	(图,不是,吗)
 101:56 - 102:12	六晓是谁，我只知道小杰梦醒美神竹内白胖卡兹林科	(图,卡兹林科,竹内)
 103:04 - 106:50	这真能点外卖了	(外卖,了,的)
 108:17 - 113:56	@クリーム松饼 steam夏促 我钱都买游戏了[dog]	(汉堡,的,])
 116:06 - 117:09	这么好的图作者是谁啊	(作者,这么,玩)
 119:01 - 120:13	弹幕想看你玩多人了 还不明白吗	(-,人,的)
 120:53 - 121:32	主播这下技小麦了	(灯冷灯,冷,，)
 127:31 - 130:09	卡比找到了[哇]	(-,了,卡比)
 141:42 - 144:03	p是为了弄个墙角，让人卡进去加速然后能跳的高一点	(卡,他,过去)
 146:09 - 147:13	蒙的	(;,蒙,看清)
 159:09 - 164:28	我有个疑问，你把弹簧丢上面把p丢旗杆上踩p能上去拿弹簧吗	(弹簧,p,我)
 164:40 - 169:44	你看的都是二创鬼畜了	(-,图,了)
 175:48 - 176:38	开了	(哈哈哈,哈哈哈哈,了)
 178:05 - 178:32	主播的中间旗白吃了	(哈哈哈,团长,第三个)
 182:09 - 183:22	不过就能上传，那到处都是雅阁了哈哈哈	(666,可以,了)
 191:33 - 191:39		()
 197:41 - 198:37	花和刺哪个判定面积大	(，,],[)




 209:28 - 210:06	你进错了	(来,没玩过,选错)
 214:44 - 215:04	我有一次开鲨鱼被塔楼给的惯性带下去了[哇]	(惯性,塔楼,鲨鱼)
 215:13 - 216:44	不會是你把我撞死的那一次吧	(],[,哇)
 216:56 - 217:02	一个雷他伞面都没了	(伞面,雷他,一个)
 217:16 - 220:48	主播你的车队怎么全灭了	(了,牛,你)
 225:54 - 227:08	爱牛堵人世界	(非得,],[)
 233:33 - 234:59	好雷	(捂脸,],[)
 235:18 - 235:30	直播有延迟所以听到的时候就打了[dog]	(针对,与,听到)
 235:46 - 235:56		()
 236:17 - 236:24		()
 240:19 - 240:48	专门盯着牛劈[委屈]	(牛,专门,盯)
 243:18 - 244:48	爱牛也很强	(666,对,登顶)
