全场最高能：78:26	悲哀[哇]

其他高能：
 4:32 - 5:13	周日好[比心][比心][比心]	(比心,],[)
 7:58 - 8:32	胖哥要洗的白白的	(？,的,胖哥)
 9:35 - 12:06	当你过了还不行吗	(;,好图,])
 13:06 - 14:20	礼貌借楼，求哪位林爷爷能给我600的硬盘，等你被阴极射线管寻了给你孙子转账300	(💗,能,尿)
 15:46 - 16:51	主播家里漏雨了吗	(，,了,我们)
 26:41 - 28:33	莫大的悲哀	(士,大戾,主播)
 28:56 - 30:59	这么长的图，还挺极限	(，,灯冷灯,冷)
 32:07 - 33:30	可惜了	(了,],[)
 39:21 - 40:15	主包玩这图能不红温的，我服了[牛]	(],[,dog)
 43:46 - 43:56	终点杀	(下先,来得及,联系)
 49:17 - 49:55	马造1简单但是这个高度很高，操作空间只有一两帧大概	(悲哀,！,1)
 50:35 - 52:05	马造有什么图胖哥没过过的吗[dog]	(过,胖哥,])
 55:41 - 57:23	何止一下午，能看一礼拜连续剧[dog]	(],[,比心)
 62:02 - 63:18	地震了	(地震,了,小)
 63:33 - 65:13	来了吗	(了,💗,来)
 65:17 - 65:21		()
 70:09 - 72:43	谁触发了主播的被动	(士,大戾,了)
 75:41 - 80:00	悲哀[哇]	(;,了,])
 81:07 - 83:58	刷了	(;,了,刷)
 85:02 - 86:25	雅阁了	(;,变小,箭头)
 86:42 - 87:02	老师好	(箭头,比心,啊)
 96:17 - 96:43	那咋了	(蒙,咋,的)
 96:55 - 97:06	那咋了 主播还要干涉粉丝的生活	(咋,那,生活)
 106:12 - 106:21	胖早过	(姐姐,极品,遇到)
 115:38 - 118:08	第一个过的是胖哥	(;,胖哥,蒙)




 119:40 - 121:53	要顶开关杀板栗	(开关,顶,板栗)
 124:39 - 126:07	过了	(;,机器人,了)
 126:18 - 126:26	有故事💗💗💗	(💗,故事,有)
 127:06 - 131:48	你感觉对了	(，,],[)
 133:05 - 133:16	[UPOWER_343348_够不够赞]	(_,够不够,343348)
 149:24 - 150:23	藏B图	(。,藏,B)
 159:39 - 160:03		()
 164:34 - 165:37	这图要是不给中间旗你会祝他身体健康吗	(666,旗,中间)
 166:02 - 166:51	再见图	(图,毋庸置疑,熟练)
 166:58 - 168:14	坏了，我不会是那个柿子吧	(哇,],[)
 169:15 - 170:22	胖哥是宿傩，爱牛是里梅，主播是乙骨，妙子是里香	(是,哇,])
 176:19 - 179:28	大蘑菇都掉不下去，有单向板，只有usa能掉下来	(蘑菇,不,dog)
 180:42 - 180:59	你当是银河战士的炸弹跳呢	(跳,炸弹,呢)
 183:15 - 184:34	这是和田	(炸弹,和田,河田)
 186:49 - 187:57	你把河田放平台顶了问号戳一下炸一下能上去不	(炸,上去,问号)
 188:51 - 189:08	反正能弹起来	(忘,能弹,身体健康)
 207:51 - 209:52	666主播太细了	(冷,，,灯冷灯)
 217:54 - 219:03	胖哥为了保住全球第一都不允许其他玩家玩了吗	(好图,吗,了)
 219:15 - 219:19	哦哦	(哦,婚礼,参加)
 221:06 - 222:46	白胖来早就过了	(？,九折,过)
 222:53 - 222:57	这也极难	(？,世界,极难)
 224:11 - 224:25		()
 224:32 - 224:55	主播送我10个钻，开灯牌了[鼻子]	(了,主播,鼻子)
 230:06 - 232:12	胖哥来就8000过了	(灯冷灯,冷,，)




 232:24 - 232:28		()
 234:42 - 235:01	就加号吧	(加号,吧,就)
 235:38 - 236:48	蒙的	(666,],[)
 237:38 - 238:15	那不是巨难按这个暂停	(这个,巨难,终于)
 238:56 - 238:58	移几格就真的卡一帧过关了	(几格,一帧,移)
 239:10 - 239:20	好，寻到了[哇]	(寻到,bubuisun,好)
 240:09 - 240:44	2-24都能拿	(我,主播,24)
 241:23 - 241:58	红龟可以来了	(偷,了,可以)
 248:16 - 251:37	季如白 一边就过了	(？,就,局)
 258:57 - 261:33	你自己说这把打了我多少次了[dog]	(！,，,的)
 278:33 - 281:53	如果带着蓝龟或者电没用淘汰了会导致后续刷不出来吗	(？,了,])
 285:10 - 285:18	你倒是发射呀	(发射,倒,呀)
 287:58 - 289:08	可以，把非牛的挤出去了	(全是,牛,了)
 289:50 - 290:08	强者不需要靠道具	(强者,靠,技不如人)
 290:11 - 290:34	四牛独独淘汰主播[dog]	(LOSE,主播,独独)
 290:45 - 291:32	刹车压我是吧	(我,主播,刹车)
 292:01 - 292:03	主播今天打压松饼好几次了	(几次,今天,打压)
 301:02 - 301:10	胖哥快偷	(快偷,偷,下)
 301:38 - 303:01	不  是你的河田	(],[,哇)
 310:56 - 311:11	等一个淘汰	(小栗旬,锤子,没用)
 311:17 - 311:24	德莱文	(借过一下,抱歉,莱文)
 311:52 - 312:34	没胖哥玩的好	(没胖哥,技,技不如人)
 312:49 - 314:04	我道具被你抢了[大哭][大哭][大哭][大哭][大哭][大哭]	(大哭,],[)




 315:04 - 316:23	第三给一蘑菇加河田我追不上[大哭]	(大哭,],[)
 318:32 - 318:51	没事后面都是bot	(。,进来,是)
 322:08 - 324:41	悲哀啊[哇]	(？,神魔,欧卡)
 332:41 - 334:25	謝謝主播這下沒人知道我剛剛第23名了[比心]	(大哭,],[)
 338:34 - 338:54		()
 345:17 - 347:39	等了一晚上就为了这么一下	(了,],[)
 348:07 - 348:35	完美时机	(时机,完美)
 350:06 - 350:27		()
 350:54 - 351:29	最完美还得是猛恶菇	(恶菇,猛,完美)
 352:34 - 355:51	你认错主播了	(了,要害,你)
 356:35 - 361:13	纯朴的	(纯朴,了,的)
 364:50 - 365:13	运气可以 关键ct	(槟槟,臭臭,不点)
 365:30 - 368:00	师傅用力啊	(了,一般,的)
 373:15 - 373:32	mega狐狸可能赢	(狐狸,畏缩,幽默)
 373:42 - 373:55	无了	(无,了,咋)
 374:27 - 375:33	我感觉兔子跟海鸥比较有可能	(大嘴鸥,兔子,一只)
 375:36 - 376:20	饼饼 前两天刚才被孙孙教育了 好可怜	(教育,饼,臭棋)
 376:21 - 376:54	又有了	(演员,鸥,SC)
 377:00 - 377:26		(他,球烧,肆无忌惮)
 377:29 - 378:04	他水反走你可能会死的	(的,水反,折返)
 378:13 - 378:38	你这扫墓威力能穿	(穿,威力,扫墓)
 379:50 - 383:17	主播我给你百变怪送了两个DR 怎么表示	(百变,怪,你)
 383:23 - 384:51	就看他带不带毒龙  带了救没办法	(毒龙,mega,他)
 387:02 - 390:18	应该是纯肉的了	(人机,他,西施)
 396:38 - 396:52	打胖哥下手这么狠	(。,重拳出击,对白)




 402:59 - 403:36	进超坏星老家了	(了,235,玩肉)
 408:13 - 411:17	刚才这把不是人机  我随你怎么说	(猜拳,突袭,人机)
