全场最高能：120:03	666还有第二关

其他高能：
 4:56 - 5:04	为什么你不学胖哥跳过难图只打简单图创造极难41关的记录，是技不如人吗	(41,难图,不学)
 5:29 - 8:28	主播主播你今天这么早是想走马灯还是想金河田[哇]	(哇,今天,作息)
 12:03 - 13:07	[手机]主播这么早开播 晚上是不想让我们睡觉了	(今天,吗,怎早)
 18:59 - 19:56	藏了	(走马灯,不好,藏)
 20:53 - 22:27	藏B	(藏,B,不好)
 23:30 - 26:11	主播的多人许可证被胖哥没收了，别问了[花]	(了,比心,])
 27:24 - 28:18	这图辣眼睛	(九折,爱白,洋葱头)
 28:57 - 31:46	雅阁了	(雅阁,士,大戾)
 31:58 - 32:07	@不昧因果 早捏💗💗💗	(💗,因果,不昧)
 32:35 - 36:21	手柄不是换了个定制的吗，好用[dog]	(爱,],[)
 36:46 - 36:49		()
 36:59 - 37:10	看不懂啊	(看不懂,啊)
 38:45 - 38:52	小栗寻	(小栗,寻,团灭)
 40:14 - 42:08	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(],[,哈哈)
 46:27 - 47:08	过关看似20秒，实则暂停用了40秒	(666,秒,好会灯)
 47:17 - 48:08	主主的播播今天怎么这么早	(，,播播,主主)
 48:49 - 49:17		()
 49:34 - 50:05	管子之后的内容是做给胖哥玩的	(",=,宝宝)
 55:34 - 55:51	反砖跳啊	(反砖,跳,啊)
 56:45 - 58:54	@睡睡日记 他把惠州妹妹农怀孕了，不给人家买三金，惠州妹妹打掉了	(妹妹,弟弟,惠州)
 65:29 - 66:40	给胖哥刷个飞机吧，不包过哦	(胖哥,呜呜,问问)
 67:32 - 70:21	金币没吃	(金币,？,;)
 70:45 - 71:59	孙怎准	(林克,准,，)




 86:27 - 88:47	什么样的人还花呗	(什么样,人,的)
 93:16 - 93:29	不让你走捷径	(走捷径,不让,你)
 104:22 - 104:25		()
 106:42 - 106:45	主播，什么是亚像素	(亚,像素,什么)
 107:13 - 108:31	主播讲一下这个图原理呗	(决定,起跑,硬)
 112:42 - 118:23	是b这边的，我看见了	(大戾,士,了)
 118:50 - 122:20	666还有第二关	(了,复活,？)
 132:38 - 133:38	抗日吧还是，藏比太多	(藏,高手,B)
 134:02 - 135:38	要么藏要么钻，现在这些图真的是	(钻,主播,要么)
 136:49 - 137:56	蒙的	(蒙,666,的)
 138:33 - 138:38	谢谢关注💗	(关注,谢谢,💗)
 139:22 - 139:27	等灯主播	(灯主播,等)
 141:13 - 142:43	官方根本不玩游戏的，维护个服务器就完事了	(的,探路,官方)
 146:57 - 147:13	说这么多干什么，我连机器都没有	(🥚,big,教学)
 147:50 - 149:32	666第三关来了	(士,大戾,？)
 150:22 - 153:32	幸好不是个活人啊[dog] 不然又解释不清楚了[dog]	(],[,爱)
 153:57 - 155:30	今晚上这么多想互动的弹幕吗[dog]	(，,那边,这边)
 155:35 - 155:48	胖哥可爱	(喷起来,过图,胖哥)
 157:34 - 158:39	被胖哥一直看着 是不是压力很大	(，,胖哥,糯)
 165:49 - 169:11	主播，昨天洗澡的和今天洗澡的是同一个人吗	(],[,洗澡)
 169:26 - 169:45	@sil 在的，这两天还去嘉年华了	(奇葩,嘉年华,作者)
 171:07 - 172:11	雅阁了	(雅阁,举报,哇)
 175:10 - 175:42	别急，等明年我入了籍，我去陕西给他上一课	(捂脸,丢,HOW)




 175:54 - 180:41	他要是敢和我对轰，我高低得让他了解了解这些事情涉外的处理办法[dog]	(],[,的)
 181:10 - 182:55	河田和甜心谈恋爱，他不去搞河田吗	(。,哈哈,])
 183:35 - 185:03	我八级牌子都不知道英语老师是谁	(不,是,谁)
 192:18 - 192:43	什么样的老大爷能伸出三只手啊	(比喻,老大爷,三只手)
 197:50 - 198:01	差一个ddj	(差,一个,999)
 200:03 - 201:21	还世界第一 你看国内哪个认它的世界第一 [吐了啊]	(了,第一,世界)
 209:58 - 212:00	给了吧	(给,灯冷灯,冷)
 218:28 - 220:07	那问题来了，哪来的6v百变怪	(百变,怪,6V)
 220:28 - 220:39	白胖来全配了	(纯路,tb,rz)
 220:58 - 221:43	那百变怪和胖哥生出来的蛋不就能天天登顶了	(的,可以,和)
 228:57 - 230:05	就现在这种培养模式，除非你要0速0攻的，不然刷出来闪光直接吃王冠吃薄荷就行了	(的,蒙,，)
 231:36 - 232:23	被炸了	(被,了,闪光)
 233:34 - 234:22	主播该玩多人了	(长,了,跳)
 238:05 - 238:06		(查出来,顶级,除非)
 242:06 - 242:23	猫是液体	(液体,猫,是)
 243:19 - 244:16	那噩梦神呢	(-,！,神)
 245:00 - 246:53	那玩洛克王国的呢，悲哀吗[dog]	(灯冷灯,冷,，)
 247:10 - 247:19	笑死	(啊啊啊,！,三家)
 249:13 - 250:29	然后就不玩多人是吧[dog]	(牛车,不如,玩)
 254:19 - 255:08	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(蒙,],[)
 256:45 - 260:41	一进来就走马灯	(走马灯,了,我)
 265:19 - 267:17	我建个小号啊	(小号,号,我)




 268:55 - 273:53	我说好久没看你玩多人了呢，还挺喜欢看的	(卡,他,了)
 275:54 - 276:54	那咋了	(那,咋,了)
 279:47 - 280:37	你是语文专业的啊，怎么能词穷啊，你都词穷了，我们说什么	(;,，,了)
 285:54 - 287:02	雅阁id是啥	(哇,],[)
 290:40 - 290:56	玩日本游戏抗日吗，那很能抗日了	(抗日,哈哈哈哈,能)
 291:05 - 291:55	笑死我了	(],[,手机)
 291:59 - 292:11	那咋了	(了,咋,那)
 294:08 - 294:17	那咋啦	(进入,胖胖,白白的)
 298:08 - 298:30	胖哥还真对得起孩子，钱都供孩子上学了	(你,孩子,捏)
 299:07 - 300:02	还真是，我年初才看的白胖，感觉技术挺好的也有活就看了，真不知道这事[dog]	(，,我,的)
 300:05 - 300:39	黑我们胖哥的都是黑恶势力	(灯冷灯,冷,，)
 300:46 - 300:55	这图这么玩不难受吗	(叮咚,难受,这图)
 301:21 - 301:29	反墙失败了[dog]	(失败,反墙,四分钟)
 314:41 - 315:42	爱牛是白胖闺女说的那个视频结尾吧	(放,视频,吧)
 317:39 - 318:23	走马灯来了  主播是不是收藏了 这么快就找到了	(爱白,谢谢,，)
 321:15 - 321:31	这图要是白胖早过了	(胖,什么,未来)
 322:57 - 324:36	那咋了	(~,那,了)
 324:59 - 325:33	@欲 之前b站有补档现在不知道了	(了,哇,不)
 326:45 - 329:31	我胖哥都原谅你了，你还说是吧[dog]	(了,],[)
 329:52 - 330:38	你这是又在给忠哥素材了[dog]	(小丑,吗,])
 334:34 - 334:49	20世纪先辈抗日牺牲了无数 白胖只需要牛牛一年就速通了[捂脸]	(哗啦啦,地上,尿)
 352:42 - 352:46		()




 353:43 - 354:45	这是因为他回答了就有奖励，训练的人的问题	(的,，,了)
 356:17 - 359:38	就这么说吧，你把你专业或者擅长的问题问一下就知道ai什么水平了	(ai,，,的)
 359:41 - 360:14	顶出了一堆胖哥	(了,银币,顶出)
 367:54 - 368:10	待会还有车或者宝可梦环节吗	(命过,打算,或者)
 368:53 - 371:08	金河田是电源品牌，以前不错，现在烂了	(了,金河田,，)
 381:21 - 381:36	阿宾的成绩并不理想	(幺,马尿,来杯)
 400:15 - 400:42	mega妙蛙花我之前那巨声鳄打过	(高歌,闪焰,偷懒)
 411:37 - 413:53	大胃袋有感觉吗[捂脸]	(捂脸,],[)
 417:16 - 417:57	对面是胖哥，怎么想着他好	(阵,宇宙,优化)
 418:40 - 418:48	这阴	(这阴)
 421:50 - 422:04	弱恶弱幽灵 很多东西都得躲着走	(躲,幽灵,恶弱)
 422:19 - 423:07	巨金除了不能返走几乎是海星上位	(海星,高不成低不就,上位)
 423:51 - 423:56		()
 424:14 - 424:33	基本可以说输了	(说输,基本,对)
 426:49 - 426:51		()
 428:23 - 428:58	mega暴鲤龙像只虾	(头盔,急需,虾)
