全场最高能：262:49	但是...平凡

其他高能：
 8:50 - 10:59	白白胖胖的	(白胖,白白胖胖,就)
 11:18 - 12:15	白胖来早过了	(过,音图,白胖来)
 12:29 - 15:50	主播也是好起来了，世界第一才有一个胖哥，主播有四个帮他	(棒,，,胖哥)
 17:09 - 18:35	因为你胖哥牛逼啊	(你,因为,胖哥)
 18:44 - 22:14	卧超 盒 pp	(小狗,一只,是)
 23:39 - 26:27	你是一头饥肠辘辘的恐龙	(恐龙,一头,主播)
 28:24 - 29:49	是有理论值的意思吗	(？,比心,吗)
 33:25 - 33:38	垫到终点了哈哈	(–,弹飞,30)
 34:10 - 36:37	这车不会害了我吧	(了,],[)
 39:25 - 40:44	这不就是车吗[哇]	(],[,，)
 43:58 - 45:15	这才是QQ音速该有的节奏	(],[,了)
 50:01 - 50:28	已经可以玩了	(？,玩,🏿)
 52:52 - 53:02	感觉节奏好怪啊和歌曲没啥关系	(9z,简单,就)
 53:09 - 53:50	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(吗,感觉,一级)
 57:18 - 58:46	这女的是不是磕大了	(💗,👏,棒)
 61:59 - 63:17	也没说是要看的，不是听吗	(，,的,了)
 64:42 - 65:12	@吃🐰的🥕 这是任天堂Switch的节奏天国 奇迹之星	(节奏,的,还有)
 67:19 - 67:35	不如换成田所浩二，哼哼哼，啊	(啊,不如,一个)
 75:39 - 76:34	为什么只有你是白白胖胖的	(为什么,是,你)
 82:51 - 84:21	平凡了	(？,棒,一级)
 99:05 - 99:40	平凡预定	(平凡,嘿哈,易拉罐)
 101:47 - 102:41	来了	(哈哈哈,哈哈哈哈,了)
 103:46 - 104:00	小蓝肘击小粉	(仇人,小蓝,角色)




 110:05 - 111:18	紫蝴蝶🦋来喽	(],[,紫蝴蝶)
 115:31 - 115:40	憨憨~	(憨,人气,不兑)
 116:28 - 116:58	白胖一命过	(哦哦哦,气晕,一命)
 118:44 - 124:39	厲害啊主播 再過三年 你就能跟胖哥一樣厲害了[哇]	(],[,你)
 127:13 - 128:16	悲哀[dog]	(同事,后面,哈哈哈)
 129:11 - 130:47	平凡[牛]	(平凡,非常,不错)
 132:37 - 133:07	主播是合格的bot了[哇]	(了,],[)
 141:28 - 141:49	没啥节奏是因为主播没在带节奏	(biang,啥,没)
 144:29 - 145:06	我以为刚刚左上角是DLC弹出来了	(HOW,一级,都)
 152:24 - 152:28	这也能混个牌	(混个,牌,能)
 152:55 - 154:46	饼饼[哇]	(坤,走马灯,])
 155:03 - 156:01	饼饼，狗狗[dog]	(饼,柿饼,不会)
 156:07 - 156:21	这么不安全	(！,饼,安全隐患)
 156:39 - 157:59	老公好菜[爱]	(非常,平凡,不错)
 163:24 - 165:41	为什么所有游戏都有胖哥的影子	(的,胖哥,配图)
 165:49 - 165:55	带节奏主播	(panga,带,没有)
 169:00 - 170:10	但是平凡	(但是,平凡,淳君)
 172:53 - 173:12	体谅一下	(老关,体谅,有些)
 183:19 - 184:56	平凡[牛]	(],[,？)
 186:13 - 186:52	滑水一个	(啦,空手道,家)
 199:47 - 200:50	他让你跳过，结果他介绍分的一段一段来，要跳过好几次了，他是不是脑子有什么问题[大笑][大笑]	(他,一段,海豹)
 211:46 - 212:40	收伞的时候是：牛 开伞的时候是：胖[dog]	(是,胖,时候)
 213:51 - 215:22	平凡了	(卡,他,平凡)




 217:05 - 218:42	平凡了	(？,哈哈哈,平凡)
 225:02 - 225:37	@クリーム松饼 这么大月亮该吃月饼了	(走马灯,ク,我)
 225:53 - 226:14	这作变态的，要按三个键	(按,键,要)
 227:17 - 228:33	非常平凡	(平凡,B,还有)
 230:45 - 230:47	阴	(阴,不好,LOSE)
 230:55 - 232:02	这部之后会把 3ds 的关卡复刻一部分吗	(月亮,劈,复刻)
 233:30 - 233:38	盲人玩家听到pp就知道一句话讲完了可以按键了	(pp,了,讲完)
 233:40 - 234:18	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(上镜,小蝌蚪,主播)
 239:09 - 240:09	这作无障碍做的更好了一些	(肝,通关,蒙)
 241:37 - 243:53	但是平凡	(不错,平凡,肘击)
 251:20 - 252:40	哇，登顶	(登顶,！,哇)
 256:22 - 256:40	@椰壳椰壳 这是任天堂Switch的节奏天国 奇迹之星	(椰壳,绊倒,好长)
 257:25 - 258:07	又肘上了	(哈哈哈,哈哈,预想到)
 258:13 - 258:46	肘击队友	(],[,肘)
 260:11 - 264:20	但是...平凡	(;,肘击,了)
 267:32 - 268:13	这肩宽是女儿吗	(金钱豹,蚊子,？)
 284:03 - 284:09	主播快灯冷灯冷[哇]	(普通,快灯,冷灯)
 291:54 - 293:48	不尾杀还叫节奏天国吗	(走马灯,尾杀,哈哈哈)
 298:43 - 298:50	还是死肘击	(走马灯,死,肘击)
 301:12 - 305:33	小粉  别蹭我的鞋了好吗	(饼,小粉,🍙)
 306:51 - 308:22	饼饼的错[哇]	(饼,在,大哭)
 311:02 - 312:24	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(哇,],[)




 315:22 - 316:26	想玩更难得吗	(霹,盖,555)
 328:58 - 329:49	这是在抽陀螺吗	(妙,],[)
 332:14 - 332:53	节奏天国	(🗿,甩,在)
 335:22 - 336:52	但是...平凡	(走马灯,的,？)
 343:26 - 343:44	这次的全p模式 没有3次的限制了吧	(烫手,限制,难道)
 346:22 - 347:02	前辈跑了	(前辈,教练,呢)
 352:12 - 352:37	反拍好难	(反拍,dog,这女)
 354:34 - 356:15	感觉这个换成拍手三人众也是一样的	(走马灯,拍手,换皮)
 356:35 - 356:43	🗿：你们觉得呢	(你,爱情,实验室)
 357:00 - 357:09		()
 369:59 - 370:32	还行 remix没带反拍飞盘（	(飞盘,没带,满)
 371:40 - 372:01	这配音像读弹幕机器人	(卡塔,读,弹幕)
 378:10 - 380:28	想和妹妹语音了	(c,],[)
 382:50 - 383:28	说句话呀孙孙，我差点以为我在放歌了	(放歌,我,说句话)
 389:50 - 390:16	节奏游戏挺有趣的	(有趣,挺,游戏)
 396:24 - 396:33		()
 397:05 - 397:18	1234是4开始啊	(是,123,321)
 398:45 - 399:15		(？)
 408:06 - 409:01	[捂脸]为什么这作节奏天国真的抽象啊	(。,敷衍,抽象)
 409:38 - 411:25	这游戏还能出就不错了	(。,比心,])
 412:17 - 413:14	应该过了吧	(666,应该,粉丝)
 413:41 - 413:53	节奏天国	(。,天国,节奏)
 413:58 - 417:19	80关吧	(80,了,天国)
 423:14 - 424:01	帅	(帅)
