全场最高能：32:54	走马灯线

其他高能：
 1:08 - 1:55	主播心态炸了	(炸,了,金河田)
 2:20 - 2:55	主播，我打算配电脑了，你有推荐的电源吗	(捂脸,],[)
 5:25 - 6:59	主播你知道《以撒的结合》吗，这游戏里有很多白白胖胖的怪	(，,了,你)
 18:51 - 19:06	我说实话这个图有脚就行，松饼来都是一次过	(老板,],[)
 25:30 - 26:00	马灯也就在这能走了，别的地方都不让	(，,这能,也)
 26:05 - 26:10		()
 27:08 - 27:21	搞个	(？,?,搞个)
 27:44 - 29:04	蒙的	(的,666,蒙)
 32:07 - 34:40	走马灯线	(️,✈,🛩)
 34:45 - 34:59	100一个飞机  已经是很多人一天的工资了	(捂脸,],[)
 54:03 - 55:38	那咋了 让胖哥来刷个火箭不就够了	(了,],[)
 59:25 - 60:54	那咋了[哇]	(],[,比心)
 62:11 - 63:54	@神De恩赐 奶油松饼bot是弹幕转发程序，转发b站弹幕的	(转发,弹幕,早上好)
 65:39 - 67:24	@クリーム松饼 我要是再B站21级牌子了 能不能装作是舰长过期了进粉丝群...	(了,应援,棒)
 69:34 - 70:49	但是补给线，要是改15秒	(;,蒙,])
 75:24 - 76:05	胖哥那是故意装糖阴你一手[dog]	(胖哥,可以,那)
 78:01 - 78:24	您在本关共走了 20 圈马灯	(666,成胖哥,幻想)
 86:44 - 87:43	@クリーム松饼 饼饼，我练了6个小时库巴城堡才能两个nisc不失误跑完计...	(补给线,;,了)
 88:30 - 89:52	海南之家，懂你意思[哇][哇][哇]	(],[,哇)
 90:11 - 91:28	还有灯顶环节[dog]	(！,❤,️)
 92:35 - 96:10	这年头还要主播亲自走马灯	(走马灯,胖哥,他)




 97:26 - 101:30	主播那你天天直播间的雅阁走马灯和金河田都是什么啊	(胖哥,],[)
 103:01 - 105:40	你就吹吧，你一声令下，直播间里的全都来堵你了	(，,你,])
 111:43 - 112:40	那咋了，你还要管胖哥粉丝的生活吗	(了,],[)
 115:29 - 115:53	走马灯[dog]	(音符,过不去,抗日)
 118:14 - 119:34	之前就刷到白胖上八千，心想林克才是最厉害的，还有后起之绣了	(。,了,的)
 132:40 - 132:44	好像来不及	(来不及,好像,笑)
 132:54 - 133:43	@MingK 就是吃这个速度啊 在想可能性 万一没下来就给他夹死了呢	(夹,大脸,瞬间)
 138:06 - 138:42	引大脸下来 然后等它上到有空间之后顶左下再马上顶右下试试呢主播 我真觉得...	(dog,],[)
 155:59 - 156:23	KTV包厢也带数字啊	(哈哈哈,NIU,GE)
 165:52 - 166:07		()
 166:14 - 166:55	走马灯的走和跑是一个意思，所以你跑不过我信不信这句话通你走不过我信不信	(信不信,解散,走)
 169:19 - 169:52	本来快睡着了，一下子笑出声了	(了,卡,笑)
 172:33 - 175:13	哈哈哈，几年前会看卖电脑的，当时主要看b站，挺喜欢的，然后就暴雷了，后面...	(，,的,了)
 176:40 - 179:05	我才听出来这原来是SDVX的那首666.	(是,的,666)
 179:30 - 180:16	还有惨叫还原	(补给站,出音味,选路)
 181:24 - 181:39	为什么最后都是麦麦	(麦麦,omaimai,最后)
 182:41 - 183:06	因为只有麦麦玩家给主播还钱了	(卖成,社交,用力)
 184:58 - 186:30	有很多都是为了恶心而恶心，但是自己不玩，也举报不了	(，,自己,暗示)
