全场最高能：112:04	复活卡挺快

其他高能：
 5:04 - 7:06	早早早[比心]	(比心,],[)
 9:22 - 10:25	世界第一永远是胖哥的，有冲的必要吗	(],[,乐)
 12:45 - 13:14	胖哥视频有这图	(蒙,故事会,来讲)
 13:23 - 13:36	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(呢,秒,5)
 17:11 - 23:28	准备孬飞	(的,了,？)
 23:48 - 24:56	主播，什么是卡墙角	(;,卡,666)
 27:05 - 27:21	补给线啊	(补给线,短,jz)
 31:17 - 32:15	好戴哈哈哈	(哈哈哈,戴,戴帽)
 33:35 - 34:25	胖哥让牛爷爷垫一下，就过了	(了,胖哥,时候)
 34:47 - 37:14	刷高了 也会有亲戚小孩帮你重置的	(了,爆,的)
 37:15 - 39:14	又走马灯	(弹簧,你,💗)
 40:12 - 40:38	孙孙 几个横弹簧叠起来 用P能穿过去 这是啥原理[dog]	(弹簧,这,跳慢)
 43:45 - 45:23	一帧空气跳吗 踩完p之后直接没地给你站了[哇]	(踩,灯冷灯,冷)
 47:04 - 49:48	@达达达达达 nb	(;,蒙,智者)
 57:46 - 58:51	主包胖哥最近被黑的厉害，你能不能再帮他出个澄清视频	(灯冷灯,冷,，)
 60:26 - 61:50	过了[dog]	(;,灯冷灯,冷)
 67:24 - 67:26	哈哈哈哈哈哈哈	(哈哈哈,;,大笑)
 67:43 - 68:04	作者买手柄的[捂脸]	(鬼畜,小腿,向前)
 68:50 - 68:56		()
 80:25 - 80:57	明儿把胖哥照片挂床头，让马里奥之神保佑你你就过了	(过,啊,就)
 81:06 - 81:09	你认错主播了	(;,头顶,了)
 89:14 - 90:47	算你过了吧[dog]	(;,了,算)
 94:49 - 96:31	这是以前拍肚皮的主播吗	(！,无聊,的)




 96:53 - 99:25	这图要是过了我们可以放心大胆的打“蒙的”	(了,过,你)
 103:25 - 104:32	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(;,蒙,])
 107:12 - 115:58	复活卡挺快	(;,了,大戾)
 117:38 - 119:09	怎么红色sc也延迟了	(sc,红色,了)
 145:23 - 151:57	@クリーム松饼 孙孙真去湖北了你不担心他找到老公吗[dog]	(！,了,，)
 154:57 - 159:58	666蒙的	(蒙,？,的)
 167:54 - 168:33	上面有砖，应该是跳起来对齐的	(哈哈哈,上面,是)
 170:18 - 170:32	就跳那咋了	(咋,跳,那)
 180:38 - 182:08	玩着玩着熊孩子给你号删了	(着,玩,了)
 182:40 - 182:59	玩着玩着惠州长蘑菇了	(着,玩,长)
 188:14 - 188:22		()
 201:24 - 203:20	是不是就是放在大脸上左右的极限点让箱子别被毁啊	(箱子,你,是不是)
 204:31 - 205:29	很极限了	(箱子,直接,极限)
 205:31 - 208:38	我明白他意思了，他是说垫完箱子不拿pow，勾引大脸下落，趁砸炸之前跳上去	(箱子,跑,拿)
 212:46 - 213:45	主播你又再打電動啊 休息一下吧 看個書好不好[哇]	(💗,],[)
 214:57 - 216:50	为什么一直有个人在这里说认错了认错了 莫名其妙的	(智者,。,？)
 220:45 - 221:57	悲哀啊	(哈哈哈,壆,小)
 224:02 - 225:55	坏了 我要怒了 我要做个没两年过不去的图	(*,],[)
 226:18 - 226:54	主播能不能打之前演示两遍你的熟练度[哇]	(],[,直播)
 227:01 - 227:13	开摄像头是千本樱的时候[委屈][委屈][委屈][委屈][委屈][委屈][...	(委屈,],[)




 244:38 - 245:09	悲哀啊	(哈哈哈,？,悲哀)
 245:38 - 246:00	isun扣钱	(莫大,白天,不少)
 246:09 - 246:25	悲悲的哀哀呀	(不像,上进心,爆头)
 249:27 - 249:57	555被蓝龟打了好像	(∠,LOSE,对)
 251:00 - 251:31	不开在线机子直接吃灰了	(委屈,在线,开)
 259:11 - 261:22	悲哀啊[dog]	(瀑布,望,哈哈哈)
 269:23 - 271:25	主播你能不能把公开在线打开，我寻不到你了[委屈]	(蘑菇,委屈,区别)
 275:55 - 276:36	主播不爱吃道具	(LOSE,道具,淘汰)
 279:22 - 280:10	你在后排你也没登顶🙄	(你,哇,登顶)
 285:18 - 285:37	蓝龟呢救一下啊	(救,蓝龟,呢)
 285:43 - 285:56	差点砸到自己	(差点,自己,命中)
 286:10 - 286:13		()
 290:17 - 291:02	打压自己认证的isun[dog]	(灯过,土路,水路)
 292:55 - 296:10	我看你是不懂哦[哇]	(],[,么)
 296:52 - 297:07		()
 297:11 - 297:48	因為主播帶起了節奏[哇]	(傲娇,],[)
 298:23 - 299:51	你和他相互吸一吸就不烦了	(卡,放弃,他)
 301:17 - 301:24	就这一张图了是吧	(地方,裸连,一张)
 301:49 - 302:53	我裸连比松饼掉的次数少多了，几乎没掉过	(没来,裸,连)
 305:25 - 306:51	@Soulice 奶油松饼bot是弹幕转发程序，转发b站弹幕的	(委屈,],[)
 307:41 - 308:39	AMD YES	(YES,有人,下)
 309:10 - 309:16		()
 320:38 - 322:27	海南人还是太善良了，没在过线前震	(海南,士,大戾)




 322:38 - 323:51	匹配完进正式游戏前不扣分，主播随到不想玩的图直接重启游戏吧，还能躲isun[哇]	(],[,タ)
 329:48 - 330:24	马造多人打不过胖哥，节奏天国比不过CRT，电脑还卖不过金河田[委屈]	(不过,心中,CRT)
 331:57 - 333:46	我刚才那个闪电特意等主播无敌了才劈的，结果还是没了	(],[,哇)
 333:59 - 337:55	盖欧卡都来了，别想着保你那8900了[dog]	(你,士,大戾)
 337:58 - 338:23	还花呗了	(都,堡,菠萝)
 339:29 - 339:54	如果最后手机捏两个金蘑菇是不是包进前三	(不送,福袋,包进)
 349:06 - 349:45	淘汰了吧[哇]	(哇,淘汰,])
 350:11 - 352:20	嘉琪拉666	(],[,委屈)
 359:30 - 362:48	松饼都说你们养生呢[哇][哇][哇]	(666,了,的)
 369:09 - 369:21	好神秘的配置	(逆,这配,配置)
 369:56 - 370:07	50威力你想扫多少，150威力都只是刚刚过半	(威力,过半,150)
 379:27 - 380:58	狗运了	(？,5,了)
 383:10 - 383:31	买噶双马尾	(嬉闹,马尾,买噶双)
 383:33 - 384:37	杀了大嘴娃就推队了[捂脸]	(我,接着,走马灯)
 384:46 - 385:04	按死了不松手	(2pp,松手,按死)
 385:12 - 385:16		()
 387:34 - 387:56	肉丝你	(肉丝,走马灯,你)
 388:26 - 388:48	拼速度	(拼,速度)
 394:31 - 396:14	主播可以把百变怪的dr未成年退款吗	(悲哀,捂脸,百变)
 399:39 - 400:01	冰冻牙 G	(先生,卧龙,冰冻)
 400:12 - 402:06	81好像	(百变,怪,走马灯)
 403:12 - 406:16	是的，主播玩的是雨天队，绝对不是晴天队	(围巾,地震,暴鲤龙)




 407:32 - 409:25	必然不会CT  有感觉吗	(CT,不会,千变)
 413:55 - 415:09	应该切来切去偷懒	(耗,偷懒,应该)
 415:16 - 416:00	真无敌了[捂脸]	(？,体育精神,抗揍)
 416:07 - 416:37	出去看一眼世界杯，马上回来[dog]	(九尾,烈咬陆,钉子)
 417:07 - 417:24	是牛牛哦	(牛,哦,是)
 417:42 - 417:49		(结实,宇宙,第一)
 424:00 - 425:08	现在很多没接棒的，火鸡是主力接棒手	(接棒,加速,很多)
 433:35 - 434:04	笑死	(咋,那,暗影)
 435:53 - 436:41	这是宝可梦漆黑的魅影	(找,这是,就是)
 438:53 - 440:39	狗运两次了	(人机,HOW,？)

