全场最高能：324:28	我火鸡是满速，能快过极速围巾桥龙，如果想打鬼鱼就要拉10hp

其他高能：
 5:19 - 6:21	昨天机头过了么 怎么过的[捂脸]看半截睡着了 醒了就看到猫在那爬的图了[...	(了,],[)
 6:38 - 6:58	和解了	(打,许可证,没发)
 10:11 - 11:55	昨天的图过了吗	(了,吗,])
 13:57 - 20:11	坏了找了一圈没看到开厅的是谁[捂脸]	(;,],[)
 25:32 - 25:42	你早上那关过了吗	(？,技术手段,招儿)
 29:47 - 31:23	爬到食人花之前引第二个大脸啊	(大脸,第二个,啊)
 32:24 - 33:49	不是 上了第二个大脸 你直接顶开关啊 把大脸卡在蓝色砖下面啊	(开关,啊,大脸)
 52:43 - 53:11	这图还挺有创意的	(主播,委屈,])
 64:01 - 66:01	这种图胖哥都是一命过的	(@,的,666)
 69:03 - 70:23	直播间是主播自己在搞黄	(直播间,是,的)
 71:21 - 71:30	雪怪都踩了，还回来的时候只踩中间的雪球	(踩,雪怪,只)
 75:04 - 75:21	真盲区了	(盲区,认输,5LF)
 85:17 - 89:29	小网吧老板用的是金河田电源吗	(金河田,了,是)
 89:50 - 91:00	不找了[dog]没这图的视频	(的,炸弹,兵)
 91:50 - 92:20	免费吃烤肠能把电竞房的钱吃回来吗	(延迟,下落,吃)
 93:51 - 94:23	有啊，隐藏的无敌星[dog]	(dog,],[)
 95:01 - 95:22	惠菇儿子就会说话了	(？,真假,怎么回事)
 97:31 - 98:26	白胖生日快乐呀	(灯冷灯,冷,，)
 100:57 - 101:07	别在灯冷灯冷了，听一晚上了[dog]	(冷,灯冷灯,，)
 103:58 - 106:06	主播对胖哥真是虽然分开了，但是生活中哪里都是你，爱在心口难开	(666,了,你)




 115:39 - 117:53	主播能来一遍柜子的故事吗，感觉好久没听了	(，,你,了)
 126:36 - 128:44	悲哀啊	(？,;,哈哈哈)
 149:32 - 150:23	想说河田就说吧[哇]	(手机,],[)
 158:18 - 160:17	刚来，主播城堡灯了吗	(哞,开车,🚗)
 173:27 - 174:43	是你点的和田吗	(哈哈哈,士,大戾)
 174:45 - 175:02	主包你的技术真是越来越好了	(下次,越来越,主包)
 177:19 - 177:30	那咋啦	(那,咋啦,咋)
 178:53 - 181:56	林克你的技术真是越来越好了，就是运气差了点	(],[,LOSE)
 187:00 - 187:42	那咋了	(那,了,咋)
 189:15 - 191:18	技不如人[哇]	(LOSE,了,？)
 196:09 - 198:00	你不是说领先就抽嘛[哇]	(抽,],[)
 207:39 - 209:05	好壳	(哈哈哈哈,哈哈哈,LOSE)
 213:00 - 213:42	其实是胖哥代打才第一的	(马灯,抄近路,局)
 214:20 - 215:41	对蓝龟壳说谢谢了么	(？,HOW,谢谢)
 217:09 - 218:21	又蓝龟又压的哈哈哈	(蓝龟,LOSE,悲哀)
 224:52 - 225:30	你的牛可以挤出喝了会白白胖胖的奶吗	(仍,挤出,壳子)
 225:31 - 225:42	悲哀啊	(碾压,悲哀,委屈)
 226:57 - 227:28	这是真被压了	(被,了,钻头)
 235:25 - 237:04	悲哀悲哀	(对,瀑布,哈哈哈)
 239:00 - 239:25	走马灯	(走马灯)
 239:41 - 241:21	这是灯顶炼成法吗[哇][哇][哇][哇]	(哇,],[)
 246:29 - 248:26	悲哀的日墙	(好,],[)
 255:28 - 255:41	[捂脸][捂脸]	(捂脸,下场,一起)
 255:48 - 256:48	连排都排不到了啊松饼	(哇,],[)




 258:14 - 258:29	我三体直接给你后面的大库巴打死了[dog]	(大王,我三体,打死)
 258:45 - 262:30	他难道是把对555的亏欠弥补给你了吗[哇][哇][哇]	(],[,哇)
 263:41 - 267:04	难道说今晚的第一把灯顶	(的,灯顶,了)
 275:29 - 275:39	前面马灯都没了	(前面,马灯,没)
 275:54 - 278:07	那咋了，你还要管其他牛的生活吗	(都,，,竞速)
 282:25 - 282:58	悲哀啊[委屈][委屈][委屈][委屈]	(委屈,],[)
 283:27 - 284:38	分奴的话，新图缩最后拿爆料就完事了	(哇,],[)
 289:58 - 290:52	你打他他还手不是很正常吗[哇]	(？,他,演)
 291:39 - 293:33	主播选择了弹幕最多的打法	(HOW,？,哈哈哈哈)
 299:02 - 299:55	刚好13[dog]	(LOSE,哈哈,士)
 300:20 - 301:25	我闪四个之后就不给我闪了[哇]	(闪,了,不)
 305:41 - 306:40	有次拿地龙处理雷丘，然后它打魔法闪耀	(委屈,雷丘,mega)
 312:36 - 312:47		(这雷丘,打不過,結語)
 316:25 - 316:49	你鳞射打不死吧	(打,，,羁绊)
 318:27 - 319:56	我喜欢的主播要是有孙孙一半勤奋就好了	(了,近战,守住)
 321:06 - 321:24		(草)
 324:16 - 326:14	我火鸡是满速，能快过极速围巾桥龙，如果想打鬼鱼就要拉10hp	(吃,两发,不好)
 330:12 - 330:29		()

