全场最高能：109:36	主播能讲讲大白米饭和老干妈的故事吗

其他高能：
 1:50 - 2:17	可惜了刚刚那关胖哥来过了	(比心,],[)
 2:31 - 5:01	那完了我天天半夜刷到你	(],[,了)
 9:46 - 10:25	哈哈哈，能开电脑超市卖金河田吗主播[哇]	(自重,卖,金河田)
 16:30 - 16:34	那天真抗吗	(天真,抗,那)
 17:36 - 19:10	奔奔：加纳 祝你身体健康	(走马灯,奔,你)
 20:12 - 20:23	6	(6)
 20:51 - 27:58	你含了吗	(了,胖哥,？)
 28:09 - 30:03	主播做的游戏怎么了[哇]	(含,？,哇)
 32:12 - 32:30	好图	(好图,守门,牛哇)
 32:50 - 32:56	究极折磨	(奉系,哪有,究极)
 33:42 - 34:22	#查询戾气值	(查询,了,卡)
 34:39 - 34:46		()
 35:42 - 39:00	往日种种，难道你真的不记得了吗	(走马灯,了,])
 42:40 - 44:40	那咋了[哇]	(坦荡,咋,！)
 45:28 - 45:54	问问胖哥	(四币,问问,技不如人)
 56:39 - 56:46		(哈哈哈,那行,笑)
 57:38 - 57:59	那可不	(可不,那)
 59:23 - 60:26	没关系[鬼魂]	(没关系,善良,？)
 71:01 - 73:28	主播最爱的TA	(灯冷灯,冷,，)
 75:21 - 76:04	最后这个扒墙很容易失误，所以先吃	(吃,先,觉得)
 76:07 - 76:30	去胖哥那找个视频去水印就行了	(吃,去,我)
 77:16 - 78:09	那把之前的TA图刷了吧	(边,的,之前)
 78:22 - 81:48	主播走马灯这个用词会带坏小朋友的[傲娇]	(胖哥,的,视频)
 82:56 - 83:32	对角线夹死了	(对角线,夹死,极难)
 85:53 - 87:12	最终还是被胖哥寻了[哇]	(胖哥,了,抗日)




 91:39 - 91:59	感觉主播说话没以前有磁性了	(工地,里奥,磁性)
 94:20 - 95:30	8000分登顶了啊	(！,？,8000)
 99:58 - 100:08	机器人今天放假了	(放假,机器人,今天)
 100:23 - 101:10	我还有两位朋友也朗读了	(朗读,版本,话)
 103:04 - 104:07	去北京能找主播请我吃炒肝吗	(？,主播,吃)
 104:31 - 105:37	卡了	(了,卡,主播)
 106:52 - 111:14	主播能讲讲大白米饭和老干妈的故事吗	(的,哈哈哈,主播)
 111:24 - 111:29	粉丝辛辛苦苦帮你点的外卖，还在这抱怨，多伤心啊	(来,你,巡)
 114:30 - 116:33	祝你生日被堵，祝你生日走马灯，祝你生日金河田[哇]	(啊啊啊,了,])
 134:04 - 135:15	悲哀啊	(？,HOW,哈哈哈)
 143:16 - 145:45	主播是嫁接的吗	(？,的,孙子)
 145:50 - 147:01	主播你太邪恶了，天天蹭胖哥流量还说人家不好	(胖哥,因为,蹭)
 150:41 - 151:06	开皇帝能转账吗	(转账,给,主播点)
 152:49 - 153:21	没有读图能力	(能力,读图,没有)
 153:37 - 153:44		()
 159:17 - 159:23		()
 163:09 - 164:25	记不住的，别念了	(了,别念,者)
 165:45 - 166:01	记住就不叫鱼的记忆了	(一体,中俱为,府)
 170:43 - 172:08	是啊，但是你反墙反多了	(了,悲哀,不好)
 173:43 - 173:58	3条命最多10分钟	(条命,最多,10)
 179:29 - 181:46	他标题就说不极限了吧	(了,可以,极限)
 185:04 - 186:13	一哒哒 胖哒哒	(哒,拿,过)
 186:53 - 187:11	胖哥一条命过	(命过,眼保健操,一条)
 199:53 - 200:18	今年刚热了3天，又来台风	(刚热,今年,天)




 200:29 - 202:27	不懂就问 这是节奏天国的dlc吗	(弱者,通道,天国)
 203:14 - 203:19		()
 203:47 - 206:35	那我要加紧胖哥之家3.0的制作了[哇]	(胖哥,了,？)
 206:38 - 206:42	DR	(DR)
 213:38 - 215:21	什么是河田	(河田,是,什么)
 219:10 - 222:08	技不如人了	(了,都,技不如人)
 229:01 - 230:45	坏了	(坏,了,技不如人)
 230:57 - 230:58		()
 233:30 - 233:39	好雷	(走马灯,逃,哼)
 233:48 - 234:23	孙倒霉这一块[哇]	(这,哇,狙子)
 236:25 - 237:11	圈赛240条赛道，你说做那么大干嘛[dog]	(条,240,圈赛)
 237:16 - 237:41	胖哥好偷	(胖哥,抖,不多加)
 242:31 - 244:38	偷金币笑死了	(都,哈哈哈,了)
 250:45 - 250:51		()
 250:52 - 251:07	isun牺牲了	(牺牲,isun,极限)
 251:38 - 251:55	你满20金币就没用了吧金币	(金币,没用,20)
 252:10 - 253:11	没有isun输得一塌糊涂[哇]	(哇,],[)
 253:22 - 253:44	蚊子咬不了那么疼	(一天,我灯,疼)
 253:54 - 256:33	悲哀啊[哇][哇][哇]	(哇,],[)
 258:38 - 259:46	你这话说的，你不经常刚刚弯道掉下去吗[dog]	(他,卡,有)
 260:13 - 260:49		()
 261:01 - 261:22	这不来蓝龟配合下	(严于律,转过,急转弯)
 262:12 - 262:16	胖哥	(胖哥)
 263:29 - 265:18	哇 登顶 主播真棒	(666,了,！)
 265:27 - 265:47	这里如果不走特技过沙滩快的很少	(哇,],[)




 267:33 - 268:39	一个有点高级的操作，特技能跳过沙滩	(沙滩,特技,的)
 268:48 - 273:17	我跟老黄打一半困的不行就睡了	(],[,的)
 273:33 - 274:53	有没有忠给牛车切了灯顶切片[哇]	(蒙,的,灯)
 275:00 - 275:47	你是8400的神[妙]	(来,熔岩,拉开距离)
 276:08 - 277:49	这是胖哥图	(图,胖哥,5)
 279:58 - 280:12	那个我真没想到	(真没想到,那个,我)
 280:36 - 281:06	不打雷走就走了，主要是容易被打	(还有,这种,打雷)
 282:46 - 283:12	会有金河田大桥和望庐山瀑布吗[大笑]	(],[,哇)
 288:06 - 290:20	上大运了	(],[,大运)
 298:28 - 298:43	哈哈哈哈巫师立大功了	(立大功,巫师,好好)
 308:37 - 310:15	哇灯顶	(？,了,灯顶)
 312:15 - 312:22		()
 312:41 - 313:30	厂商不支持服务  推新产品	(服务,也,这样)
 325:43 - 326:30	太悲哀了，怒杀555	(666,悲哀,了)
 326:39 - 326:46	前四自己人	(前四,13,本来)
 328:59 - 329:02		()
 329:27 - 329:49	那不还是游戏设计有问题[委屈]	(还是,那,设计)
 331:02 - 331:55	不一定是isun坏，有很多路人狙击手	(isun,，,有)
 332:34 - 335:14	牛车找3个爱牛也不能稳定上分	(分,，,上分)
 335:46 - 336:22	悲哀啊	(挡路,牛寻,爱牛)
 344:17 - 344:35	对面三个猴聚众吗[dog]	(鹰人能,聚众,做到)
 354:53 - 355:10	6v6是不是猜拳输了还有机会	(猜拳,6v6,机会)
 358:41 - 359:24	多玩總會記住的 應該吧	(吧,應該,記住)




 362:42 - 363:02	忍蛙是打不过喷火龙的	(忍蛙,喷火龙,不过)
 363:12 - 363:43	这个宝可梦像是初代奥特曼打得一只怪兽	(怪兽,奥特曼,初代)
 363:53 - 366:47	悲哀，输给了一个不会调努力值的[dog]	(值,努力,对面)
 367:00 - 367:07		()
 369:13 - 369:35	狗舞	(furry,狗舞,舞)
 370:01 - 370:08	就贪	(披风,再舞,贪)
 370:15 - 370:40	脑仁	(子,🐶,脑仁)
 371:16 - 373:37	洗衣机事最肉的了吧	(洗衣机,colomai,球)
 374:33 - 374:38		()
 376:40 - 377:57	对面怎么速度比你还慢，最多满速了	(掐,我,看)
 378:49 - 380:22	对面不会不点神速吧	(哈哈哈,了,不)
 380:26 - 380:31		()
 380:44 - 381:36	可以打打巨金怪	(赢得,地龙先,人生)
 382:20 - 382:26		()
 382:37 - 382:55	除了围巾	(没什么,意义,除了)
 391:29 - 391:42	HOW	(HOW)
 394:17 - 396:02	这是洗脆风速狗   4倍弱岩顶喷火龙直接死了	(…,狗,洗脆)
 396:55 - 398:51	悲哀[dog]	(雷电,单打,拳)
 402:41 - 405:10	都残了 打死不mega 人机人机人机	(mega,人机,沙奈朵)
 410:24 - 410:35	牛逼吧	(读,逼,牛)
 415:14 - 416:28	2个4倍	(四倍,个,，)
 416:54 - 417:58	速度没加过地龙，，，	(概率,大,，)
 418:27 - 418:44	宝可梦问答环节：对面有几只闪光	(闪光,几只,问答)
 419:06 - 419:19	高级球	(一枚,一课,嗎)
 419:47 - 420:45	主播主播什麼是金河田啊🚀🚀	(。,🚀,主播)




 424:02 - 426:16	主播一直赢哪来的人机	(人机,对面,返)
 427:34 - 427:39	悲哀[dog]	(悲哀,左上角,666)
 430:45 - 432:23	打假赛是吧	(？,对面,打假)
 436:01 - 436:19	幽默人机	(算不得,打贏,英雄)
 436:25 - 436:33	和足球一样	(资本,足球,哎)
 441:11 - 441:36	健美猴	(拳来,健美,冰冻)
 443:05 - 443:48	这个就赢了	(有把握,点个,就行)
 451:14 - 451:27	不好说现在，很微妙	(微妙,不好,现在)
 462:16 - 462:26		()
 466:50 - 467:56	悲哀[委屈]	(戾,大戾,士)
 472:07 - 472:43	笑了	(第三层,笑,了)
 474:36 - 474:51	人机	(人机)
 477:05 - 478:25	悲哀[dog]	(ct,悲哀,])
 481:39 - 482:47	狗运[dog]	(dog,预期,符合)
 484:48 - 486:02	简单来说就是所有变身类特性和替身不能复制	(很快,复制,类)
 489:12 - 494:14	他没你多龙快了	(加纳,多龙,])
 497:47 - 498:47	加纳	(・,加纳,=)

