全场最高能：15:48	悲哀啊

其他高能：
 7:33 - 9:31	主播能讲一下日本wifi会员的故事吗	(的,会员,讲)
 9:52 - 10:03		()
 11:03 - 12:59	现在哔哩的番剧没法看了，不是黑幕就是直接给你剪了[笑哭]	(哔哩,会员,的)
 13:05 - 17:05	悲哀啊	(卡,他,，)
 30:52 - 30:56		()
 34:27 - 36:38	没活儿了就钻洞，这些作者也是江郎才尽了[dog]	(比心,了,仨)
 39:27 - 39:43	松饼带着bot一起走了吗[委屈]	(一起,着,带)
 43:47 - 44:05	胖哥来一命过[dog]	(最速,一命,极限)
 44:54 - 46:54	松饼去打工了，现在改名叫打工bot了	(，,],[)
 49:55 - 50:13	宝冠军的冷冻干燥冻不住人吧	(岁,不住,冻)
 50:28 - 56:47	是真的，我刚看到你昨天深夜的录像了，我搜了不能冻伤人，给你说一声	(，,了,])
 59:17 - 59:57	不會世界杯都踢完了主播還在播吧[哇]	(還在播,踢,世界杯)
 60:02 - 64:03	飛了吧主播 我會給你刷火箭的[委屈]	(前戏,的,了)
 66:52 - 70:26	主播你打这个10s跑酷，HYM 266 QXF，操作只有右，加速和跳，很简单的	(的,么,主播)
 71:03 - 71:22	那不贴墙不似的跟孙子是的	(钻,！,不)
 74:07 - 74:29	刚才弹幕说不能减速	(之作,我新图,盲区)
 83:11 - 83:38	要不這樣 主播你給我你的銀行帳號 我直接找波加曼匯給你錢[哇]	(不好,我,你)
 83:52 - 84:08	波加曼怎么会转账啊[哇][哇][哇]	(又,立,当)
 85:21 - 89:19	这是bug图吗	(？,！,HOW)
 89:47 - 90:18	你干嘛呢，你明明可以用无敌星摸旗子	(无敌,…,你)
 90:23 - 92:17	时什么把握的非常好	(的,奔,])




 93:59 - 94:38	蒙德呗	(蒙,的,蒙德)
 96:19 - 97:14	那兲呢	(那,呢,])
 99:27 - 99:35	没有单向板早过了[dog]	(推荐,板早,几个)
 100:07 - 101:04	如果对主播犯了错你会原谅我吗	(电脑,吗,睡)
 102:52 - 104:00	走马灯卖电脑胖哥爱牛美神小杰金河田长沙五虎	(了,单向,下)
 113:50 - 114:46	孙孙[哇]	(],[,孙孙)
 115:09 - 115:15	不是外号孙子吗[妙]	(悲哀,那有,外号)
 121:17 - 121:46	你不如一直蒙，等冷等冷还增加时长呢	(等,？,冷)
 125:41 - 125:51	胖哥夹击	(胖哥,夹击,头)
 132:29 - 133:12	这图我至少看六个主播玩过了	(了,这图,可以)
 141:21 - 141:43	RLP 6V2 TVG	(ps4,系统,ps5)
 141:59 - 142:48	这个不极限，上次20秒的图才是极限，过关正好00	(，,手柄,了)
 144:18 - 144:50	我感觉中了病毒，感觉老是看过的图	(感觉,了,在)
 148:40 - 149:40	居然还有日语慕课[爱]	(缩回去,日语,BDF)
 152:21 - 152:26		()
 152:39 - 154:08	检举了	(哈哈哈,一垫,吃)
 159:20 - 161:28	中了	(或,了,哈哈哈)
 166:11 - 166:54	还给花整个降落伞[哇]	(哈哈哈哈,哈哈哈,吃)
 169:50 - 171:00	不是9是4	(4,走马灯,哈哈哈哈)
 172:24 - 173:11	作者连这也算到了吗	(那,呢,？)
 174:39 - 175:02	乱七八糟的图	(666,-,乱七八糟)
 178:01 - 180:18	带ls不都是广告 直接举报了[dog]	(恭喜,],[)
 181:48 - 184:32	主播就是每天开播走马灯不干别的	(哈哈哈,-,了)




 200:35 - 203:35	走马灯效应	(效应,的,…)
 204:55 - 205:55	走马灯效应	(效应,效應,，)
 206:10 - 206:26	555喜欢胸还是屁股	(悲哀,胸,打成)
 206:30 - 206:56	什么色情直播间	(色情,直播间,什么)
 208:45 - 209:23	大戾士	(🍔,ztmex,⁷)
 218:13 - 218:45	前戏有点长了	(守门员,长,戏)
 221:25 - 225:20	入队图，难怪，就是送命的太多了	(666,了,-)
 227:03 - 227:25	小心被扔死[dog]	(大庫,推銷員,巴)
 229:53 - 230:06	主播感觉马造1好玩还是马造2好玩	(好玩,马造,1)
 230:10 - 232:30	还以为za能护航中你的不行了	(护航,的,，)
 244:53 - 245:02		()
 245:30 - 249:26	胖哥都让你看他这么多局的录播了还不是在走马灯	(士,大戾,互动)
 251:40 - 252:18	还有第二关	(起点,回到,算是)
 253:04 - 253:38		()
 254:40 - 255:00	N46-KEJ-GKF	(-,KEJ,GKF)
 259:55 - 260:05	胖哥[委屈]	(委屈,胖哥,])
 264:49 - 266:38	开始了，牛车拉戾赛	(哞,牛车,士)
 269:56 - 271:01	你每天都这么说，结果我睡着了你还在播[妙]	(小说,我,你)
 279:46 - 279:49	大结局了	(大结局,了)
 280:31 - 280:55	红龟和绿龟有什么区别	(红龟,跟踪,绿龟)
 281:17 - 283:09	干得好，盖欧卡	(悲哀,欧卡,盖)
 287:07 - 289:19	这吊游戏靠中间的排名怎么全是蘑菇	(大王,蕉,热熔)
 292:03 - 293:40	少一个蘑菇	(宝可梦,蘑菇,一个)
 293:46 - 294:11	5今天有第一了不	(第一,今天,5)




 294:25 - 295:13	我去还真来了	(太少,真来,城堡)
 303:02 - 305:51	大仇得报[花]	(道具,挂,是)
 310:20 - 310:34	双联保	(保,双联)
 311:00 - 312:12	把⚡️放后面别人看到了跟在你后面不就稳晋级了吗	(后面,了,胖哥)
 313:34 - 316:02	悲哀，打压牛牛 这就是你想要的登顶吗	(666,悲哀,了)
 316:09 - 316:14	这就是你打压粉丝的理由吗	(理由,確實,粉丝)
 319:38 - 320:23	提前悲哀	(提前,悲哀,走马灯)
 323:20 - 324:56	我查到的数据 速度种族值mega巨金110猫123	(速度,110,昌平)
 330:11 - 330:33	走马灯	(草,悲哀,666)
 333:33 - 334:39	如果对面也是百变怪会怎么样，两只百变怪会变成什么	(百变,怪会,什么)
 336:10 - 339:18	现在很多都带替身防大将	(替身,的,防)
 340:29 - 343:25	排落打mega石不加伤	(mega,],[)
 345:00 - 345:04		()
 345:16 - 346:33	为什么生命宝珠是吸血的	(吸血,是,CT)
 348:15 - 348:28	那咋了	(剑舞,意思,咋)
 348:45 - 348:55	暗影球伤害高啊	(换人,接棒,伤害)
 349:53 - 349:59	放心打	(放心,打)
 350:05 - 350:42	這遊戲最忌諱的就是放棄	(的,放棄,最忌)
 350:48 - 352:02	对面这逆天队伍被鳄鱼打一队	(],[,哇)
 352:29 - 352:54	鳄鱼打不过火鬼吧	(拍不落,火鬼,鳄鱼)
 354:24 - 356:00	悲哀[dog]	(],[,光线)
 361:45 - 362:38	宝可梦也有海南人	(海南,也,人)
 370:06 - 370:43	赢了	(赢,？,了)
 371:11 - 372:06	你也来一个	(用,什么,你)




 373:01 - 375:31	加纳了	(人机,了,加纳)
 377:53 - 378:11	这个是真人机	(机,真人,人机)
