全场最高能：52:25	主播松饼知道错了吗，你已经把她关在雅阁三年了[委屈]

其他高能：
 3:13 - 4:09	如果是林克的话已经飞了	(已经,飞,HOW)
 5:39 - 6:53	主播我给你寄的快递你收到了吗[哇]	(哇,],[)
 7:05 - 8:16	在玩胖哥图那个哈尔滨冰道弯道的时候高手都喜欢开智能驾驶[dog]	(智能,弯道,冰道)
 11:29 - 12:20	恭喜加纳在主播蓝音BuBuLine直播间的助力等级已达到铁杆粉丝	(铁杆,达到,等级)
 17:48 - 17:55	补给线	(补给线)
 23:41 - 32:10	河田是什么意思	(的,是,了)
 32:39 - 36:27	拿对角线沾了热熔胶的和田装了台用来去水印的电脑，顺便换了台惠普的crt显示器	(大戾,士,。)
 40:56 - 46:14	毫无疑问是胖哥	(哈哈哈,胖哥,是)
 46:20 - 46:28		()
 47:22 - 47:38	走马灯	(走马灯)
 47:59 - 48:06	什么时候主播表情多加一个和田	(搬运,多加,看不见)
 48:09 - 55:43	主播松饼知道错了吗，你已经把她关在雅阁三年了[委屈]	(],[,，)
 66:49 - 67:38	然后进中间管	(？,然后,中间)
 68:00 - 68:25	你是怎么做到的	(是,赶上,if)
 69:41 - 71:58	应该没了，你最底下的刺都碰到了	(进门,没,了)
 78:31 - 78:57	悲哀	(悲哀)
 79:20 - 80:27	他全预判了	(预判,悲哀,])
 81:31 - 83:56	好图	(哈哈哈,❌,明白)
 86:28 - 87:53	最开始的有一个没吃	(吃,没,开始)
 88:51 - 90:21	热更新了[大笑]	(],[,更新)
 90:44 - 92:09	悲哀啊	(哈哈哈,哈哈哈哈,])
 94:10 - 96:09	这图还有可挖掘的点，感觉一半的机关没遇见	(666,的,0)
 116:28 - 116:55	植原孙老师～我还记得你～	(一句,～,记得)




 117:59 - 118:11	直播间没有了松饼就像卢浮宫没了蒙娜丽莎[委屈]	(蒙娜丽莎,卢浮宫,像)
 118:39 - 118:53	我也很快打出来了	(很快,打,我)
 121:43 - 122:14	你在干什麼	(？,哈哈,在)
 123:47 - 124:05	那咋了	(妙,～,咋)
 125:15 - 126:49	什么店员 陈先生的店员吗	(店员,你,的)
 126:59 - 130:40	雅阁[dog]	(雅阁,哈哈哈,对)
 131:37 - 132:00	你就不能回门刷新个刺帽	(回门,刷新,刺帽)
 132:18 - 133:36	悟了个雅阁	(等,？,了)
 136:57 - 138:39	然后雅阁	(雅阁,],[)
 140:52 - 142:28	玩成解密图，也是作者没想到的[鬼魂]	(哈哈哈哈,],[)
 145:24 - 146:30	中级工艺图	(哈哈哈,Hi,])
