全场最高能：152:54	悲哀啊

其他高能：
 7:31 - 12:33	bili是这样的，主播开着就是为了回馈老观众，粉笔没有	(主播,，,的)
 13:20 - 14:25	孙晚好[花]	(嗯,666,蒙)
 15:16 - 15:30		()
 15:43 - 16:55	饼饼雅阁了	(）,（,雅阁)
 19:08 - 19:42	主播你的dr订好了吗	(冤,订,好了吗)
 22:26 - 22:37		()
 22:51 - 24:21	主播跟松饼闹什么不愉快了	(giao,松饼,主播)
 27:42 - 28:27	哦，已经被炸两次了	(两次,炸,已经)
 30:55 - 32:12	那他都出来了为什么不能踩啊	(来,了,啊)
 33:08 - 33:28	死了啦 都是你害的啦	(啦,害,死)
 34:21 - 36:25	通过作者时间推断伪随机时间	(脸,试试,时间)
 39:00 - 39:04		(不好)
 39:23 - 40:51	这是要把上面那个刺打下来么	(视频,去,这)
 41:28 - 45:45	要不先把这张图给举报了	(？,举报,有)
 48:04 - 50:23	我有一个想法，让火在大脸上的时候勾动大脸撞一下，让火浮空出去，再踩死boss	(了,火,让)
 51:00 - 52:40	吃了花不动等着p结束冲过去旋转跳踩他，这个姿势的伪随机好像可以让他转出来	(他,！,出来)
 54:17 - 54:57	不能离他太近	(他,离,太近)
 57:19 - 57:25	他根本不往左走，怎么卖血之后无敌状态踩	(，,播去,主)
 65:49 - 67:00	三分之一还得赌三次二分之一的往左你就慢慢赌吧[dog]	(三次,赌,就)
 69:49 - 70:27	算你过了	(猜路,猜,随机数)
 70:36 - 70:41	按作者的介绍来说，应该是帧级操作	(级,应该,来说)
 75:06 - 75:48	你大马里奥的时候他才会转三下	(你,roll,三下)




 76:37 - 80:09	松饼是不是胖哥派来的[委屈]现在回去找主人了[委屈]	(委屈,],[)
 81:20 - 81:50	孬飞[哇]	(露出,*,孬飞)
 82:07 - 84:21	金河田走马灯热熔胶对角线砍伐证补水套雅阁都要来齐了	(转,喵,的)
 85:10 - 87:12	季小麦来了就能	(走马灯,小麦,季)
 87:28 - 88:03	让你天天带胖哥节奏，被白白胖胖的卡了吧	(了,胖哥,你)
 88:25 - 88:39	角度低了	(哈哈哈,悲哀,你)
 88:45 - 88:51		()
 91:04 - 91:31	莫顿vs河田[哇]	(vs,河田,莫顿)
 91:53 - 93:05	他利润-0.5了，还怎么能多赚啊[委屈][委屈]	(],[,他)
 94:54 - 95:32	本关马灯圈数：155	(155,没,走马灯)
 95:40 - 96:47	走马灯是类似魔虚罗的意思吗	(了,自己,你)
 103:48 - 104:32	求你别玩了	(玩,吗,石块)
 105:38 - 105:55		()
 105:57 - 106:05	发码是不是要半个小时给个飞机啊	(发码,太坏,黄)
 106:49 - 113:32	以后直接定个规矩，100块礼物看图不包过就完事了，省的一堆发烂图熬时间[哇]	(的,，,了)
 113:45 - 114:16	关键是踩它上去还不能弄死它，只能等	(耗,它,多次)
 114:27 - 114:36		(boss,，,钻缝)
 120:30 - 121:53	库巴在主播那买了两次电脑都被金河田炸了，已经对主播失去信心了	(了,那,士)
 122:22 - 122:28		()
 131:20 - 132:58	会有个版本是怪死了但是火不消失吗 会不会是以前做的图	(是,了,他)
 136:06 - 136:12		()
 139:53 - 140:13	WH1 FAT BR0	(BR0,FAT,WH1)
 144:15 - 144:54	本关马灯圈数：287	(因为,图,马灯)




 149:47 - 154:28	悲哀啊	(士,大戾,了)
 169:03 - 169:49	胖哥是抗日英雄，那主播是什么	(什么,那主播,是)
 173:24 - 174:17	我记得这图刚开始玩的时候死亡数是24或者34，现在已经几百了怕是	(是,，,几百)
 175:24 - 175:41	居然还在打这个	(居然,这个,打)
 180:36 - 181:46	目的是让p早点结束，好让怪在转圈的时候直接出来	(去,，,我)
 192:08 - 194:23	孙子怎么还在这啊 3个小时了吧	(了,还,bug)
 195:32 - 195:54		()
 196:05 - 196:14	本关马灯圈数：421	(马灯,421,电量)
 198:35 - 199:32	他说的你打出来的火球打到他	(火球,的,他)
 204:31 - 207:07	打了三个小时还没过 真为主播感到悲哀	(LOSE,呜呜,悲哀)
 208:06 - 210:03	这是坏女人，就吊着你[爱]	(电脑,你,什么)
 210:11 - 211:13	今晚就这个了吗	(手机,了,])
 213:30 - 214:29	刚刚是什么方法可以上去的	(],[,等)
 218:24 - 224:18	所以作者花了多久过的	(了,],[)
 226:01 - 226:07		()
 226:14 - 226:37	和地图和解了	(松饼,了,嗷)
 233:21 - 234:59	好的	(好,了,打)
 238:34 - 240:24	主播 你跟松饼姐姐到底怎么了	(松饼,了,倒车)
 243:43 - 245:09	好蕉	(悲哀,好,LOSE)
 245:15 - 245:27	烧了	(烧,了)
 252:56 - 253:56	悲哀啊	(结局,标准,LOSE)
 256:50 - 257:00	还是耻辱了	(么,逝,耻辱)
 262:12 - 262:36	这第一太快了	(太快,第一,这)
 262:50 - 263:38	后面几个都是在乱丢了	(都,了,太远)




 274:28 - 275:52	多么华丽的一局灯顶啊	(灯顶,！,的)
 275:55 - 276:02		()
 281:35 - 281:52		()
 281:59 - 283:11	留着过年用[dog]	(怼,第三个,想要)
 283:38 - 284:44	没有过	(对,哈哈哈,LOSE)
 294:55 - 295:55	全是坑害	(性能,超车,弯)
 298:06 - 300:42	那你不怕追不到第一了吗	(这是,吗,几)
 301:08 - 301:56	这是马车8000	(马车,8000,这是)
 302:42 - 305:10	这导弹为啥有的时候时间长，有的时候一会儿就没了	(胖哥鈿,三体,蓝龟)
 305:56 - 310:37	纯纯定制	(了,定制,世界杯)
 313:21 - 314:17	小车和大车好像金币增益的函数图不一样	(增益,明显,大车)
 314:50 - 315:14	记不得在哪里看到的了	(记不得,哪里,看到)
 316:43 - 318:41	悲哀啊	(蓝龟,胖哥鈿,三体)
 338:27 - 342:04	三体蓝龟胖哥鈿	(蓝龟,胖哥鈿,三体)
 342:32 - 343:44	没事孙宝，当不了技术主播我们可以当颜值主播	(主播,🐮,没什么)
 345:08 - 346:23	大戾士	(！,LOSE,士)
 352:29 - 354:43	这没淘汰，我是不认可的[dog]	(胖哥鈿,三体,蓝龟)
 354:53 - 357:30	挂个现货	(胖哥鈿,三体,蓝龟)
 371:47 - 372:14		()
 372:30 - 373:24	大戾士	(士,大戾,急败)
 374:11 - 375:19	悲悲的哀哀呀[哇]	(瀑布,哀哀,悲悲)
 380:02 - 381:11	又没有isun，炸谁不是炸	(炸,isun,谁)
 383:55 - 390:13	他直播间里难道不会有走🐴灯的吗	(你,，,走)
 390:37 - 391:20		()
 393:38 - 394:09	一头牛虎视眈眈的	(虎视眈眈,一头,牛)




 395:08 - 395:38	九折	(九折)
 396:45 - 400:17	就盖欧卡一个isun，怎么就太多了	(！,了,欧卡)
 400:57 - 401:03		()
 404:47 - 405:29		()
 407:56 - 409:59	真惨[哇]	(666,！,HOW)
 416:50 - 417:18	主播的队伍怎么一直不变	(不变,队伍,一直)
 423:51 - 424:52	歪比巴卜	(竞技,同台,这些)
 426:42 - 427:46	我要直播搞了你[哇]	(热气球,pp,5)
 428:39 - 429:12		(英格兰,输,委屈)
 429:40 - 430:06		()
 430:59 - 432:14	两个百变怪首发是干瞪眼吗	(百变,怪,干瞪眼)
 438:09 - 442:43	排位大家都想上分那可不什么好用用什么吗	(按,什么,伤害)
 442:58 - 443:07		()
 443:21 - 444:17	烧绳咯	(烧绳,堵住,珂)

