全场最高能：83:53	你不是总说直播间全是胖哥胖哥没别的吗

其他高能：
 5:02 - 6:35	有和你一模一样的ID，和b站的马造主播在私人房间队长	(。,比心,和)
 7:17 - 7:21		(卖耀西,拿下)
 7:26 - 10:59	我的NS和卡带都已经吃灰了	(的,玩,游戏)
 12:20 - 12:24		()
 12:40 - 13:03	酷跑太难了	(酷跑,太难,技术)
 14:55 - 15:27	主播能讲一个惠菇的故事吗	(主播,极了,造)
 19:06 - 19:38	么么	(八千,么,你)
 23:26 - 23:31		()
 23:54 - 25:38	有技术的都抗日去啦，只有主播这样在这散戾气	(松饼,了,去)
 27:58 - 28:13		()
 29:21 - 31:49	主播我考到北京去了，能去找你吗[哇]	(了,哈哈哈,，)
 32:18 - 32:22		(剑,舌,纯藏)
 35:26 - 36:51	让隔壁dy听见还以为我们送不起呢，再来十块，一人十块	(么,满,盆满)
 39:12 - 41:04	蒙的好	(蒙,666,的)
 43:43 - 44:14	全是知识	(知识,牛牛,全是)
 47:12 - 47:15		()
 48:26 - 49:26	主播你要过不了就点歌举报吧，我刚听一孙子说可以这么干	(侮辱,你,饼)
 49:46 - 50:40	我就说你诋毁胖哥，实锤了吧	(胖哥,，,了)
 55:04 - 56:19	鬼代表胖哥，那游戏里什么道具代表主播	(了,界,])
 56:56 - 57:53	谢大脚	(是,],[)
 58:08 - 58:34	那主播怎么不玩多人	(白白的,懒懒,胖胖)
 58:55 - 59:25	就非得盯着排[哇]	(走马灯,哇,如图)
 59:37 - 60:32	卧槽 这图就放主播桌面上是吧	(咋,],[)
 60:37 - 66:50	为啥这叫走马灯	(走马灯,了,])
 67:49 - 67:59	主播我看不见你可以帮我们点开看一下嘛	(盘,底下,点开)




 75:26 - 76:01	引起众怒那封面用电脑哥真太搞了	(菌,计数,电脑)
 77:07 - 77:14	讲讲主bo[哇][哇][哇]	(哇,],[)
 77:33 - 81:25	不是主播打压我单人世界第一美神吗[哇]	(，,主播,的)
 83:20 - 84:52	你不是总说直播间全是胖哥胖哥没别的吗	(胖白,胖,，)
 87:35 - 88:47	千本樱有人看啊	(方块,看,千本)
 89:01 - 90:05	你玩多人，直播间有8000人	(千本,樱,啊)
 123:24 - 125:49	他不看了，直接牛车	(了,直接,牛车)
 138:39 - 138:57	这图难是一般但是每个操作都很恶心	(一般,每个,难)
 139:05 - 139:12		()
 142:33 - 144:35	你以为这个就不晦气吗[大哭]	(晦气,牛,])
 144:55 - 146:10	20金币，盆满钵满了	(，,士,大戾)
 146:31 - 146:36		(pjb,不然,金币)
 146:52 - 146:57		()
 148:32 - 149:15	然后吃个蓝龟淘汰	(蓝龟,来,吃个)
 149:22 - 150:30	打架吐个精光的岂不是慢死了	(卡塔,卡,他)
 150:39 - 150:50		(羽毛,马车,的)
 151:38 - 156:40	我只看到没有蓝龟的局	(蓝龟,没有,的)
 156:51 - 157:34	有两头	(点牛,俩头,赛道)
 158:20 - 159:15	等我买了ns2就来	(我,和,，)
 163:39 - 167:05	悲哀啊	(了,，,你)
 171:37 - 172:11	主播能不说黑话了吗新观众听不懂	(观众,说,不)
 173:55 - 177:32	蒙牛刷了	(了,ztmex,的)
 178:42 - 179:29	悲哀啊	(悲哀,LOSE,不用)
 183:27 - 185:28	还成为胖哥呢，先把多人许可证办下来吧	(日本,人,成为)
 186:27 - 187:52	你承認是你砸的了[哇]	(],[,哇)




 189:07 - 189:50	这游戏到底是原神还是星穹铁道还是碧蓝航线还是蔚蓝档案啊	(还是,],[)
 189:58 - 190:11	本来是ztmex在打压我，我想复仇的	(我,是,复仇)
 192:51 - 193:59	主播要这样早盆满钵满了[哇]	(？,主播,了)
 210:19 - 211:59	一头牛都没进，悲哀	(LOSE,555,大哭)
 220:46 - 222:10	不偷我赢了	(赢,],[)
 228:59 - 231:29	极度悲哀	(卡,他,了)
 232:15 - 232:17		()
 238:53 - 239:54	主播没有抗日精神 谁跟你一起合作	(合作,一起,走马灯)
 240:24 - 240:41		()
 242:22 - 242:55	这个招募闪过吗	(闪过,招募,系列)
 243:44 - 243:54		()
 245:10 - 245:19		()
 246:57 - 248:35	悲哀啊[dog]	(悲哀,噢,])
 252:43 - 253:06	有点东西	(老师,这句,话)
 257:50 - 257:52		()
 258:43 - 259:12	666	(666)
 263:11 - 266:42	毒守体系很正常啊	(了,难受,LOSE)
 267:55 - 268:00	嗦嗦我的	(嗦,我,的)
 268:15 - 268:19		(破防,对手,要害)
 268:23 - 269:58	连续俩畏缩  给你赢好了	(嗦,手机,了)
 270:11 - 272:12	多龙快不过围巾三头龙	(围巾,霸,吼)
 272:46 - 272:49		()
 272:57 - 273:55	子桥玩阴人有点顾头不顾腚的 打别人容易打不过	(打,不顾,顾头)
 278:07 - 278:33	你还想要大声咆哮吗	(咆哮,大声,10%)
 279:02 - 283:14	那是很遜了[哇]	(拉,海星,狃)
 287:51 - 288:09	他稳一点可以再读一次宇宙力量  然后辅助力量打你	(力量,辅助,稳)




 289:36 - 292:11	他应该是考虑过自己不想被辅助打死	(辅助,他,力量)
 293:28 - 294:24	加油啊  上8000的大哥哥	(月亮,喷火,哥哥)
 295:18 - 296:30	[傲娇] 挂着玩游戏了	(。,玩游戏,没用)
 298:13 - 300:55	这下是真马上用完了 前面点了4次  这里2次	(了,次,月光)
 302:49 - 305:20	这游戏没打死最后一个赖20分算平局	(20,分钟,平局)
 306:00 - 306:07		()
 309:30 - 309:39	这就是韩国产的人机	(产,韩国,人机)
 314:45 - 315:27	直接大妈皮草大衣都打飞了	(大妈,了,？)
 315:33 - 315:52	爱马把自己爱死了[哇]	(宝可梦要,戾,坨)
 322:34 - 322:57	我记得月神也能带	(实时,记得,能带)
 324:15 - 325:09	不击中要害不过半吧应该	(击中要害,mega,肥大)
 329:49 - 330:59	不需要努力值  进来给你点数自己分配	(值,种族,默认)
 331:35 - 332:18	那不好弄空间队了	(空间,没有,双打)
 332:39 - 334:14	就是个手机宝可梦对战	(手机,手游,对战)

