全场最高能：213:50	纯路人，我一点都不知道海南人、走马灯、雅阁、金河田、胖哥是什么意思[汤圆]

其他高能：
 0:39 - 1:53	终于有99的直播了	(早,这么,的)
 5:56 - 6:15		()
 6:23 - 6:33		()
 11:12 - 13:28	哇，登顶	(vip,？,环节)
 13:42 - 16:06	人就是这样，最烦别人问你考试多少分，却还要去问别人，到最后成为自己最讨厌那个人	(，,走马灯,了)
 22:30 - 23:28	已经晚上11点了吗	(登顶,！,二连)
 24:35 - 24:56	哪个vip99是啥模式	(vip99,哪个,模式)
 25:31 - 27:49	那我追击这人，他反击，他反的分是不是比我追击高	(追击,他,那)
 28:21 - 31:33	开追击一定是打一枪换一个目标 防止被开反击的钓鱼暴毙	(灯顶,666,走马灯)
 34:15 - 34:24		(，,堆高,然后)
 34:32 - 37:17	前期追击大概率是钓鱼 剩10人以内追击也许能偷到	(我,追击,了)
 37:22 - 37:27	随机不能来回切嘛	(切嘛,来回,随机)
 39:05 - 42:41	晓得了，我玩这个一直是挂着反击	(徽章,是,个)
 46:06 - 46:40	他左边没有预警，不会暴毙	(预警,左边,暴毙)
 49:36 - 50:45	[吃瓜]技不如人	(LOSE,。,失误)
 52:25 - 52:53	孙80	(80,],[)
 57:17 - 57:24		(鱼,钓鱼,吃)
 58:37 - 59:44	之前尝试过，不太熟练，基本上也够用所以就很少搭c4w	(搭,这,，)
 62:00 - 65:00	哇登顶	(！,灯顶,么)
 65:20 - 69:00	不是说的你吗[哇]	(你,了,模式)
 73:18 - 75:06	右下那个是会点的 也是接近100攻了	(了,右下,右)
 83:46 - 85:34	悲哀[委屈][委屈][委屈]	(委屈,LOSE,])




 95:08 - 96:53	这游戏怎么现在都没有牛牛了	(技不如人,差点,孙)
 101:51 - 101:57		()
 102:38 - 103:06	算你过了	(算,过,你)
 103:37 - 105:13	直接压死了	(了,这能,直接)
 112:10 - 112:37		()
 115:23 - 119:20	好图来了	(了,],[)
 121:47 - 122:44	今天就这个图了[哇]	(，,],[)
 123:13 - 123:24	飞	(飞)
 125:21 - 125:30		()
 127:43 - 132:07	给胖哥刷个飞机问问[哇]	(胖哥,问问,开关)
 140:34 - 141:51	笑死 这做的啥啊	(哈哈哈哈,了,过)
 144:46 - 145:41	那咋了	(士,大戾,90)
 150:01 - 150:41	大题都会，基础题一道都不会[dog]	(都,题,基础)
 150:47 - 151:09	现在还有能让孙子死百命的图[哇]	(孙子,有的是,百命)
 152:16 - 153:45	以前不还有个图，给三龟放最后了吗[哇]	(],[,最后)
 154:25 - 155:42	全网最悲哀的直播间	(不缺,一块,胖哥)
 156:43 - 156:53		()
 157:07 - 158:18	拉了一泡屎怎么还在这关[dog]	(是不是,也,了)
 158:22 - 158:55	给我看看	(盲区,技术,看看)
 160:48 - 160:51		()
 161:55 - 162:01		()
 162:55 - 163:42	主播好胖	(…,破纪录,白菜)
 179:26 - 179:32		()
 181:34 - 182:30	这图打多久了	(时间,通关,待)
 185:21 - 189:10	假的，我在祝胖哥生日快乐 蓝音是胖哥的皮套 而且胖哥也不是今天生日	(胖哥,生日,的)
 189:32 - 190:55	感觉主播的手柄要坏，都有杂音了[哇]	(爱,主播,，)




 195:43 - 200:08	我买了个北通的机械按键手柄，好爽	(了,新人,你)
 200:18 - 204:06	牛6不开[dog]	(么,],[)
 204:40 - 206:03	等于说三百五十次不过，我一说话就过了，感觉不对	(不好,下面,哈哈哈)
 213:24 - 214:47	纯路人，我一点都不知道海南人、走马灯、雅阁、金河田、胖哥是什么意思[汤圆]	(人,海南,什么)
 214:55 - 217:33	他倒是也打了那么多回	(了,？,他)
 221:58 - 222:49	开车图 V5Y-3P8-29G[dog]	(踩,-,一下)
 224:56 - 225:07	这又是什么图	(啥意思,又,这图)
