全场最高能：77:13	那鬼不就下来了

其他高能：
 4:40 - 4:58	今天终于正常开播了	(开播,正常,终于)
 5:41 - 5:51		()
 6:07 - 7:18	但有时候会很早，就譬如昨天九点多就播了	(直播,，,多就播)
 8:34 - 9:16	等灯等灯	(灯,等)
 11:18 - 13:37	完了要等冷几个小时了[爱]	(],[,花)
 13:54 - 14:19		()
 14:36 - 16:28	那肯定呀，哔哩只会说哔话早就被切割了[哇]	(哇,],[)
 17:06 - 17:33		()
 18:12 - 23:11	你是惠菇的娃吗[哇][哇][哇]	(],[,哇)
 23:15 - 24:16	猫熊[哇]	(因为,已经,])
 25:05 - 27:08	这个暂停的作用是什么啊，不太懂	(暂停,方块,环节)
 27:54 - 28:48	其实倒L结构在快掉下去的时候一帧蹲也能快很多的	(666,快,的)
 29:19 - 30:18	用TAS 上传那别人过不了啊	(破解,ns,啊)
 30:57 - 31:06	回到起点	(起点,回到)
 31:22 - 31:27	怎么不学胖哥冲刺8000	(冲刺,不学,8000)
 31:42 - 31:47	最后是三段啊	(主包,坑,掉)
 32:22 - 33:08	读图能力	(操过,人手,一段)
 33:44 - 37:15	用了tas还是技不如胖	(tas,用,兴奋剂)
 41:35 - 42:52	蒙的	(666,的,pow)
 47:09 - 47:31	这图不开眼没法玩	(。,这图,九折)
 50:16 - 51:30	四格有啥含金量啊	(了,九折,饼)
 58:06 - 58:31	还是个藏b	(哈哈哈,博一,活着)
 61:01 - 61:55	金河田炸了	(ID,金河田,九折)
 70:43 - 70:53		()
 73:16 - 74:48	把胖哥都放到你看不见的地方[鬼魂]	(👍,为啥,胖哥)
 76:23 - 81:14	那鬼不就下来了	(了,的,就)




 93:54 - 95:18	这是我听过最感人的表白了[大哭]	(英语老师,了,陕西)
 96:10 - 97:39	四进四出现在不在雅阁了吗	(雅阁,，,在)
 99:45 - 101:24	松饼不在都没人刷蒙的，全都是666，ztmex[委屈][委屈][委屈]	(是,单人,委屈)
 105:54 - 106:13	可爱捏	(？,捏,可爱)
 113:59 - 119:12	出三直接ai[dog]作图，你说给我出个堵死白胖的图，就给你出一个	(，,ai,国外)
 119:39 - 120:46	主播让洋次郎麦子当你的演员吧[哇]不然马造3你卷不过胖哥的[鬼魂]	(兄弟,],[)
 122:30 - 123:55	过了	(极限,过,不)
 126:19 - 129:56	现在不会头铁了，过一小时戾气蓄满了随便找个弹幕对线就换牛车了	(],[,了)
 140:40 - 141:33	不极限	(。,差,100)
 141:44 - 141:57		()
 149:38 - 151:10	你不会以为作者也是正常过的吧	(好多,你,补给线)
 151:42 - 151:50		()
 158:09 - 158:22	走马灯	(比藏,觉得,好多)
 159:37 - 159:44		()
 163:50 - 164:01	HOW	(666,HOW)
 164:55 - 167:44	胖哥来摸8000	(九折,8000,？)
 168:34 - 169:04	弄个连发图，	(弄个,连发,哀哀)
 173:22 - 174:33	就一格大蘑菇咋下去	(蘑菇,下去,飞)
 174:34 - 175:16	明白了，可以飞了	(明白,又臭又长,了)
 175:33 - 176:23	说了半天前面的已经忘了	(栋,读,研)
 177:54 - 179:46	那胖哥八千分一定是个好人了	(了,小丑,哈呼)
 180:48 - 182:02	这图都藏成啥样了都	(读图,开,哈哈哈)
 182:54 - 183:27	老公好会背[爱]	(背,好会,老公)




 185:13 - 186:03	我快一年前评论的现在还没被解[花]	(好吃,煮,解)
 187:59 - 188:15	ts图[哇]	(ts,图,哇)
 188:23 - 190:17	一天不来走马灯浑身难受[dog]	(主播,懂,ts)
 190:24 - 191:59	这是3图就好了能听喵喵喵[委屈]	(车,喵,委屈)
 193:43 - 193:56	十连胖哥图[哇]	(事件,鱼,限制)
 195:47 - 196:46	加纳了	(了,手柄,卖)
 198:46 - 200:19	藏b	(藏,滑稽,哈哈哈)
 201:55 - 204:59	我只记住了甄嬛传	(嬛,甄,传)
 207:52 - 208:27	感觉少了好多元素	(爽快,天国,元素)
 214:17 - 214:52	什么玩意儿	(九折,？,什么)
 215:21 - 217:57	走马灯 启动	(哞,得,哈哈)
 218:09 - 218:46	出来了	(说话,吃饭,饿)
 221:48 - 222:32	好图	(，,质量,辱)
 224:07 - 224:53	还能重来，好图啊	(悲哀,，,演示)
 230:19 - 230:39		()
 230:45 - 231:26	哈气了	(哈气,了,胖哥)
 232:15 - 237:04	雅阁[花]	(冷,灯冷灯,，)
 242:21 - 242:31	抖那面刷2块肯定回复了，瞧不起b友	(开发票,喊主播,友)
 242:53 - 243:19	谁让你把孙子心动值的槽的刷炸了[哇][哇][哇]	(666,],[)
 244:33 - 245:11	不想再被互动了	(包,表情,动态)
 248:20 - 249:37	悲哀啊	(666,悲哀,，)
 250:26 - 251:19	孙子小学时候的世界杯是哪届 06吗	(哈哈哈,06,])
 251:33 - 251:35		()
 251:41 - 254:21	雪碧是可口的	(可口,02,的)
 255:04 - 255:26	还有一种说法是西兰花	(空中,🥦,地上)




 258:37 - 258:49	主播只有8秒[妙]	(8,只有,秒)
 258:53 - 259:55	最终解释权归他们所有[dog]	(兑,公司,归)
 260:40 - 261:28	百事的  700万积分兑飞机[哇]	(？,先,卡)
 261:37 - 261:56	然后就可以当牢大了（	(鹞式,（,当牢)
 262:20 - 262:49	认对主播 盆满钵满 多开心啊	(卡,他,值钱)
 264:25 - 265:37	分币没有[哇]	(],[,收入)
 266:11 - 266:40	那咋了	(七块,到手,煮汤)
 278:21 - 280:01	孙孙赢了3个9000，是不是最有含金量的8000	(666,],[)
 280:44 - 280:58		()
 281:07 - 281:17	你只能看着你9800的被保送[哇]	(你,保送,看着)
 288:18 - 289:57	中了直接用金蘑菇走个近道冲上去也能过了	(LOSE,蘑菇,不如)
 299:47 - 300:00		()
 304:18 - 305:54	悲哀啊	(灯灯,~,可惜)
 308:40 - 309:27	今天登顶乐没啊	(注意,请,倒车)
 309:44 - 311:11	这游戏还能时光倒流啊	(跟,哇,])
 312:20 - 313:04	应该在哪儿打雷啊	(爱物,哪儿,记仇)
 315:22 - 316:23	你都踩到泥地了陷下去了才跳，高度肯定上不去	(了,不,，)
 316:40 - 318:07	金龟子呀[哇]	(金龟子,呀,LOSE)
 318:16 - 318:50		(几点,百变,怪)
 327:13 - 329:42	isun发力了	(的,对,？)
 330:55 - 335:03	想起来我的王国之类买快3年了 还没玩 机子都卖了	(的,游戏厅,74751)
 335:20 - 335:54	这不等着没了再来么	(等,再,着)
 336:38 - 341:02	你说这库巴是不是护航，第二那么久一个红龟都没[dog]	(了,都,666)




 347:32 - 350:47	早点来就望庐山瀑布了	(了,，,都)
 350:51 - 351:19	啥意思 这匹配还有机器人嘛	(机器人,匹配,嘛)
 355:44 - 356:14	我有预感库巴要赢了	(预感,咯,大运)
 358:15 - 360:01	赢了	(9800,了,赢)
 382:21 - 382:49	以为你没mega石呢	(搞笑,石,mega)

