全场最高能：195:27	莫大的悲哀

其他高能：
 11:20 - 12:59	主播直播多少年了	(士,大戾,直播)
 13:52 - 14:59	笑死	(选,有爹,无情)
 15:30 - 22:00	刚想问紫蝴蝶是啥，突然就明白了	(紫蝴蝶,？,爹)
 23:03 - 24:16	就这	(哈哈哈,hxd,蒙)
 24:19 - 29:05	胖哥就能吃到[dog]	(就,胖哥,吃)
 32:02 - 34:04	昨天我投的那张图孙子不到20分钟就过了[捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸]	(捂脸,],[)
 34:19 - 34:21		()
 35:03 - 37:15	鸡王的直觉[dog][dog][dog][dog]	(？,],[)
 38:12 - 38:25	与和田一起过关	(与,一起,过关)
 38:35 - 42:22	原文是你认错主播了，主播在这辛辛苦苦播一晚上，粉笔不赚，你还老提别人，多伤心啊~	(pjbsb,主播,你)
 42:35 - 46:34	悲哀啊	(悲哀,],[)
 52:05 - 52:38	港服买点卡也是有延迟到账	(1XF,0RX,NB8)
 52:49 - 53:16	杰哥没塌房那会看纸片马里奥折纸王国可快乐了[捂脸]	(],[,，)
 54:41 - 55:54	主播是不可能说松饼的，所以随便编就行	(主播,1XF,0RX)
 57:59 - 58:53	好图	(昨天,666,好图)
 64:52 - 64:59	孙老师喜欢热熔胶对角线	(对角线,老师,热熔胶)
 65:13 - 65:42	但其实你送个30块的sc应该就会看一看	(1FX,0RX,NB8)
 67:23 - 67:52	主播在这辛辛苦苦播一晚上分币不挣多伤心啊	(晚上,伤心,啊)
 68:01 - 68:18	主播在这儿辛辛苦苦播一晚上盆满钵满，你们还在这儿提其他主播，多开心啊	(，,这儿,在)
 72:53 - 73:07	昨晚过来看牛车发现下播了，为什么呀	(呀,1XF,0RX)




 73:18 - 73:28	第一当然是灯顶的胖哥	(当然,顶,灯)
 73:41 - 73:45	主播玩个马里奥怎么观众都能拿到别停止引导海克斯啊	(是,海,停止)
 88:08 - 88:11		()
 103:30 - 106:20	主播生日快乐 祝你身体健康永远不死，多向胖哥学习 早日上八千	(钻,666,滤镜)
 106:43 - 106:45		(走马灯)
 107:00 - 109:32	天眼启动	(汤圆,藏,B)
 111:24 - 113:49	可是主播，我们能见到三代出吗	(三代,走马灯,，)
 115:53 - 118:28	我以为你说走马灯那四个人是谁	(！,？,，)
 120:40 - 121:31	他这下面是一排隐藏转吗	(封顶,完全,要)
 121:41 - 122:38	任天堂tmd自己做的马里奥二代就是老荫蔽	(二代,任天堂,马里奥)
 123:33 - 124:04	花式戴帽	(花式,戴帽,捂脸)
 124:19 - 126:28	胖哥想让爱牛使坏，但是爱牛也把事办好了[捂脸]	(戴,拿,再见)
 129:20 - 129:56	寄咯	(大笑,],[)
 130:08 - 130:23	走着	(大笑,走,着)
 130:48 - 132:48	回家了	(回家,大笑,])
 135:23 - 136:26	悲哀啊	(回家,么,走)
 138:40 - 138:53	爽爬山	(哈哈哈哈,哈哈哈,寄咯)
 139:20 - 139:50	他这第一个管子是干嘛用的	(这图,比较,输入)
 140:35 - 141:54	主播的心态发生了变化	(了,坏消息,king)
 145:49 - 147:11	蒙的	(666,蒙,，)
