全场最高能：113:37	可惜 让他爬过来了

其他高能：
 2:03 - 3:51	以后晚上不播，睡不着觉了[撇嘴]	(了,不播,？)
 6:44 - 7:12		()
 8:25 - 8:27		()
 9:23 - 9:36	走马灯	(走马灯,？)
 9:57 - 13:31	重生之我是吉良吉影，替换了一个马造主播的人生	(？,，,是)
 16:23 - 16:35	主播作息怎么这么健康了	(健康,作息,这么)
 18:23 - 18:50	不是	(不是,LOSE)
 18:55 - 19:49	藏B	(LOSE,技不如人,保时捷)
 19:52 - 21:02	不说话装高手	(大笑,],[)
 27:07 - 28:16	早上起床看到你直播，还以为我活到头了	(了,直播,白天)
 29:28 - 31:15	主播晚上要照顾惠菇的小孩，没法播	(小孩,照顾,要)
 31:30 - 31:44		()
 32:04 - 32:43	主播现在是奶爸吗	(到期,奶爸,制裁)
 34:53 - 34:57		()
 35:08 - 37:07	哇 登顶	(了,人机,登顶)
 40:29 - 40:36		()
 41:02 - 41:04		()
 41:59 - 43:37	18个鸡王争夺鸡霸	(鸡霸,争夺,18)
 43:51 - 44:19	有灯顶	(牛,有灯,顶)
 45:13 - 45:56	俄罗斯方块的规则太简单了，不需要啥AI	(还旋,盖,大楼)
 46:03 - 46:49	废了好多token，终于战胜你了	(，,战胜,token)
 49:14 - 51:54	俄罗斯方块传统算法都够了吧，不需要深度学习	(！,灯顶,bot)
 52:38 - 53:58	胖哥同意主播白天播了吗	(pjbsb,手柄,了)
 56:14 - 58:00	是叠的越高，消的主播打人越厉害吗	(越,叠,高)
 61:20 - 62:51	那你白天睡不就好了[dog]	(晚上,了,])
 63:17 - 63:32	改时间啦	(改,啦,时间)




 64:26 - 65:09	晚上还播吗	(吗,必需,signal)
 65:35 - 67:50	555呢	(555,晚上,吗)
 68:00 - 69:56	烤鸭不是胃大就能吃完的，烤鸭巨油	(吃,能,吗)
 70:05 - 71:19	剩下的是主播全吃了吗	(的,烤鸭,是)
 71:24 - 71:31	小布	(摧残,布,link)
 72:32 - 73:54	问一下，🐮这个角色的能力是什么	(松饼,能力,了)
 75:15 - 76:19	人家没加速道具跑得都比你快，确实没办法	(技不如人,都,马灯)
 83:22 - 83:44	这把的蓝龟已经丢完了	(对,的,丢)
 85:52 - 88:11	因为你在这带节奏为什么	(哈哈哈,你,他)
 90:54 - 91:06	你TM劈我车是吧	(我车,TM,劈)
 97:54 - 98:52	蒙的	(？,蒙,的)
 101:04 - 102:56	算你赢了	(赢,了,哈哈哈)
 112:53 - 114:58	可惜 让他爬过来了	(哈哈哈,哈哈哈哈,哈哈)
 115:08 - 115:45	才开播一个多小时	(？,气不气,一大口)
 116:38 - 116:55	看到阳间孙还真不习惯	(习惯,孙阳,真)
 117:15 - 117:23		(可爱)
 125:07 - 125:49	下把见了还在雷公	(LOSE,雷公,ztmex)
 128:56 - 131:08	破案了，雷是isun放的	(的,蒙,？)
